issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,6,whether or not,"... skills to negotiate a creative future, **whether or not** they continue to study Art and Design. ...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,The phrase 'whether or not' is grammatically correct and stylistically acceptable in this context.
1,12,or,...niques that they are knowledgeable about** or** they might be delivered by outside agen...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"The comma before 'or' is optional and does not impact clarity, making this a stylistic preference."
2,15,outside of,...ers' work. Many learners have interests **outside of** the classroom into which they can be im...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,"The phrase 'outside of' is often considered a parsing error in formal writing, with 'outside' being the preferred form."
3,15,and,...ey can be immersed for their Unit 1 work** and** it might be in the skill of the teacher...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,75,"The comma before 'and' is optional and does not impact clarity, making this a stylistic preference."
4,18,two dimensional,... across Pathways and provision made for **two dimensional** as well as three dimensional work shoul...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,'Two dimensional' is correctly hyphenated as a compound adjective in this context.
5,18,three dimensional,...ion made for two dimensional as well as **three dimensional** work should be made. Every effort shoul...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,'Three dimensional' is correctly hyphenated as a compound adjective in this context.
6,21,workrelated,...ponses to potential career pathways and **workrelated** experiences. Opportunities should be gi...,PassCode.LTC,ErrorCategory.PARSING_ERROR,85,'Workrelated' should be hyphenated as 'work-related' for clarity and correctness.
7,22,selfimposed,"...nd identify something to work on with a **selfimposed** deadline, giving experience of decision...",PassCode.LTC,ErrorCategory.PARSING_ERROR,85,'Selfimposed' should be hyphenated as 'self-imposed' for clarity and correctness.
8,22,selfdiscipline,...iving experience of decision making and **selfdiscipline**.  #### **Teacher formative feedback [JC...,PassCode.LTC,ErrorCategory.PARSING_ERROR,85,'Selfdiscipline' should be hyphenated as 'self-discipline' for clarity and correctness.
9,23,Salon des Refuses,...liam Blake - The Impressionists and the **Salon des Refuses** - Gwen John: amongst men - The avant-ga...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Salon des Refuses' is a proper noun and correctly spelled as is.
10,24,workrelated,...ponses to potential career pathways and **workrelated** experiences.  Each of the pathways with...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,Missing hyphen in compound adjective 'work-related'.
11,26,centres,...e likely to use digital technology at a **centres** discretion.  Digital technology is appl...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,Missing apostrophe in 'centres' (should be 'centre's').
12,27,webbased,"...ned focus period, candidates can access **webbased** software applications, however no other...",PassCode.LTC,ErrorCategory.PARSING_ERROR,90,Missing hyphen in compound adjective 'web-based'.
13,28,Paul Gaugin,"...riate way).  #### Examples could be:  - **Paul Gaugin** and the Tahitian women that he painted,...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,Incorrect spelling of 'Paul Gaugin' (should be 'Paul Gauguin').
14,33,non toxic,.../li><li>Using eco-friendly pigments and **non toxic** materials wherever possible.</li><li>Wo...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,Missing hyphen in compound adjective 'non-toxic'.
15,33,or,...encourage learners to take this approach** or** we risk the methods and materials that ...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,Comma before 'or' is optional for clarity but not required.
16,35,all of the,"... recycle, repair, rethink and refuse in **all of the** work that they create. - Consider their...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,Comma before 'or' is optional for clarity but not required.
17,35,products,"...work that they create. - Consider their **products** life cycle how are materials sourced, h...",PassCode.LTC,ErrorCategory.PARSING_ERROR,90,Missing hyphen in compound noun 'life-cycle' (should be 'life cycle' or 'lifecycle').
18,35,href,"...ls from sustainable sources such as: <a **href**=""eco-craft"">eco-craft</a> and <a href=""...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,"'href' is a valid HTML attribute, not a spelling error."
19,35,href,"...a href=""eco-craft"">eco-craft</a> and <a **href**=""kitronik"">kitronik</a>. - Use CAD tech...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,"'href' is a valid HTML attribute, not a spelling error."
20,35,mock ups,...use of early development paper and card **mock ups**.  #### **Graphic Communication Example:...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The term 'mock ups' is correct and commonly used in design contexts.
21,36,mock ups,... size of the work to be displayed – can **mock ups** or maquettes be used as an alternative<...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The term 'mock ups' is correct and commonly used in design contexts.
22,36,two dimensional,...Photography relies on the transfer of a **two dimensional** light                                  ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Two dimensional' is correctly hyphenated and used in this context.
23,37,all and all,...tant to Learners because RSE affects us **all and all** learners should take the opportunity to...,PassCode.LTC,ErrorCategory.PARSING_ERROR,80,'All and all' is redundant; it should be 'all' or 'all in all'.
24,38,1980's,...f stigma around sexual health since the **1980's** when the 'Don't Die of Ignorance' campa...,PassCode.LTC,ErrorCategory.PARSING_ERROR,80,'1980&#x27;s' should be '1980s' for correct apostrophe usage.
25,38,Womens,...y relationships for young people. Welsh **Womens** Aid - Healthy Relationships |  {39}----...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,'Womens' should be 'Women's' for correct possessive form.
26,41,possibilities,... engineering</li><li>UX designer. These **possibilities** are made possible through design thinki...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Possibilities' is correctly spelled and used in this context.
27,42,inside of,...ains that the ability to find something **inside of** yourself to express creatively to the w...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,'Inside of' is informal; 'inside' is preferred in formal writing.
28,43,subject matter,"...nent form. I find inspiration in simple **subject matter**, women scrubbing steps, figures sitting...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Subject matter' is correctly used and spelled.
29,45,and,...ted that feedback should remain positive** and** the teacher should create guidelines to...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,Adding a comma before 'and' is stylistic; the original is acceptable.
30,46,all of the,"...ve work | In order to successfully meet **all of the** Assessment Objectives, it is important ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,Phrase 'all of the' is grammatically correct and contextually appropriate.
31,46,in the moment,... to be in essay format – notes created '**in the moment**' can have as much fluency as paragraphs...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,85,'In the moment' is a widely accepted idiomatic expression and is correctly used here.
32,46,whether or not,"...e learner has approached their project, **whether or not** the |  <span id=""page-46-0""></span><sup...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,'Whether or not' is a correct and commonly used phrase in this context.
33,47,and,...mes taken for granted. The size of paper** and** it's orientation and relationship to th...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"Missing apostrophe in 'it's' should be 'its' as it is a possessive form, not a contraction."
34,47,or,...clusive. This helps neither the learner **or** subject and should be challenged.</li><...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,85,'Or' is correctly used to connect two independent clauses in this context.
35,48,Salvador Dali,...sts)</li><li>Giorgio de Chirico</li><li>**Salvador Dali**</li><li>Rene Magritte</li><li>Bridget R...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Salvador Dali' is a proper noun and is correctly spelled and capitalized.
36,49,tryptichs,"...of stories from the Bible (sometimes as **tryptichs**), the sculptural forms of Barbara Hepwo...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,'Tryptichs' is misspelled; the correct spelling is 'triptychs'.
37,50,modelmaking,"...le', whether through drawing or through **modelmaking**, using appropriate scales from 1:2 for ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,85,'Modelmaking' is a valid compound noun in this context.
38,50,three dimensional,"...graphy), using perspective to represent **three dimensional** shapes on a 2 dimensional plan (paper, ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,'Three dimensional' is correctly hyphenated as a compound adjective.
39,50,2 dimensional,"...represent three dimensional shapes on a **2 dimensional** plan (paper, canvas etc) is a technique...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,'2 dimensional' is correctly hyphenated as a compound adjective.
40,51,and,...s in this area are developing frequently** and** communication design is a popular degre...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,Comma before 'and' is optional for clarity but not required for correctness.
41,53,futureproof,...>Emerging materials and technologies to **futureproof** product development. Learners should sh...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Futureproof' is a recognized compound adjective in UK English.
42,57,comprises of,...xtile Design within GCSE Art and Design **comprises of** the creation of designs and products fo...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,'Comprises of' is incorrect; the correct form is 'comprises'.
43,58,',...ond to.  An example of this might be:  ***'**A new boutique hotel is opening which wi...,PassCode.LTC,ErrorCategory.PARSING_ERROR,85,Stray apostrophe likely due to formatting error.
44,58,eco -conscious,...ding the launch of the hotel to attract **eco -conscious** travellers and convey the cynefin. Imag...,PassCode.LTC,ErrorCategory.PARSING_ERROR,80,Hyphen should be removed as 'eco-conscious' is a recognized compound adjective.
45,58,',...ithin the hotel as large format images. **'***  Learners must demonstrate the ability...,PassCode.LTC,ErrorCategory.PARSING_ERROR,85,Stray apostrophe likely due to formatting error.
46,58,time -lapse,"...igital processes and techniques such as **time -lapse** photography, video, photomontage and di...",PassCode.LTC,ErrorCategory.PARSING_ERROR,80,Hyphen should be removed as 'time-lapse' is a recognized compound adjective.
47,59,general public,...r scales which can be difficult for the **general public** to visualise. Learners will need to be ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'General public' is a recognized term and correctly used.
48,62,outside of,"...ng, learner independence, opportunities **outside of** the classroom and engaging alternative ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Outside of' is acceptable in informal contexts and is not an error.
49,63,sketch book,"...otation or more formal writing in their **sketch book** or preparatory work. It is much, much m...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Sketch book' is a recognized term and correctly used.
50,64,an outcomes,"...hievements, where they are pleased with **an outcomes**, where things have gone wrong and how t...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,Missing article 'the' before 'outcomes'.
51,64,',"... where there is a formal requirement to **'**reflect on own work, and record ideas, o...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,"The character is part of the quotation mark, not an error."
52,64,',...levant to intentions as work progresses **'**. This is assessed across the whole port...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,"The character is part of the quotation mark, not an error."
53,64,or,...ing and reflecting on design development** or** they could be diarised entries into a b...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,Comma before 'or' is optional for clarity but not required.
54,69,general public,"...n of printed banners in a space for the **general public** in an art, craft and design submission....",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The term 'general public' is correctly used and not an error.
