issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,3,in better understanding,"It will offer an introduction to the specification, an assessment overview, and will support teachers **in better understanding** how to prepare their learners for the assessment of the different units. More information on each unit can be found in the accompanying Qualification Guide.",ErrorCategory.STYLISTIC_PREFERENCE,80,The phrasing 'in better understanding' is awkward; it would be more natural to say 'in gaining a better understanding' or 'to better understand'.
1,4,starting point,"- that is internally set, in consultation with the teacher from personal and/or given **starting point**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A definite or indefinite article (e.g., 'a') or pluralisation ('starting points') is needed before 'personal and/or given starting point' for grammatical correctness."
2,4,in order to,Teachers can review learners' work and provide oral and written advice at a general level **in order to** secure a functional outcome.,ErrorCategory.STYLISTIC_PREFERENCE,85,"'In order to' is often verbose and can be replaced by 'to' without loss of meaning, improving conciseness."
3,4,and/preparatory,Learners can have access to resources **and/preparatory** notes.,ErrorCategory.SPELLING_ERROR,98,This appears to be an OCR error; it should be 'and/or preparatory notes'.
4,4,study The,It is recommended that portfolio work should begin during the spring or summer term in the first year of **study The** portfolio must be completed before Unit 2 (Externally Set Assignment) is released to learners in the spring term of the final year of study.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"A full stop is missing after 'study', creating a run-on sentence."
5,4,Candidates work,"The centre must ensure that the work a learner submits for assessment is their own. **Candidates work** should be stored securely after submission and during the marking, moderation and review periods.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,'Candidates' should be possessive ('Candidates'') to indicate that the work belongs to the candidates.
6,4,Candidates work,"Candidates work should be stored securely after submission and during the marking, moderation and review periods. **Candidates work** should not be released until the Review of Marking and Moderation period has expired.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,'Candidates' should be possessive ('Candidates'') to indicate that the work belongs to the candidates.
7,7,and/preparatory notes,Learners can have access to resources **and/preparatory notes** produced in Part 1 only.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The conjunction 'and/preparatory' is grammatically incorrect; it should be 'and/or preparatory notes' or simply 'and preparatory notes'.
8,9,Materials(SAMs),"Assessment Pack this contains the Sample Assessment **Materials(SAMs)** i.e.: sample exam papers and sample NEA tasks, relevant controls for the NEA and, mark schemes",ErrorCategory.SPELLING_ERROR,95,A space is required between 'Materials' and the opening parenthesis for clarity and correct formatting.
9,9,i.e.:,"Assessment Pack this contains the Sample Assessment Materials(SAMs) **i.e.:** sample exam papers and sample NEA tasks, relevant controls for the NEA and, mark schemes",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"In British English, 'i.e.' (id est) should be followed by a comma when introducing an explanation or list."
10,9,"and,","Assessment Pack this contains the Sample Assessment Materials(SAMs) i.e.: sample exam papers and sample NEA tasks, relevant controls for the NEA **and,** mark schemes",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The comma before 'and' is incorrect in this list of items.
11,9,said documents,This guide builds upon the information in the specification and assessment pack to help further your understanding of **said documents**.,ErrorCategory.STYLISTIC_PREFERENCE,80,'Said' as an adjective referring to previously mentioned items is overly formal and archaic; 'these' or 'the aforementioned' would be more appropriate.
12,9,specification you will notice,"When you look through the **specification you will notice** in the amplification column, we use a variety of wording before the list of content learners need to know; we call this a stem:",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,A comma is needed after the introductory dependent clause 'When you look through the specification'.
13,9,use it to apply,When learners are required to demonstrate their knowledge and **use it to apply** to familiar and unfamiliar contexts.,ErrorCategory.STYLISTIC_PREFERENCE,85,The phrasing 'use it to apply' is redundant; 'apply it' or 'use it to apply it' would be clearer.
14,10,Levels based,## **Levels based** mark schemes,ErrorCategory.SPELLING_ERROR,95,'Levels-based' is a compound adjective modifying 'mark schemes' and requires a hyphen.
15,11,are that,"Effective use of media, materials, techniques and processes **are that** confidently controlled and exploited.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The word 'are' is superfluous and creates a grammatical error in this construction.
16,11,are reasonably,"Appropriate use of media, materials, techniques and processes **are reasonably** controlled and exploited.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The word 'are' is superfluous and creates a grammatical error in this construction.
17,11,"extent, personal","The response is to some **extent, personal** and meaningful and intentions are realised in a basic manner.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,A comma is not needed between the adverbial phrase 'to some extent' and the adjective 'personal'.
18,11,and which,"A limited personal response, with minimal attempts to show meaning, **and which realises** intentions in a limited manner.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The use of 'and which' without a preceding 'which' clause creates an ungrammatical parallel structure; it should be 'and that realises' or 'realising'.
19,13,1(internal,First assessment for Unit **1(internal** assessment),ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A space is required between the number '1' and the opening parenthesis for correct formatting and readability.
