issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,6,hand written,"...ust be submitted digitally (they may be **hand written** and scanned, or completed digitally).  ...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,The compound adjective 'hand-written' requires a hyphen in UK English when preceding a noun.
1,9,tutor2u,... (CSR)   Reference Library   Business   **tutor2u** and summarise the main points. Learners...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'tutor2u' is a proper noun referring to a specific educational resource and is spelled correctly.
2,9,Profit- Economic,...ments. Learners could consider: <ul><li>**Profit- Economic** Performance - for example: Is the enter...,PassCode.LTC,ErrorCategory.POSSIBLE_AMBIGUOUS_GRAMMATICAL_ERROR,80,The hyphen in 'Profit- Economic Performance' is an awkward separator; a colon or en dash would be more appropriate for clarity.
3,9,People- Social,...t? What could be improved? How?</li><li>**People- Social** Performance - for example: Focus on the...,PassCode.LTC,ErrorCategory.POSSIBLE_AMBIGUOUS_GRAMMATICAL_ERROR,80,The hyphen in 'People- Social Performance' is an awkward separator; a colon or en dash would be more appropriate for clarity.
4,14,TwoTeachers,...ld recap knowledge using videos such as **TwoTeachers** Marketing mix. Teachers could provide a...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'TwoTeachers' is a proper noun referring to a specific educational resource and is spelled correctly.
5,16,outside of,"...n be carried out live and face to face, **outside of** the educational setting. | |  | Learner...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,85,The word 'of' is redundant after 'outside' and can be omitted for conciseness in formal writing.
6,23,tutor2u,...-line)  [Reference Library | Business | **tutor2u**](https://www.tutor2u.net/business/refer...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'tutor2u' is a proper noun referring to a specific educational resource and is spelled correctly.
7,28,judgments,"...nd asked to use these to draw supported **judgments** and conclusions for the business, this ...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,"The UK English spelling for the noun is 'judgements', not 'judgments'."
8,37,back,...ayment means that the good can be taken **back** by the lender. | |---------------------...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The phrase 'taken back' is grammatically correct and appropriate in this context.
9,38,and,...e from other products the business sells** and** the products offered by other businesse...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The conjunction 'and' is correctly used here to connect two parallel phrases without requiring a preceding comma.
10,40,free gifts,"...ic period of time such as competitions, **free gifts** and special offers to give a short-term...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,"The phrase 'free gifts' is clear and commonly understood in this context, making the original acceptable."
11,40,between 30 to 90,...he business to pay for the goods can be **between 30 to 90** days. | |                       |      ...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The correct idiomatic expression for a range using 'between' is 'between X and Y', not 'between X to Y'."
12,41,and,... is money that is generally paid to shop** and** factory floor workers based on time rat...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,No comma is required before 'and' in the phrase 'shop and factory floor workers' as it is not separating independent clauses or items in a list.
