issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,2,Glossarv,...s of the Curriculum for Wales | 99  | | **Glossarv** for Unit 1                             ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,Typo in 'Glossary' (missing 'y').
1,9,main printed,...s has its own purpose. <ul><li>- is the **main printed** circuit board and the central Motherboa...,PassCode.LTC,ErrorCategory.PARSING_ERROR,80,Redundant repetition of 'power' (typo).
2,9,power Power,...</li><li>- converts external electrical **power Power** Supply Unit (PSU) into usable power for...,PassCode.LTC,ErrorCategory.PARSING_ERROR,80,Redundant repetition of 'power' (typo).
3,10,ethernet,"...:   - **Wired NICs** use cable, such as **ethernet**, to connect a computer to a network   -...",PassCode.LTC,ErrorCategory.PARSING_ERROR,80,Missing hyphen in 'Ethernet' (should be 'Ethernet').
4,11,PDIF,"...s, microphones, and speakers.     - **S/**PDIF** / TOSLINK:** For digital audio transmis...",PassCode.LTC,ErrorCategory.PARSING_ERROR,80,Typo in 'S/PDIF' (should be 'S/PDIF' without extra 'I').
5,14,ser ves,...2:** Larger than level 1 but slower. It **ser ves** as bridge between level 1 and level 3 o...,PassCode.LTC,ErrorCategory.PARSING_ERROR,80,Typo in 'serves' (missing 'e').
6,15,Hexa,... cores - Quad -core will have 4 cores - **Hexa** -core will have 6 cores - Deca -core wi...,PassCode.LTC,ErrorCategory.PARSING_ERROR,80,Typo in 'Hexa' (should be 'Hexa' without extra 'a').
7,15,Deca,... cores - Hexa -core will have 6 cores - **Deca** -core will have 10 cores - it is also p...,PassCode.LTC,ErrorCategory.PARSING_ERROR,80,Typo in 'Deca' (should be 'Deca' without extra 'a').
8,16,multi tasking,"...t a time, which improves performance in **multi tasking** and parallel processing.  #### **RAM** ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,80,Missing space in 'multi tasking' (should be 'multitasking' or 'multi-tasking').
9,19,Game Game,...li>Allows users to control video games. **Game Game** Controller: controllers can have a rang...,PassCode.LTC,ErrorCategory.PARSING_ERROR,80,Redundant repetition of 'Game' (typo).
10,20,Braille Braille,... device that gives physical feedback in **Braille Braille** Display: for people who cannot see.</li...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,Redundant repetition of 'Braille' without clear purpose.
11,22,Blu,"... #### **Optical Storage**  - CDs, DVDs, **Blu** -ray discs. - Uses laser technology to ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,80,Missing hyphen in 'Blu-ray' compound term.
12,22,Blu,"... content, software, and data storage. - **Blu** -ray Discs :   - Single -layer Blu -ray...",PassCode.LTC,ErrorCategory.PARSING_ERROR,80,Missing hyphen in 'Blu-ray' compound term.
13,22,Blu,"...e. - Blu -ray Discs :   - Single -layer **Blu** -ray discs can hold **25 GB**, and dual...",PassCode.LTC,ErrorCategory.PARSING_ERROR,80,Missing hyphen in 'Blu-ray' compound term.
14,23,Blu,"...by format, with newer technologies like **Blu** -ray offering faster performance and gr...",PassCode.LTC,ErrorCategory.PARSING_ERROR,80,Missing hyphen in 'Blu-ray' compound term.
15,25,there is scalable options,"...  - This could be considered unlimited, **there is scalable options** of data capacity, but often at a price,...",PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,Missing article before 'scalable options' for grammatical correctness.
16,27,Therefore,...he bottom put the remainders in order.  **Therefore** binary = 100101  **Binary to Denary**: ...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,Comma before 'Therefore' is optional for clarity but not required.
17,29,bit,"... binary value. - Each image will have a **bit** depth, which impacts on the size and qu...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'bit' is correct terminology in this context.
18,30,bpc,"...to, this will be as ""bits per channel"" (**bpc**). - Example: 8-bit colour depth for ""RG...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'bpc' is a correct abbreviation for 'bits per channel' in this context.
19,30,bpp,...pth systems mainly used bits per pixel (**bpp**). This specification uses modern conven...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'bpp' is a correct abbreviation for 'bits per pixel' in this context.
20,30,bpc,...onent (also known as bits per channel) (**bpc**)  #### **Colour Model:**  - A mathemati...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,bpc is a correct abbreviation for bits per channel in this context.
21,30,Bit,...e number of bits used per channel. - 3. **Bit** Depth: The number of bits used per pixe...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"Bit is correctly capitalized as it is part of a specific term, Bit Depth."
