issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,5,all of the,...wing: <ul><li>The PSU provides power to **all of the** components.</li></ul> |  | 1 |  |  | 1 ...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,"While 'all the components' is more concise, 'all of the components' is grammatically correct and acceptable."
1,8,a,...(e.g. Flash memory is more durable than **a** HDD as it has no moving parts)</li><li>...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The indefinite article 'an' should be used before an acronym that begins with a vowel sound, such as 'HDD'."
2,13,systems,...that ensures efficient and high-quality **systems** delivery. |  |  |  |  |  |  |  |  |  | ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,'Systems delivery' is a correct and commonly used compound noun phrase in a technical context.
3,13,Implementatio,...                          |           | **Implementatio** |     |               |  |  |  | |  |  ...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,'Implementatio' is a misspelling of the word 'Implementation'.
4,18,licenses,...Property <ul><li>Respect copyrights and **licenses**.</li></ul> | |  | Environmental Impact ...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,"In UK English, the noun form is 'licences', while 'licenses' is the verb form."
5,19,licenses,"...tual Property  • Respect copyrights and **licenses**, attribute sources correctly, and ensur...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,"In UK English, the noun form is 'licences', while 'licenses' is the verb form."
6,22,so,"... registers and program counter, is saved** so** the task can resume later without losin...",PassCode.LTC,ErrorCategory.POSSIBLE_AMBIGUOUS_GRAMMATICAL_ERROR,75,Adding a comma before 'so' when it introduces a clause of purpose or result can improve clarity and flow.
7,23,so,"...ks, handling input and output operations** so** tasks do not interfere with each other....",PassCode.LTC,ErrorCategory.POSSIBLE_AMBIGUOUS_GRAMMATICAL_ERROR,75,Adding a comma before 'so' when it introduces a clause of purpose or result can improve clarity and flow.
8,26,a,...` 1 Start addProc 2 number is integer 3 **a** is integer 4 total is iteger 5 6 for i ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'a is integer' is a correct variable declaration syntax within the provided pseudocode context.
9,26,iteger,"...er is integer 3 a is integer 4 total is **iteger** 5 6 for i = 1 to 10 7 output ""Please en...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,"'iteger' is a misspelling of the word 'integer', as confirmed by the document's own error identification."
10,26,"""","...ber 10 next i 11 12 total = a 13 output **""**The total = "", total 14 15 End addProc `...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The highlighted character is a correct closing double quote in the programming code example.
11,26,"""","... 11 12 total = a 13 output ""The total = **""**, total 14 15 End addProc ```  (a) Use t...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The highlighted character is a correct opening double quote in the programming code example.
12,26,analysis analysis,...de optimisation |  | recursion semantic **analysis analysis** |  |  | iteration count |  |  | |-----|...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The repetition of 'analysis' appears to be a parsing error, as 'semantic analysis' is a complete term."
13,26,iteger,... following: 2 2 <ul><li>Error: total is **iteger**</li><li>total is integer Change:</li></...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,"'iteger' is a clear misspelling of 'integer', which is also identified as an error within the document itself."
14,27,Ranso,... | Description | Trojan horses | m ware **Ranso** | ms Wor | ware Spy |  |  |  |  |  |  |...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"'Ranso' is an incomplete word, likely a parsing error for 'Ransomware' given the context of malware types."
15,27,Wor,...ion | Trojan horses | m ware Ranso | ms **Wor** | ware Spy |  |  |  |  |  |  |  |  |  |...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,"'Wor' is an incomplete word, likely a parsing error for 'Worms' in the context of malware types."
16,29,quo,"... each basic description of Quid 2 2 pro **quo**, up to a maximum of two marks. A basic ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,'quo' is correctly used as part of the Latin phrase 'Quid pro quo'.
17,30,multi-factor,...ords</li></ul> |  | |  | <ul><li>Enable **multi-factor** authentication (MFA)</li></ul> |  | |  ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,'multi-factor' is correctly hyphenated as a compound adjective preceding the noun 'authentication'.
18,31,al,...| 1.5 |  | 2 | 2 | 2 | O1 | 2 O | 3 O | **al** ks ot |  |  | |  |  |  | 1.1.1 | 2 1.1....,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,'al' appears to be a fragment of a word due to a parsing error within a table header.
19,31,ks,....5 |  | 2 | 2 | 2 | O1 | 2 O | 3 O | al **ks** ot |  |  | |  |  |  | 1.1.1 | 2 1.1. | ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,'ks' appears to be a fragment of a word due to a parsing error within a table header.
20,31,ot,...|  | 2 | 2 | 2 | O1 | 2 O | 3 O | al ks **ot** |  |  | |  |  |  | 1.1.1 | 2 1.1. | 3 1...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The text 'al ks ot' is a parsing error, likely intended to be 'Total Marks' or 'Total' based on the table context and the 'ar T M' in the row below."
