issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,2,on screen,...val of reference to duration bar on the **on screen** assessment in response to recommendatio...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The compound adjective 'on-screen' should be hyphenated when modifying 'assessment'.
1,9,NetPay,...one mark for the complete line of code: **NetPay**.set(Gross - (Gross * 0.19 + Gross * 0.0...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'NetPay' is a programming variable name and is correctly written as a single word in this context.
2,11,a maximum marks,... mark for describing each example up to **a maximum marks**. Indicative content for each example: |...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The phrase 'a maximum marks' is grammatically incorrect; it should be 'a maximum of marks' or 'a maximum mark'.
3,12,pseudo-code,...rk for each correct concept designed in **pseudo-code** (Pseudo-code syntax and examples are pr...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Pseudo-code' is a correctly hyphenated compound term in computing contexts.
4,12,HasNumeric,...ntent Declare Surname is String Declare **HasNumeric** is Boolean Declare CurrentChar is Chara...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'HasNumeric' is a programming variable name in pseudo-code and is correctly written as a single word.
5,12,CurrentChar,...g Declare HasNumeric is Boolean Declare **CurrentChar** is Character Set HasNumeric = FALSE Out...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'CurrentChar' is a programming variable name in pseudo-code and is correctly written as a single word.
6,12,HasNumeric,"...an Declare CurrentChar is Character Set **HasNumeric** = FALSE Output ""Enter the surname: "" In...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'HasNumeric' is a programming variable name in pseudo-code and is correctly written as a single word.
7,12,CurrentChar,"...values */ For i = 1 To Len(Surname) Set **CurrentChar** = Mid(Surname, i, 1) If Val(CurrentChar...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'CurrentChar' is a programming variable name in pseudo-code and is correctly written as a single word.
8,12,CurrentChar,"...CurrentChar = Mid(Surname, i, 1) If Val(**CurrentChar**) >= 0 AND Val(CurrentChar) <= 9 Then Se...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'CurrentChar' is a programming variable name in pseudo-code and is correctly written as a single word.
9,12,CurrentChar,"... i, 1) If Val(CurrentChar) >= 0 AND Val(**CurrentChar**) <= 9 Then Set HasNumeric = TRUE Exit F...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'CurrentChar' is a programming variable name in pseudo-code and is correctly written as a single word.
10,12,<=,...(CurrentChar) >= 0 AND Val(CurrentChar) **<=** 9 Then Set HasNumeric = TRUE Exit For E...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The symbol `<=` is a correct logical operator in pseudo-code and is used appropriately here.
11,12,HasNumeric,...>= 0 AND Val(CurrentChar) <= 9 Then Set **HasNumeric** = TRUE Exit For End If Next i If HasNum...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`HasNumeric` is a correctly defined and used variable name within the pseudo-code.
12,12,If,"...asNumeric = TRUE Exit For End If Next i **If** HasNumeric = TRUE Then Output ""Error: S...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`If` is correctly used as a keyword to start a conditional statement in the pseudo-code.
13,12,HasNumeric,"...umeric = TRUE Exit For End If Next i If **HasNumeric** = TRUE Then Output ""Error: Surname shou...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`HasNumeric` is a correctly defined and used variable name within the pseudo-code.
14,14,case sensitive,"...e on window reads ""Add Pupil Data"" (not **case sensitive**) 1 (c) • Entry or text widget allowing ...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,85,The compound adjective 'case sensitive' should ideally be hyphenated as 'case-sensitive' for improved clarity in formal writing.
15,15,IncorrectPassword,...ata: Username: office_manager Password: **IncorrectPassword**</li></ul> |  | 3 |  | 8 | |          | ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"`IncorrectPassword` is a specific example of test data, correctly presented as a single string literal."
