issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,1,GCSF,"GCSE Computer Science                                            |
GCSF **The** Sciences (Double)                                       | 22        |",ErrorCategory.SPELLING_ERROR,98,The acronym 'GCSF' is not a recognised qualification in this context; it should be 'GCSE' for consistency with other listed qualifications.
1,2,have decided,Qualifications Wales **have decided** that these qualifications will be introduced in a phased way; WJEC is now developing the qualifications that are to be available for first teaching from September 2025 to meet these requirements.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"'Qualifications Wales' is a singular entity (an organisation), and therefore requires the singular verb 'has decided' for subject-verb agreement."
2,3,nonexamination,This was particularly prevalent in qualifications where the **nonexamination** assessment is either new or significantly increased.,ErrorCategory.CONSISTENCY_ERROR,98,The term 'non-examination' is consistently hyphenated elsewhere in the document and should be here for consistency.
3,3,wellbeing,"A notable area of concern in consultation responses and discussions with stakeholder groups links to learners undertaking non-examination assessment across a number of subjects, and the potential negative impact this could have on learner **wellbeing**.",ErrorCategory.CONSISTENCY_ERROR,95,"The term 'well-being' is hyphenated in the official guidance title on page 4, suggesting this is the preferred form for consistency."
4,4,nonexamination,"Some stakeholders felt that **nonexamination** assessment can further disadvantage some learners, for example, those who do not have support or access to adequate resources at home.",ErrorCategory.CONSISTENCY_ERROR,98,The term 'non-examination' is consistently hyphenated elsewhere in the document and should be here for consistency.
5,4,maximalise,"However, one stakeholder group had a different view on what impacted equity, requesting that the GCSEs have a range of assessment methods, focusing on competency-based continuous assessment methods, rather than coursework or mini-tests, to **maximalise** equity.",ErrorCategory.SPELLING_ERROR,99,The correct British English spelling for this verb is 'maximise'.
6,4,Qualification Wales,"When we submit our qualifications to **Qualification Wales** for approval, we must stipulate how we have managed the balance of manageability, engagement, reliability and validity.",ErrorCategory.CONSISTENCY_ERROR,99,The organisation's name is consistently 'Qualifications Wales' (plural) throughout the document.
7,4,minimising bias,"Qualifications Wales' Standard Conditions of Recognition also require that our qualifications, as far as possible, secure validity, reliability, comparability, manageability and **minimising bias**, and to ensure that we achieve the optimum balance of these factors in the context of that particular qualification.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"For parallelism with the preceding nouns (validity, reliability, comparability, manageability), 'minimising bias' should be 'minimisation of bias'."
8,5,decision making,"Whilst these are clearly very important considerations, we now propose that we put learner equity at the heart of our design and **decision making** in relation to non-examination assessments.",ErrorCategory.STYLISTIC_PREFERENCE,85,"As a compound noun, 'decision-making' is typically hyphenated in formal British English."
9,5,which limit,Our focus on equity may lead to controls **which limit** some of the flexibility that could have helped centres balance some of the manageability concerns.,ErrorCategory.STYLISTIC_PREFERENCE,80,"For a restrictive clause, 'that' is generally preferred over 'which' in British English for clarity."
10,5,nonexamination,"Where this is the case, scanning and uploading of **nonexamination** assessment could be time-consuming, particularly when considering the scale of non-examination assessment across the suite of qualifications.",ErrorCategory.CONSISTENCY_ERROR,98,The term 'non-examination' is consistently hyphenated elsewhere in the document and should be here for consistency.
11,5,Spring,We are undertaking further focused work to explore in more detail and will clarify our expectations in the **Spring**.,ErrorCategory.CONSISTENCY_ERROR,90,"Seasons are generally not capitalised in British English unless part of a proper noun (e.g., 'Spring Term')."
12,5,differed significantly to,"Some of the comments made indicated that the number of hours allocated to some subjects **differed significantly to** the guided learning hours, and this raised concerns around their ability to cover the content in the time they were allocated by their school.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The correct preposition to use with 'differed' in this context is 'from', not 'to'."
13,5,re-sits,"A number of Further Education providers raised concerns around **re-sits**, with particular concerns relating to Mathematics and Numeracy, and English Language and Literature.",ErrorCategory.SPELLING_ERROR,90,"As a noun, the standard British English spelling is 'resits' (one word)."
14,6,does not refer,"However, we have reviewed our use of concepts across the outlines and in some cases, where the word does not add value or the Approval Criteria **does not refer** to concepts, we have removed the references.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"'Criteria' is a plural noun, so the verb should be 'do not refer' to maintain subject-verb agreement."
15,8,*.,"The Approval Criteria note that as part of the devising unit, learners must submit a reflective log in a non-prescribed format; this will be compulsory to access the full range of marks***.** Our specification writers are aware of the concerns raised within the consultation and are working to ensure that the reflective log does not impede learners' creativity and enthusiasm within the devising unit.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The asterisk is an extraneous character and should be removed; the sentence should end with a full stop.
16,8,states,Respondents noted concerns about the unprepared work(s) in the external examination. The Approval Criteria **states** that 30% of the qualification must be assessed by external examination which must include questions on unprepared works.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"'Criteria' is a plural noun, so the verb should be 'state' to maintain subject-verb agreement."
17,9,that the assessment approach is appropriate,"Respondents generally agreed or partially agreed that the proposed assessment approach is appropriate, **that the assessment approach is appropriate**, that the unit purposes are appropriate and engaging for learners and meet the qualification purpose and aims, and that the assessment approach is appropriate.",ErrorCategory.STYLISTIC_PREFERENCE,90,"The phrase 'that the assessment approach is appropriate' is repeated unnecessarily, making the sentence clunky and redundant."
18,9,It also states,"The Approval Criteria from Qualifications Wales state that learners need to develop their knowledge and understanding of different business models, technology and the role of enterprise and entrepreneurship from a local perspective. **It also states** that learners must develop 'an understanding of business processes, incentives, and outcomes, within their cynefin'. However, it is our intention to provide guidance on criteria for selecting a suitable business to support centres.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The pronoun 'It' refers to 'The Approval Criteria', which is plural, so the verb should be 'state' (They also state) for subject-verb agreement."
19,10,around,Some concerns were raised **around** the number of non-examination assessments. We are unable to address this as it reflects a decision made by Qualifications Wales; the Approval Criteria state that there must be two non-examination assessments that account for 40% of the qualification.,ErrorCategory.STYLISTIC_PREFERENCE,80,'Around' is less formal than 'regarding' or 'about' in this context and could be replaced for a more professional tone.
20,10,As the Approval Criteria state that one of the non-examination assessments must be marked by the centre and moderated by the WJEC,"The Approval Criteria state that one of the non-examination assessments must be marked by the centre and moderated by the WJEC. Consequently, we have now decided that the fieldwork will be set and marked by WJEC. **As the Approval Criteria state that one of the non-examination assessments must be marked by the centre and moderated by the WJEC**, the Decision Making Exercise will now be marked by centres and moderated by WJEC; this non-examination assessment is 15% of the qualification and is therefore smaller than the fieldwork non-examination assessment at 25%.",ErrorCategory.STYLISTIC_PREFERENCE,90,"This clause is repeated unnecessarily within the same sentence, making the phrasing redundant and clunky."
21,10,due to the time it takes,"However, following discussions with our Geography Qualification Development Advisory Group, we have not increased the weighting as we would consequently have to lower the fieldwork weighting; the Group did not favour this **due to the time it takes** learners to complete the fieldwork non-examination assessment.",ErrorCategory.STYLISTIC_PREFERENCE,85,The phrasing 'due to the time it takes' is slightly awkward; 'because of the time required for learners to complete' or similar would be more concise and formal.
22,10,widen out,"Consequently, we have removed the reference to exploring fieldwork in learners' locality, to **widen out** the area that learners can explore. However, it is likely that most fieldwork enquiries will take place in the local area.",ErrorCategory.STYLISTIC_PREFERENCE,85,'Widen' or 'broaden' is sufficient; 'out' is redundant and makes the phrasing slightly informal.
23,10,submission we,Following feedback on digital **submission we** will be exploring this further at the next stage of development.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma is needed after the introductory participial phrase 'Following feedback on digital submission' to separate it from the main clause.
