issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,2,Approved,- [Made for Wales GCSE Qualification Approval Criteria](https://qw-website-prod-master.azurewebsites.net/media/t1lhpbwl/made-for-wales-gcse-qualification-approval-criteria.pdf) which set out requirements for any new GCSE qualification **Approved** for first teaching from September 2025 and beyond.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The word 'Approved' should be lowercase as it functions as a descriptive adjective within the clause, not a proper noun or the start of a new sentence."
1,4,MAL PRACTICE,| 4   | **MAL PRACTICE**                      |                                                                 | 29 |,ErrorCategory.SPELLING_ERROR,95,"The compound word 'malpractice' should be written as a single word, not two separate words, even if split by OCR."
2,5,pre-release brief,"The pre-released brief will be available via the WJEC Portal. The assessment will feature tasks based on the scenario.

This is a unitised qualification.

It is not tiered.

Unit 1 examination will be available in the summer each year. It will be first awarded in 2026.

Unit 2 examination will be available in the summer each year. It will first be awarded in 2027.

It would be most appropriate for learners to complete Unit 2 in the final year of the course. This would allow learners to implement their understanding of computer science concepts developed throughout Unit 1. It would also allow learners to build on the approaches and practices learnt in Unit 1.

The Unit 2 examination will be based on a **pre-release brief** which will be issued to centres in the academic year before the assessment is scheduled to take place (for example, September 2025 for the 2027 examination). Centres have the flexibility to decide when during the first academic year of study to share the brief with learners.

Qualification Approval Number: C00/4967/3",ErrorCategory.CONSISTENCY_ERROR,85,"The term 'pre-release brief' is used here, but 'pre-released brief' is used consistently elsewhere on the same page to refer to the same item. Consistency is required."
3,6,those subject specific skills and concepts,"Central to this design are the [principles of progression,](https://hwb.gov.wales/curriculum-for-wales/science-and-technology/principles-of-progression/) along with the [statements of](https://hwb.gov.wales/curriculum-for-wales/science-and-technology/statements-of-what-matters/)  [what matters](https://hwb.gov.wales/curriculum-for-wales/science-and-technology/statements-of-what-matters/) and **those [subject specific skills and concepts](https://hwb.gov.wales/curriculum-for-wales/science-and-technology/designing-your-curriculum/#specific-considerations-for-this-area)** outlined in the '[Designing](https://hwb.gov.wales/curriculum-for-wales/science-and-technology/designing-your-curriculum/#specific-considerations-for-this-area)  [your Curriculum](https://hwb.gov.wales/curriculum-for-wales/science-and-technology/designing-your-curriculum/#specific-considerations-for-this-area)' section of the Science and Technology Area of Learning and Experiences.",ErrorCategory.AMBIGUOUS_PHRASING,85,"The use of 'those' without a clear parallel structure (e.g., 'the statements of what matters and the subject-specific skills and concepts') makes the phrasing awkward and potentially ambiguous."
4,6,subject specific,"Central to this design are the [principles of progression,](https://hwb.gov.wales/curriculum-for-wales/science-and-technology/principles-of-progression/) along with the [statements of](https://hwb.gov.wales/curriculum-for-wales/science-and-technology/statements-of-what-matters/)  [what matters](https://hwb.gov.wales/curriculum-for-wales/science-and-technology/statements-of-what-matters/) and those [**subject specific** skills and concepts](https://hwb.gov.wales/curriculum-for-wales/science-and-technology/designing-your-curriculum/#specific-considerations-for-this-area) outlined in the '[Designing](https://hwb.gov.wales/curriculum-for-wales/science-and-technology/designing-your-curriculum/#specific-considerations-for-this-area)  [your Curriculum](https://hwb.gov.wales/curriculum-for-wales/science-and-technology/designing-your-curriculum/#specific-considerations-for-this-area)' section of the Science and Technology Area of Learning and Experiences.",ErrorCategory.STYLISTIC_PREFERENCE,90,'Subject-specific' should be hyphenated when used as a compound adjective before a noun.
5,6,Experiences,"Central to this design are the [principles of progression,](https://hwb.gov.wales/curriculum-for-wales/science-and-technology/principles-of-progression/) along with the [statements of](https://hwb.gov.wales/curriculum-for-wales/science-and-technology/statements-of-what-matters/)  [what matters](https://hwb.gov.wales/curriculum-for-wales/science-and-technology/statements-of-what-matters/) and those [subject specific skills and concepts](https://hwb.gov.wales/curriculum-for-wales/science-and-technology/designing-your-curriculum/#specific-considerations-for-this-area) outlined in the '[Designing](https://hwb.gov.wales/curriculum-for-wales/science-and-technology/designing-your-curriculum/#specific-considerations-for-this-area)  [your Curriculum](https://hwb.gov.wales/curriculum-for-wales/science-and-technology/designing-your-curriculum/#specific-considerations-for-this-area)' section of the Science and Technology Area of Learning and **Experiences**.",ErrorCategory.FACTUAL_INACCURACY,95,"The official name, as per the linked Hwb guidance, is 'Science and Technology Area of Learning and Experience' (singular)."
6,6,"mapping, and information","Appendix A provides a simple **mapping, and information** to support teachers will be provided in the Guidance for Teaching.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Two independent clauses are incorrectly joined by a comma, creating a comma splice."
7,6,real-world,"- become enterprising, **real-world** problem solvers through developing skills in computational thinking.",ErrorCategory.STYLISTIC_PREFERENCE,90,'Real-world' should be hyphenated when used as a compound adjective before a noun.
8,7,subject specific,"- supporting the **subject specific** considerations for Computer Science[3](#page-7-3) by:
  - learning about the design, development and application of technology, software and systems",ErrorCategory.STYLISTIC_PREFERENCE,90,'Subject-specific' should be hyphenated when used as a compound adjective before a noun.
9,7,2-year,GCSE Computer Science has been designed to be delivered within 120 – 140 guided learning hours. The qualification has been primarily designed as a **2-year** programme for learners in years 10 and 11.,ErrorCategory.STYLISTIC_PREFERENCE,90,'2-year' should be hyphenated when used as a compound adjective before a noun.
