issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,0,design and technology,"Through studying GCSE Design and Technology, you will be prepared to participate confidently and successfully in an increasingly technological world; and be aware of, and learn from, wider influences on **design and technology**, including historical, social/cultural, environmental and economic factors.",ErrorCategory.CONSISTENCY_ERROR,95,"The name of the subject, 'Design and Technology', should be consistently capitalised throughout the document."
1,0,On screen exam,"#### Unit 1 – **On screen exam**

Assessment Type: Digital examination 30% of qualification: 80 marks",ErrorCategory.CONSISTENCY_ERROR,90,The compound adjective 'on-screen' should be hyphenated for consistency with its later use in the document ('The on-screen exam').
2,0,'real life',"This unit is designed to give you the opportunity to solve **'real life'** problems by designing and making products or systems that respond to your selected target markets' needs, wants and values.",ErrorCategory.STYLISTIC_PREFERENCE,85,The compound adjective 'real-life' should be hyphenated for standard British English usage.
3,0,prototypes,"You will be required to identify design opportunities, produce a clear design brief and specification, create innovative solutions, produce quality final **prototypes**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"A conjunction (e.g., 'and') is required before the final item in a list of three or more elements."
4,0,Knowledge and Understanding,- **Knowledge and Understanding** of all design and technological activity and influences,ErrorCategory.STYLISTIC_PREFERENCE,80,"In a list of skills, 'knowledge and understanding' should typically be lowercase unless it forms part of a proper noun or specific title."
5,0,"Develop high quality, imaginative and functional prototypes","- Decision making and communication skills
- **Develop high quality, imaginative and functional prototypes**",ErrorCategory.CONSISTENCY_ERROR,85,"This bullet point begins with a verb, which is inconsistent with the noun phrase structure of most other bullet points in the list of skills."
6,0,-TALK,FIND OUT MORE **-TALK** TO YOUR TEACHER TODAY!,ErrorCategory.STYLISTIC_PREFERENCE,90,A space is required after the dash for improved readability and adherence to standard punctuation conventions.
7,1,"; and be aware of,","Through studying GCSE Design and Technology, you will be prepared to participate confidently and successfully in an increasingly technological world**; and be aware of,** and learn from, wider influences on design and technology, including historical, social/cultural, environmental and economic factors.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A semicolon is used incorrectly here to separate a main clause from a coordinated phrase; a comma or 'and' would be grammatically appropriate.
8,1,On screen exam,## Unit 1 - **On screen exam**,ErrorCategory.STYLISTIC_PREFERENCE,90,The compound adjective 'on-screen' should be hyphenated when preceding the noun 'exam' in British English.
9,1,real life,"This unit is designed to give you the opportunity to solve '**real life**' problems by designing and making products or systems that respond to your selected target markets' needs, wants and values.",ErrorCategory.STYLISTIC_PREFERENCE,90,The compound adjective 'real-life' should be hyphenated when preceding the noun 'problems'.
10,1,Understanding,- Knowledge and **Understanding** of all design and technological activity and influences,ErrorCategory.CONSISTENCY_ERROR,90,"The capitalisation of 'Understanding' is inconsistent with other words in the bulleted list, which generally follow sentence case unless they are proper nouns."
11,1,Develop,"- **Develop** high quality, imaginative and functional prototypes",ErrorCategory.CONSISTENCY_ERROR,85,"This bullet point starts with a verb, breaking the parallel structure of the preceding bullet points which are noun phrases (e.g., 'Creative and innovative thinking')."
12,1,-TALK,FIND OUT MORE **-TALK** TO YOUR TEACHER TODAY!,ErrorCategory.STYLISTIC_PREFERENCE,80,A space should be included after the dash for improved readability and adherence to standard punctuation conventions.
13,1,On screen,## Unit 1 – **On screen** exam,ErrorCategory.STYLISTIC_PREFERENCE,88,The compound adjective 'on-screen' should be hyphenated when preceding a noun.
14,1,real life,"This unit is designed to give you the opportunity to solve '**real life**' problems by designing and making products or systems that respond to your selected target markets' needs, wants and values.",ErrorCategory.STYLISTIC_PREFERENCE,88,The compound adjective 'real-life' should be hyphenated when preceding a noun.
15,1,prototypes,"You will be required to identify design opportunities, produce a clear design brief and specification, create innovative solutions, produce quality final **prototypes**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A conjunction (e.g., 'and') is missing before the final item in the series of actions, leading to a run-on sentence or an improperly constructed list."
16,1,Understanding,- Knowledge and **Understanding** of all design and technological activity and influences,ErrorCategory.CONSISTENCY_ERROR,90,"The capitalisation of 'Understanding' is inconsistent with 'Knowledge' and other list items, which are in lowercase."
17,1,high quality,"- Develop **high quality**, imaginative and functional prototypes",ErrorCategory.STYLISTIC_PREFERENCE,88,The compound adjective 'high-quality' should be hyphenated when preceding a noun.
18,1,-TALK,FIND OUT MORE **-TALK** TO YOUR TEACHER TODAY!,ErrorCategory.STYLISTIC_PREFERENCE,85,"There should be a space after the dash for improved readability, or the dash should be replaced with a full stop or colon."
