issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,3,MMAR,...------------------  # Contents  | SUI | MMAR                                        ...,ErrorCategory.PARSING_ERROR,100,The word 'SUMMARY' is incorrectly split across table columns due to a parsing error.
1,3,INTR,...-------------------------|----| | 1   | INTR                                        ...,ErrorCategory.PARSING_ERROR,100,The word 'INTRODUCTION' is incorrectly split across table columns due to a parsing error.
2,3,ODUCTION,...                                      | ODUCTION                                        ...,ErrorCategory.PARSING_ERROR,100,The word 'INTRODUCTION' is incorrectly split across table columns due to a parsing error.
3,3,SUBJ,...                         | 8  | | 2   | SUBJ                                        ...,ErrorCategory.PARSING_ERROR,100,The word 'SUBJECT' is incorrectly split across table columns due to a parsing error.
4,3,SSMENT,...                                      | SSMENT                                        ...,ErrorCategory.PARSING_ERROR,100,The word 'ASSESSMENT' is incorrectly split across table columns due to a parsing error.
5,3,MALF,...                         | 26 | | 4   | MALF                                        ...,ErrorCategory.PARSING_ERROR,100,The word 'MALPRACTICE' is incorrectly split across table columns due to a parsing error.
6,3,endix,...                         | 29 | | App | endix                                        ...,ErrorCategory.PARSING_ERROR,100,The word 'Appendix' is incorrectly split across table columns due to a parsing error.
7,3,endix,...the Curriculum for Wales | 30 | | App | endix                                        ...,ErrorCategory.PARSING_ERROR,100,The word 'Appendix' is incorrectly split across table columns due to a parsing error.
8,7,enables,"...es, tools, materials and practices that enables them to become curious and creative ind...",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The plural subject 'genres, techniques, tools, materials and practices' requires the plural verb 'enable', not 'enables'."
9,10,crosscutting,"...ecessary skills required to explore the crosscutting themes of human-rights and diversity, i...",ErrorCategory.STYLISTIC_PREFERENCE,80,"While 'crosscutting' is acceptable, 'cross-cutting' is the more common and stylistically preferred hyphenated form for a compound adjective in formal UK English."
10,11,Celine Sciamma,"...us, UK, 2014), 15\* **and** *Girlhood* (Celine Sciamma, France, 2014), 15\*  *Dream Horse* (Eu...",ErrorCategory.FALSE_POSITIVE,100,'Celine Sciamma' is the correct spelling of the director's name.
11,12,low key,"...ghting (for example, high key lighting, low key lighting).</li></ul> | | 1.1.2 How film...",ErrorCategory.PARSING_ERROR,95,'Low-key' should be hyphenated as a compound adjective modifying 'lighting'.
12,19,live streaming,"...releases)   - video games (for example; live streaming, free demos)   - television/streaming (...",ErrorCategory.STYLISTIC_PREFERENCE,70,'Live streaming' is acceptable as two words when used as a noun phrase.
13,22,audio-visual,...velop their ideas into a final: <ul><li>audio-visual/audio product:</li><li>social media cam...,ErrorCategory.FALSE_POSITIVE,100,'Audio-visual' is correctly hyphenated as a compound adjective.
14,22,post production,... their technical and creative skills in post production by:</li><li>editing the digital media o...,ErrorCategory.PARSING_ERROR,95,'Post-production' should be hyphenated as a compound noun.
15,26,audio-visual,...d brief. One production piece should be audio-visual/audio and the other should be digital/o...,ErrorCategory.FALSE_POSITIVE,100,'Audio-visual' is correctly hyphenated as a compound adjective.
16,35,screen writer,... | | Screenplay | A script written by a screen writer for a film or television show that tell...,ErrorCategory.SPELLING_ERROR,95,'Screenwriter' should be written as a single word.
