issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,5,consequences to,"...ere are broad legal, social and ethical **consequences to** the use of technology  <span id=""page-5...",PassCode.LTC,ErrorCategory.POSSIBLE_AMBIGUOUS_GRAMMATICAL_ERROR,85,"While 'consequences to' is not strictly incorrect, 'consequences of' is more idiomatic and precise in this context for formal UK English."
1,19,privacyfocused,"...oftware tools and technologies, such as **privacyfocused** browsers and Virtual Private Networks (...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The compound adjective 'privacy-focused' requires a hyphen in UK English.
2,22,able review,... and organising data. Leaners should be **able review** quantitative data and use suitable spre...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The infinitive form 'to review' is grammatically required after 'should be able'.
3,24,products,...f the following areas:  - 2.2.1 Digital **products** proposal - 2.2.2 Designing digital prod...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Digital products proposal' is a correct and common noun phrase used as a section title.
4,24,products,...----------------------| | 2.2.1 Digital **products** proposal | Learners should understand h...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Digital products proposal' is a correct and common noun phrase used as a section title.
5,25,Hyper Text Mark-up Language,"... hostable file format, such as: <ul><li>**Hyper Text Mark-up Language** (HTML)</li><li>Cascading Style Sheets (...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,"The standard and widely accepted spelling for the technical term is 'HyperText Markup Language', with 'Markup' as a single word."
6,44,multi player,...li>scripting advanced features:</li><li>**multi player** **</li><li>attack system **</li><li>gra...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,'Multiplayer' should be written as a single word when used as a compound noun or adjective in UK English.
7,46,customize,"...ons</li></ul> | <ul><li>stroke: add and **customize** the outline of shapes, including colour...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,The UK English spelling for 'customize' is 'customise'.
8,47,fadein,"...t animation: add animations for example **fadein**, slide, bounce, or typewriter effects \...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,'Fade-in' should be hyphenated when used as a compound adjective describing an animation effect.
9,47,organize,...or backgrounds or shapes \*\* - layers: **organize** elements on different layers for easier...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,The UK English spelling for 'organize' is 'organise'.
10,48,stylized,...apping apply custom gradients to create **stylized** colour effects \*\*\* - layers: combine...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,The UK English spelling for 'stylized' is 'stylised'.
11,48,nondestructive,...combine multiple images or effects in a **nondestructive** way \*\*\* - masks: apply adjustments t...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,"While 'nondestructive' is acceptable, 'non-destructive' is the preferred hyphenated form in formal UK English for clarity."
12,48,minimize,...e whole photo.\*\*\* - noise reduction: **minimize** graininess or digital noise \*\*\* - wh...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,The UK English spelling for 'minimize' is 'minimise'.
13,57,pdf,"...ing in standard formats (e.g. svg, png, **pdf**)? - ▶ yes → software is highly suitable...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"'pdf' is a correct and commonly used lowercase acronym for Portable Document Format, especially when listed alongside other file extensions."
