issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,5,live streamed,...flecting linked to live and/or recorded/**live streamed** performances as possible theatrical inf...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The compound adjective 'live-streamed' requires a hyphen when preceding the noun 'performances'.
1,7,or,"... items. E.g., are the items contemporary** or** could they belong to a different era? W...",PassCode.LTC,ErrorCategory.POSSIBLE_AMBIGUOUS_GRAMMATICAL_ERROR,80,A comma should precede the coordinating conjunction 'or' when it connects two independent clauses.
2,9,key words,...cused.  #### **Development :**  Finding **key words** from the selected scene and adding them...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,'Key words' is correctly written as two separate words in this context.
3,9,youtube,... Works: Table Top Shakespeare Trailer \(**youtube**.com\)](https://www.youtube.com/watch?v=...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'youtube.com' is correctly rendered in lowercase as part of the URL.
4,10,past,"... significant person from the characters **past** in mentioned they come on stage, played...",PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,An apostrophe is missing to indicate possession; it should be 'character's past' or 'characters' past'.
5,10,but,"...or example, every character has a mother** but** how do they feel about her and how did ...",PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma is required before the coordinating conjunction 'but' when it joins two independent clauses.
6,10,and,... a mother but how do they feel about her** and** how did they act around her?  This is a...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"No comma is required before 'and' as it connects two phrases within a single clause, not two independent clauses."
7,15,and,...rners read the opening scene of the play** and** they stage their initial ideas for the ...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma is required before the coordinating conjunction 'and' when it joins two independent clauses.
8,17,1940's,"...rs decide their set design reflects the **1940's** , the costume should reflect this.  Cos...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,An apostrophe should not be used when referring to a decade; it should be '1940s'.
9,18,and,...ecide at which point s it will be played** and** they record their ideas using a cue she...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma is required before the coordinating conjunction 'and' when it joins two independent clauses.
10,19,href,"... the importance of sound in theatre: <a **href**=""https://www.youtube.com/watch?v=MGtX9P...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`href` is a correct HTML attribute and not a linguistic error in the document's content.
11,20,youtube,...avage Examines the Props of Hamilton! \(**youtube**.com\).](https://www.youtube.com/watch?v...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`youtube.com` is a correct domain name used as part of a link description.
12,20,youtube,...m/watch?v=z-YHTBcM-VM)  [DVD \(2015\) \(**youtube**.com\)](https://www.youtube.com/watch?v=...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`youtube.com` is a correct domain name used as part of a link description.
13,21,href,"...ate specific meaning to an audience: <a **href**=""https://www.youtube.com/watch?v=x3hYpl...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`href` is a correct HTML attribute and not a linguistic error in the document's content.
14,23,theatre theatre,...ng: naturalism musical theatre physical **theatre theatre** in education. | This section of the exa...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The word 'theatre' is incorrectly repeated, creating a grammatical error."
15,23,as well as,...t is written by writers both from Wales **as well as** those with diverse backgrounds. Learner...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The construction 'both... as well as' is grammatically redundant; it should be 'both... and' or simply 'as well as' without 'both'.
16,25,groups,"...lips of different styles of theatre. In **groups** they present an ""arts feature"", where t...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'In groups' is a grammatically correct and common idiom meaning 'working as groups'.
17,25,so,... presentation could be filmed and viewed** so** a range of opinions are offered.  Immed...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The conjunction 'so' is used correctly to introduce a result clause.
18,25,as well as,...key elements of performance to focus on **as well as** the relevant terminology.  These analys...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The construction 'both... as well as' is grammatically redundant; it should be 'both... and' or simply 'as well as' without 'both'.
19,25,youtube,...com/watch?v=hUEORBWHAVU)  [Marquee TV \(**youtube**.com\)](https://www.youtube.com/watch?v=...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`youtube.com` is a correct domain name used as part of a link description.
20,26,youtube,...from The [Tragedy of Macbeth \(2021\) \(**youtube**.com\).](https://www.youtube.com/watch?v...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The domain name 'youtube.com' is correctly written in lowercase as part of the URL reference.
21,26,youtube,...Macbeth in Welsh \(1964\) | BBC Wales \(**youtube**.com\).](https://www.youtube.com/watch?v...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The domain name 'youtube.com' is correctly written in lowercase as part of the URL reference.
22,26,youtube,...ip 4 [Shakespeare's Macbeth Tara Arts \(**youtube**.com\).](https://www.youtube.com/watch?v...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The domain name 'youtube.com' is correctly written in lowercase as part of the URL reference.
23,27,in this moment,...ure_3.jpeg)  *Discuss the lighting used **in this moment**? Discuss how effective you think the li...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The phrase 'in this moment' is grammatically correct and appropriate for the context of discussing an image.
24,28,youtube,...uTube [Romeo and Juliet balcony scene \(**youtube**.com\)](https://www.youtube.com/watch?v=...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The domain name 'youtube.com' is correctly written in lowercase as part of the URL reference.
25,28,youtube,...ww.youtube.com/watch?v=yTWUk3QZoLs)  [\(**youtube**.com\)](https://www.youtube.com/watch?v=...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The domain name 'youtube.com' is correctly written in lowercase as part of the URL reference.
26,28,youtube,...ww.youtube.com/watch?v=ZQzhvtsxDVM)  [\(**youtube**.com\).](https://www.youtube.com/watch?v...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The domain name 'youtube.com' is correctly written in lowercase as part of the URL reference.
27,29,playwrights,"...their own scripts, for example, a young **playwrights** competition, which could be embedded in...",PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The phrase 'playwrights competition' requires a possessive apostrophe (playwrights') or should be rephrased as a compound noun (playwright competition).
28,29,and,... staging.</li><li>6-8 scripts are chosen** and** the playwright is responsible for direc...,PassCode.LTC,ErrorCategory.POSSIBLE_AMBIGUOUS_GRAMMATICAL_ERROR,80,A comma before 'and' would improve clarity as it separates two independent clauses.
29,29,understanding,".../li><li>This process allows learners to **understanding** how plays are developed, designed and p...",PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The infinitive form 'to understand' is required after 'allows learners to', not the gerund 'understanding'."
30,31,youtube,"...=a3bcswD0wZ8)  [UK Tour | ATG Tickets \(**youtube**.com\),](https://www.youtube.com/watch?v...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The word 'youtube' is correctly used as part of a URL and should not be capitalised in this context.
31,32,some of ideas,...RK2Z4mZZE6HQ)  - Learners could look at **some of ideas** within the pack and create their own re...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The definite article 'the' is missing before 'ideas' to form the correct phrase 'some of the ideas'.
32,34,mold,...-riots) [part/projects/together/theatre/**mold**](https://www.theatrclwyd.com/take-part/...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Mold' is a proper noun referring to a place name in Wales and is correctly used in the URL.
