issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,3,Proforma,...m Unit 1         | 1      | | Programme Proforma Unit 1                 | 1      | | Can...,ErrorCategory.FALSE_POSITIVE,95,"Proforma is an acceptable single-word spelling for a standard form, especially in British English and WJEC document titles."
1,3,kol,...ent Pack                 | 110055 | | i kol use will                            |  ...,ErrorCategory.PARSING_ERROR,100,The phrase 'i kol use will' is nonsensical and appears to be a data entry or parsing error within the table.
2,6,audio visual,...itable format):  - audio presentation - audio visual presentation - PowerPoint - written pro...,ErrorCategory.PARSING_ERROR,95,Audio-visual should be hyphenated when used as a compound adjective in UK English for consistency and grammatical correctness.
3,9,has,...mining the extent to which the learners has met the criteria within the relevant ba...,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The plural subject 'learners' requires the plural verb 'have' for correct subject-verb agreement.
4,14,has,...mining the extent to which the learners has met the criteria within the relevant ba...,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The plural subject 'learners' requires the plural verb 'have' for correct subject-verb agreement.
5,14,and,...tifying individual levels of achievement and they do not correlate with grade bounda...,ErrorCategory.STYLISTIC_PREFERENCE,70,"A comma before 'and' would improve readability by separating the two independent clauses, but its omission is not a grammatical error."
6,15,ofperformance,...re number | | Name of centre | | Date(s)ofperformance                                        ...,ErrorCategory.PARSING_ERROR,100,The words 'of' and 'performance' are incorrectly merged and should be separated by a space.
7,18,Proforma,"...# <span id=""page-18-0""></span>Programme Proforma Unit 1  ### Unit 1: Devising Theatre  T...",ErrorCategory.FALSE_POSITIVE,95,"Proforma is an acceptable single-word spelling for a standard form, especially in British English and WJEC document titles."
8,18,pro-forma,"...u wish to do so, please photo-copy this pro-forma for additional groups. Please ensure th...",ErrorCategory.STYLISTIC_PREFERENCE,80,"While 'pro-forma' is a valid spelling, using 'proforma' (single word) would maintain consistency with the document's title usage."
9,18,ame,...                    | Centre Na       | ame:                                       ...,ErrorCategory.PARSING_ERROR,100,"The word 'Name' is incorrectly split across two table cells, resulting in 'Na' and 'ame:'."
10,18,Tele,...----------|--|--|--|--| | Centre Number:Tele                                        ...,ErrorCategory.PARSING_ERROR,95,The word 'Telephone' is split across two table cells due to a parsing or formatting error.
11,18,ephone,...                                      | ephone:                                   |  |...,ErrorCategory.PARSING_ERROR,95,The word 'Telephone' is split across two table cells due to a parsing or formatting error.
12,18,href,"...LS | Acting < as applicable | Design <a href=""mailto:base;"">as applicable</a> | Char...",ErrorCategory.PARSING_ERROR,95,"The HTML attribute 'href' is visible, indicating a rendering or parsing issue with the Markdown table."
13,18,or,"...e;"">as applicable</a> | Character played or design skill selected |  |  |  |  | |  ...",ErrorCategory.PARSING_ERROR,90,"The word 'or' is correct in context, but it is adjacent to a visible HTML tag `</a>`, indicating a parsing or rendering issue."
14,18,cting,"...                        |  |  |  |  | | cting es p | 2 | 10, |  |  |  |  |  |  |  | |...",ErrorCategory.PARSING_ERROR,95,"This is a fragment of a word, likely 'acting', resulting from a corrupted or misparsed table row."
15,18,es p,"...                  |  |  |  |  | | cting es p | 2 | 10, |  |  |  |  |  |  |  | | tes ...",ErrorCategory.PARSING_ERROR,95,"This is a fragment of a word, likely part of 'candidates' or 'groups', resulting from a corrupted or misparsed table row."
