issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,3,assessment Assessment,...--------  #### Contents  | Managing the **assessment Assessment** Details                                ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The word 'assessment' is duplicated with different capitalization, indicating a parsing error."
1,3,Proforma,...date Mark Record Form Unit 2  Programme **Proforma** Unit 2  Unassessed Participant Declarat...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Proforma' is correctly used as part of a document title and is a valid English word.
2,3,Proforma,...idate Mark Record Form Unit 2 Programme **Proforma** Unit 2 Unassessed Participant Declarati...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Proforma' is correctly used as part of a document title and is a valid English word.
3,3,Proforma,...                          | | Programme **Proforma** Unit 2                                 ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Proforma' is correctly used as part of a document title and is a valid English word.
4,7,and,...tifying individual levels of achievement** and** they do not correlate with grade bounda...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The conjunction 'and' is correctly used to connect two independent clauses in the sentence.
5,14,Proforma,"...# <span id=""page-14-0""></span>Programme **Proforma** Unit 2  | Centre Name:                 ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Proforma' is correctly used as part of the document heading and is a valid English word.
6,14,skillCharacter,...                                      | **skillCharacter** played or design skill selected | |  | ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The words 'skill' and 'Character' appear to be merged, indicating a parsing error."
7,14,or,...                 | skillCharacter played** or** design skill selected | |  | group | BL...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The conjunction 'or' is correctly used to present an alternative in the phrase.
8,15,appropriat,...if required. | group | BLOCK CAPITALS | **appropriat** Acting (✓ as | Skill (✓ as appropriat D...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The word 'appropriate' is truncated, missing the final 'e', which is a common parsing error."
9,15,appropriat,...| appropriat Acting (✓ as | Skill (✓ as **appropriat** Design e) | e) skill Character played o...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The word 'appropriate' is truncated, missing the final 'e', which is a common parsing error."
10,15,or,...at Design e) | e) skill Character played** or** design skill selected | |              ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The word 'or' is correctly used as a conjunction in this table header.
11,15,pro-forma,"...u wish to do so, please photo-copy this **pro-forma** for additional groups. Please make sure...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,75,"While 'pro-forma' is acceptable, 'pro forma' (two words) is the more common and standard spelling for the noun in UK English."
12,16,and,...ts to complete Over 13**  • I am over 13** and** I give permission for my film/photograp...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The word 'and' is correctly used as a conjunction to connect two independent clauses.
13,24,skillCharacter,...appropriate) as | appropriate) Design | **skillCharacter** played or design skill selected | | act...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'skill' and 'Character' have been incorrectly merged during parsing and should be separated.
14,24,or,...ropriate) Design | skillCharacter played** or** design skill selected | | acting per gr...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The word 'or' is correctly used as a conjunction in this table header.
15,28,nonassessed,...signs (presented to the examiner in the **nonassessed** viva).  {29}---------------------------...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,"The compound adjective 'non-assessed' should be hyphenated for correctness and consistency, indicating a parsing error where the hyphen was lost."
