issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,6,"""","...y Queen, to dew her orbs upon the green.**""** - 'Farewell thou lob of spirit I'll be ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The quotation mark is inconsistent with the opening single quote and other examples, indicating a parsing or transcription error."
1,6,"""","... you are that shrewd and knavish sprite.**""** - And here my mistress. Would that he w...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The quotation mark is inconsistent with the opening single quote, indicating a parsing or transcription error."
2,6,here,"... that shrewd and knavish sprite."" - And **here** my mistress. Would that he were gone."" ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The word 'here' is correctly used as part of a direct quote from the play.
3,6,"""","...re my mistress. Would that he were gone.**""**  Award one mark for a brief explanation...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The quotation mark is inconsistent with the opening single quote, indicating a parsing or transcription error."
4,8,and,"...he finds all of Puck's antics very funny** and** they make her laugh, she enjoys recalli...",PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,A comma is required before the coordinating conjunction 'and' when it joins two independent clauses.
5,10,and,... white. - His hair would be in a Mohican** and** he would have black eyeliner around his...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,A comma is required before the coordinating conjunction 'and' when it joins two independent clauses.
6,12,credit worthy,.../ul> | | 0 marks | <ul><li>Response not **credit worthy** / not attempted.</li></ul> |  {13}-----...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,'Creditworthy' should be written as a single word or hyphenated ('credit-worthy') as a compound adjective for formality and consistency in UK English.
7,13,octagonal shaped,... at The Curtain Theatre. It was a large **octagonal shaped** building with a thrust/apron stage.  ##...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The compound adjective 'octagonal-shaped' requires a hyphen when preceding a noun.
8,13,or,"...le, they could be part of the set a bush** or** they may decide to use personal props s...",PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,A comma is required before the coordinating conjunction 'or' when it joins two independent clauses.
9,15,credit worthy,...> |  | | 0 marks | <ul><li>Response not **credit worthy** / not attempted.</li></ul> |  |  {16}--...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,'Creditworthy' should be written as a single word or hyphenated ('credit-worthy') as a compound adjective for formality and consistency in UK English.
10,16,Thesus,...not score higher than band 2.**  #### ****Thesus**' character**  He is the Duke of Athens ...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,"The character's name is 'Theseus', not 'Thesus'."
11,17,"""","...- **""**I have, that's true, *driven* out**""**. - ""Look! I've got *no thing*, no singl...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The HTML entity `&quot;` should be replaced with a standard double quotation mark.
12,17,no thing,"...true, *driven* out"". - ""Look! I've got ***no thing***, no single thing."" - ""Yesterday you co...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The phrase 'no thing' is an intentional stylistic choice within the quoted text to emphasize the absence of anything, not a spelling error."
13,21,and,...ir would be neat and tidy in a small bun** and** she would have some pink lipstick on.  ...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,"A comma before 'and' is stylistically preferred when joining two independent clauses for improved readability, but its omission is not a grammatical error."
14,23,credit worthy,.../ul> | | 0 marks | <ul><li>Response not **credit worthy** / not attempted.</li></ul> |  {24}-----...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,The compound adjective 'credit-worthy' should be hyphenated for clarity and consistency in formal UK English.
15,24,Apartment,...argument.  **Location –** The Wingfield **Apartment**.  # **Choice of stage**  Candidates mus...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"'The Wingfield Apartment' refers to a specific named location within the play, making 'Apartment' a proper noun and its capitalization correct."
16,24,or,... could be part of the set the typewriter** or** they may decide to use personal props s...,PassCode.LTC,ErrorCategory.POSSIBLE_AMBIGUOUS_GRAMMATICAL_ERROR,75,"Adding a comma before 'or' would improve the clarity and flow of the sentence, which joins two independent clauses."
17,26,credit worthy,.../ul> | | 0 marks | <ul><li>Response not **credit worthy** / not attempted.</li></ul> |  {27}-----...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,The compound adjective 'credit-worthy' should be hyphenated for clarity and consistency in formal UK English.
18,28,"""","... I said, I'm not speaking to you no more**""**. - ""*You're* my Best Friend, Angela."" -...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The HTML entity `&quot;` should be replaced with a standard double quotation mark.
19,28,do,"...ou Wallace Wilson's Best Friend?"" - ""He **do**n't half like her, though"".  Award one m...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"'He don't' is a deliberate colloquialism or dialect representation within a quoted line from a drama text, and is therefore correct as written."
20,28,Audery,...e linked to the chosen line.  - To show **Audery**'s relationship with Angela. - To show h...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,"The character's name is consistently spelled 'AUDREY' elsewhere in the document, making 'Audery' a misspelling."
21,28,Audery,...nformation out of Angela. - To show how **Audery** likes to get a sly dig in.  {29}-------...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,"The character's name is consistently spelled 'AUDREY' elsewhere in the document, making 'Audery' a misspelling."
22,29,Audery,...t**  # Suitable ideas could include:  - **Audery** could walk slowly with a concentrated f...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,"The character's name is consistently spelled 'AUDREY' elsewhere in the document, making 'Audery' a misspelling."
23,30,Audery,...)(iii).  #### **Indicative content**  - **Audery** is walking slowly because she is intent...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,"The character's name is consistently spelled 'AUDREY' elsewhere in the document, making 'Audery' a misspelling."
24,30,Audery,... sure she gets all the details right. - **Audery** could hold Angela's hand to emphasise h...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,"The character's name is consistently spelled 'AUDREY' elsewhere in the document, making 'Audery' a misspelling."
25,30,Audery,...emphasise that they are best friends. - **Audery** could pretend to rock the doll to sleep...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,"The character's name is consistently spelled 'AUDREY' elsewhere in the document, making 'Audery' a misspelling."
26,30,Audery,"...d because the ""baby"" wouldn't sleep and **Audery** doesn't like it when people don't liste...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,"The character's name is consistently spelled 'AUDREY' elsewhere in the document, making 'Audery' a misspelling."
27,31,Audery,...a is manipulative. - She enjoys playing **Audery** along by not admitting immediately that...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,"The character's name is consistently spelled 'AUDREY' elsewhere in the document, making 'Audery' a misspelling."
28,32,summertime,...ould look light and pretty to emphasise **summertime** to help reinforce brightness before the...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"While 'summertime' is acceptable as one word, 'summer-time' is also a valid alternative in UK English."
29,34,credit worthy,.../ul> | | 0 marks | <ul><li>Response not **credit worthy** / not attempted.</li></ul> |  {35}-----...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,"'Creditworthy' should be written as a single word when used as an adjective, as per standard UK English dictionaries."
30,35,Audery,...### **Given circumstances**  Angela and **Audery** are discussing best friends and boyfrie...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"Audery is a proper noun, likely a character name, and is spelled correctly in this context."
31,35,example,... identify the props they are using. For **example** they could be part of the set the typew...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,A comma is required after the introductory phrase 'For example' to separate it from the main clause.
32,35,or,... could be part of the set the typewriter** or** they may decide to use personal props s...,PassCode.LTC,ErrorCategory.POSSIBLE_AMBIGUOUS_GRAMMATICAL_ERROR,75,A comma should precede the coordinating conjunction 'or' when it connects two independent clauses for improved clarity.
