issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,2,INTF,...-------------------------|----| | 1   | INTF                          | RODUCTION   ...,ErrorCategory.PARSING_ERROR,100,The word 'INTRODUCTION' has been incorrectly split across two columns in the table of contents.
1,2,RODUCTION,...| 1   | INTF                          | RODUCTION                                        ...,ErrorCategory.PARSING_ERROR,100,The word 'INTRODUCTION' has been incorrectly split across two columns in the table of contents.
2,2,ortunities,...|     | Орр                           | ortunities for integration of learning experiences...,ErrorCategory.PARSING_ERROR,100,"The word 'Opportunities' has been incorrectly split across two columns in the table of contents, and 'Орр' is a mischaracterisation of 'Opp'."
3,2,ESSMENT,...| 3   | ASS                           | ESSMENT                                        ...,ErrorCategory.PARSING_ERROR,100,The word 'ASSESSMENT' has been incorrectly split across two columns in the table of contents.
4,2,HNICAL,...| 5   | TEC                           | HNICAL INFORMATION                            ...,ErrorCategory.PARSING_ERROR,100,The word 'TECHNICAL' has been incorrectly split across two columns in the table of contents.
5,2,endi,...                         | 22 | | App | endi                          | x A: Opportu...,ErrorCategory.PARSING_ERROR,100,The word 'Appendix' has been incorrectly split across two columns in the table of contents.
6,2,Wa,...elements of the Curriculum for |    | | Wa  | les                           |     ...,ErrorCategory.PARSING_ERROR,100,The word 'Wales' has been incorrectly split across two columns in the table of contents.
7,2,les,...ts of the Curriculum for |    | | Wa  | les                           |            ...,ErrorCategory.PARSING_ERROR,100,The word 'Wales' has been incorrectly split across two columns in the table of contents.
8,2,endi,...                         | 23 | | App | endi                          | x B: Glossar...,ErrorCategory.PARSING_ERROR,100,The word 'Appendix' has been incorrectly split across two columns in the table of contents.
9,6,and,...developing artistic skills and knowledge and it enables learners to become curious a...,ErrorCategory.FALSE_POSITIVE,95,"The conjunction 'and' is used correctly to link two parallel clauses within the sentence, and no comma is strictly required."
10,9,on-going,...spond to the feedback from others as an on-going process throughout the development peri...,ErrorCategory.STYLISTIC_PREFERENCE,80,"While 'on-going' is not incorrect, 'ongoing' as a single word is the more common and preferred spelling in modern UK English."
11,13,live streamed,...flecting linked to live and/or recorded/live streamed performances as possible theatrical inf...,ErrorCategory.PARSING_ERROR,95,"When used as a compound adjective modifying 'performances', 'live-streamed' should be hyphenated for clarity and grammatical correctness."
12,25,Flood light,.../out)  Fade  Crossfade  **Spotlight**   Flood light  Follow spot  Lights up  Lights down  P...,ErrorCategory.PARSING_ERROR,95,"'Floodlight' is conventionally written as a single word, consistent with other lighting terms like 'spotlight'."
