issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,5,"however, the","Learners will have free choice of text for Unit 2, **however, the** choice of text must be different to the set text selected in Unit 3.",ErrorCategory.STYLISTIC_PREFERENCE,80,A semicolon before 'however' would be more grammatically appropriate when connecting two independent clauses in formal writing.
1,6,non assessed,All **designers** must give a 3–5-minute **non assessed** presentation of their design to the examiner.,ErrorCategory.STYLISTIC_PREFERENCE,90,The compound adjective 'non-assessed' should be hyphenated when preceding the noun it modifies ('presentation').
2,6,e.g. PowerPoint,"This viva will occur after the performance and can be presented in any format **e.g. PowerPoint**, oral presentation.",ErrorCategory.STYLISTIC_PREFERENCE,85,"In formal British English, 'e.g.' should typically be followed by a comma."
3,6,therefore be,Performance pieces must **therefore be** carefully selected to ensure that all learners are able to fully demonstrate their chosen skill.,ErrorCategory.STYLISTIC_PREFERENCE,80,"When 'therefore' acts as a conjunctive adverb or parenthetical element, it is often set off by commas for improved clarity and flow, e.g., 'must, therefore, be'."
4,6,for example the,Teachers may provide guidance and support to learners to ensure that they have a clear understanding of the requirements **for example the** assessment grid.,ErrorCategory.STYLISTIC_PREFERENCE,85,"In formal writing, 'for example' should be followed by a comma when introducing an example."
5,8,assess,"Column 1 within each grid **assess** AO4:

• learners' ability to create and develop ideas to communicate meaning.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The singular subject 'Column 1' requires the singular verb 'assesses' for subject-verb agreement.
6,9,text.the,how ideas have been developed to create a piece of theatre from a published performance **text.the** selection of dramatic conventions and/or techniques and how they communicate meaning.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,Two independent sentences are incorrectly joined without a space and with incorrect capitalisation after the full stop.
7,9,theatre.assess,assess to what extent the learner has developed a coherent and refined piece of **theatre.assess** the effectiveness of the use of dramatic conventions and/or techniques to communicate meaning.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,Two independent sentences are incorrectly joined without a space and with incorrect capitalisation after the full stop.
8,10,of for example,"v) the application of design resources within the piece, including the appropriate use **of for example**:",ErrorCategory.STYLISTIC_PREFERENCE,90,"A comma is needed after 'of' to correctly introduce the parenthetical phrase 'for example', improving readability."
9,11,character examiners,Actors: When assessing the interpretation of **character examiners** will consider how well the learner has communicated the character in performance.,ErrorCategory.STYLISTIC_PREFERENCE,85,"A comma is needed after 'character' to separate the introductory clause from the main clause, improving readability."
10,11,Was,Actors: When assessing the interpretation of character examiners will consider how well the learner has communicated the character in performance. **Was** the character(s) motivations/status/relationships clear?,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The subject 'motivations/status/relationships' is plural, requiring the verb 'Were' instead of 'Was' for subject-verb agreement."
11,11,status/,Was there a sense of location/atmosphere/**status/** evident within the design?,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The trailing slash after 'status' is an incorrect punctuation mark in this context and should be removed.
12,11,(designers) examiners,Designers: When assessing the interpretation of the extract(s) **(designers) examiners** will consider how well the learner has communicated the piece in design.,ErrorCategory.STYLISTIC_PREFERENCE,85,"A comma is needed after '(designers)' to separate the introductory clause from the main clause, improving readability."
13,12,performance examiners,When assessing the contribution to the **performance examiners** will consider how well the individual performance or design contributed to the success of the final performance.,ErrorCategory.STYLISTIC_PREFERENCE,85,"A comma is needed after 'performance' to separate the introductory clause from the main clause, improving readability."
14,12,how the design enhanced the audience's understanding and theatrical experience.,"For designers, consideration will be given to:
- how the design communicated atmosphere
- how the design enhanced the performance
**how the design enhanced the audience's understanding and theatrical experience.**",ErrorCategory.CONSISTENCY_ERROR,90,"This item is clearly intended as a third bullet point in the list but is missing its bullet marker, creating a formatting inconsistency."
