issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,4,WJEC marked,This is a **WJEC marked** (external) non-examination assessment.,ErrorCategory.STYLISTIC_PREFERENCE,85,The compound adjective 'WJEC marked' should be hyphenated when preceding the noun 'non-examination assessment' for clarity in British English.
1,4,Unit 2 Unit 2,There are 72 marks awarded in Unit 2 **Unit 2** makes up 30% of the GCSE Drama qualification.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,This is a run-on sentence; the two independent clauses should be separated by a full stop or a semicolon.
2,5,"Unit 2, however,","Learners will have free choice of text for Unit 2, **however,** the choice of text must be different to the set text selected in Unit 3.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma splice occurs here; 'however' as a conjunctive adverb should be preceded by a semicolon or a full stop when joining two independent clauses.
3,6,anytime,The unit will be externally assessed by a visiting examiner **anytime** between January and May of the final year of the qualification.,ErrorCategory.STYLISTIC_PREFERENCE,80,"In formal British English, 'any time' (two words) is generally preferred over 'anytime' (one word) when used in the sense of 'at any time'."
4,6,assess,Column 1 within each grid **assess** AO4:,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"Subject-verb agreement error: 'Column 1' is singular, so the verb should be 'assesses'."
5,8,for example:,"v) the application of design resources within the piece, including the appropriate use of **for example**:",ErrorCategory.STYLISTIC_PREFERENCE,85,The phrase 'for example' is awkwardly placed; it should be preceded by a comma or the sentence should be rephrased for clarity.
6,9,character examiners,**Actors:** When assessing the interpretation of **character examiners** will consider how well the learner has communicated the character in performance.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma is required after the introductory phrase 'When assessing the interpretation of character' to separate it from the main clause.
7,9,extract(s) (designers) examiners,**Designers:** When assessing the interpretation of the **extract(s) (designers) examiners** will consider how well the learner has communicated the piece in design.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,Commas are required after the introductory phrase 'When assessing the interpretation of the extract(s)' and after the parenthetical 'designers' to separate them from the main clause.
8,9,status/,Was there a sense of location/atmosphere/**status/** evident within the design?,ErrorCategory.SPELLING_ERROR,95,The trailing slash after 'status' is a typographical error and should be removed.
9,10,performance how,"For designers, consideration will be given to:
- how the design communicated atmosphere
- how the design enhanced the **performance how** the design enhanced the audience's understanding and theatrical experience.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Two independent clauses are joined without proper punctuation or a conjunction, creating a run-on sentence. This should likely be two separate bullet points or joined by 'and'."
10,11,non assessed,All designers must give a 3–5-minute **non assessed** presentation of their design to the examiner.,ErrorCategory.STYLISTIC_PREFERENCE,90,The compound adjective 'non-assessed' should be hyphenated when preceding the noun it modifies ('presentation') for clarity in British English.
11,11,Set design and props design,"###### Sound design:
• cue sheets
**Set design and props design**:
• a model set. The model may be presented in a digital format.",ErrorCategory.CONSISTENCY_ERROR,85,"For consistency with other headings like 'Lighting design' and 'Sound design', this heading would be more concise and stylistically consistent as 'Set and props design'."
12,13,are chosen,A highly appropriate selection of dramatic conventions and/or techniques **are chosen** to communicate meaning in a highly effective way throughout the performance.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The subject 'selection' is singular, requiring the singular verb 'is chosen' for subject-verb agreement."
13,14,are chosen,An appropriate selection of dramatic conventions and/or techniques **are chosen** to communicate meaning in an effective way throughout the performance.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The subject 'selection' is singular, requiring the singular verb 'is chosen' for subject-verb agreement."
14,14,are chosen,A satisfactory selection of dramatic conventions and/or techniques **are chosen** to communicate meaning throughout most of the performance.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The subject 'selection' is singular, requiring the singular verb 'is chosen' for subject-verb agreement."
15,17,are chosen,A highly appropriate selection of design techniques **are chosen** to<br>communicate meaning in a highly<br>effective way throughout the<br>performance.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,The singular subject 'selection' requires a singular verb 'is chosen' for subject-verb agreement.
16,18,are chosen,An appropriate selection of design techniques **are chosen** to communicate meaning in an effective way throughout most of the performance.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,The singular subject 'selection' requires a singular verb 'is chosen' for subject-verb agreement.
17,18,are chosen,A satisfactory selection of design techniques **are chosen** to communicate meaning throughout some of the performance.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,The singular subject 'selection' requires a singular verb 'is chosen' for subject-verb agreement.
18,18,are chosen,A highly appropriate selection of<br>design techniques **are chosen** to<br>communicate meaning in a highly<br>effective way throughout the<br>performance.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,The singular subject 'selection' requires a singular verb 'is chosen' for subject-verb agreement.
19,21,are chosen,An appropriate selection of design techniques **are chosen** to communicate meaning in an effective way throughout most of the performance.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The subject 'selection' is singular, so the verb should be 'is chosen' to maintain subject-verb agreement."
20,21,performance.The,An appropriate selection of design techniques are chosen to communicate meaning in an effective way throughout most of the performance.**The** sound cues are planned well to communicate meaning effectively.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A space is missing after the full stop, creating a run-on sentence."
21,21,extract(s).Effective,Effective application of design skills which facilitate the action within the extract(s).**Effective** use of design resources which enhance the performance.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A space is missing after the full stop, creating a run-on sentence."
22,21,performance.The,Effective individual contribution through sound design to the performance.**The** overall design enhances the performance.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A space is missing after the full stop, creating a run-on sentence."
23,21,theatre.A,Some imaginative ideas are developed to produce a generally refined piece of theatre.**A** satisfactory selection of design techniques are chosen to communicate meaning throughout some of the performance.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A space is missing after the full stop, creating a run-on sentence."
24,21,are chosen,A satisfactory selection of design techniques **are chosen** to communicate meaning throughout some of the performance.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The subject 'selection' is singular, so the verb should be 'is chosen' to maintain subject-verb agreement."
25,21,extract(s).Satisfactory,Satisfactory application of design skills which partially facilitate the action within the extract(s).**Satisfactory** use of design resources which generally enhance the performance.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A space is missing after the full stop, creating a run-on sentence."
26,21,performance.Reasonable,"Satisfactory interpretation of extract(s), sustained for some of the performance.**Reasonable** communication of meaning to the audience, which sustains their interest for some of the performance.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A space is missing after the full stop, creating a run-on sentence."
27,21,performance.The,Satisfactory individual contribution through sound design to the performance.**The** overall sound design generally enhances the performance.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A space is missing after the full stop, creating a run-on sentence."
28,21,theatre. Some,Basic ideas are developed to produce an adequate piece of theatre.** Some** appropriate design techniques are chosen to communicate meaning in a basic way.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A space is missing after the full stop, creating a run-on sentence."
29,21,theatre. Very,"Limited ideas are developed to produce a very basic piece of theatre.** Very** few appropriate design techniques are chosen, therefore communication of meaning is limited.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A space is missing after the full stop, creating a run-on sentence."
30,23,Interpretation of extract(s) and audience engagement,|   | Band                                                                                                                                                                                                                                                                                                                                                                                                                          | Creating and developing ideas                                                                                                                                                                                                         | Application of design<br>skills                                                                                                                                                                                                                                                           | **Interpretation of<br>extract(s) and audience<br>engagement**                                                                                                                                                  |,ErrorCategory.FACTUAL_INACCURACY,95,"The table header 'Interpretation of extract(s) and audience engagement' is misaligned; it should apply to the fourth content column, leaving the fifth content column (individual contribution) without an explicit header."
31,23,marksGood,"8-11 **marksGood**, imaginative ideas are developed well to produce a refined and coherent piece of theatre.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Missing punctuation (full stop) and space between 'marks' and 'Good', creating a run-on sentence."
32,23,extract(s).Effective,Effective application of design skills which facilitate the action within the **extract(s).Effective** use of design resources which enhance the performance.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Missing space after the full stop, creating a run-on."
33,23,most the performance,"Effective and coherent interpretation of extract(s), sustained throughout **most the performance**.Effective communication of meaning to the audience, which sustains their interest throughout most of the performance.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,Missing preposition 'of' after 'most' for correct grammatical construction.
34,23,performance.Effective,"Effective and coherent interpretation of extract(s), sustained throughout most the performance.**Effective** communication of meaning to the audience, which sustains their interest throughout most of the performance.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Missing space after the full stop, creating a run-on."
35,23,performance.The,Effective individual contribution through set and props design to the **performance.The** overall set and props design does enhance the performance.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Missing space after the full stop, creating a run-on."
36,23,theatre.A,Some imaginative ideas are developed to produce a generally refined piece of **theatre.A** satisfactory selection of design techniques are chosen to communicate meaning throughout some of the performance.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Missing space after the full stop, creating a run-on."
37,23,extract(s).Satisfactory,Satisfactory application of design skills which partially facilitate the action within the **extract(s).Satisfactory** use of design resources which generally enhance the performance.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Missing space after the full stop, creating a run-on."
38,23,performance.Reasonable,"Satisfactory interpretation of extract(s), sustained for some of the **performance.Reasonable** communication of meaning to the audience, which sustains their interest for some of the performance.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Missing space after the full stop, creating a run-on."
39,23,performance.The,Satisfactory individual contribution through set and props design to the **performance.The** overall set and props design generally enhances the performance.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Missing space after the full stop, creating a run-on."
40,26,costume,"The **costume**, hair and make-up are planned satisfactorily to communicate meaning in a generally effective way.",ErrorCategory.CONSISTENCY_ERROR,90,The singular 'costume' is inconsistent with the plural 'costumes' used in Band 5 and Band 4 descriptions for the same design elements.
41,26,costume,"The **costume**, hair and make-up are planned adequately to communicate meaning in a basic way.",ErrorCategory.CONSISTENCY_ERROR,90,The singular 'costume' is inconsistent with the plural 'costumes' used in Band 5 and Band 4 descriptions for the same design elements.
42,26,"chosen, therefore","Very few appropriate design techniques are **chosen, therefore** communication of meaning is limited.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma splice occurs when two independent clauses are joined only by a comma; 'therefore' is a conjunctive adverb and requires a semicolon or a full stop before it when joining independent clauses.
