issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,2,Approved,"This specification meets the requirements of the following regulatory documents published by Qualifications Wales:

- [Made for Wales GCSE Qualification Approval Criteria](https://qw-website-prod-master.azurewebsites.net/media/t1lhpbwl/made-for-wales-gcse-qualification-approval-criteria.pdf) which set out requirements for any new GCSE qualification **Approved** for first teaching from September 2025 and beyond.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The word 'Approved' is incorrectly capitalised as it is not a proper noun or the start of a new sentence in this context.
1,2,subject specific,- Approval Criteria for GCSE [Drama](https://qualifications.wales/media/wybjzg4w/gcse-drama-approval-criteria-drama.pdf) which sets out the **subject specific** requirements for GCSE Drama qualifications from September 2025 and beyond.,ErrorCategory.STYLISTIC_PREFERENCE,85,The compound adjective 'subject specific' should be hyphenated as 'subject-specific' when preceding the noun 'requirements' in British English.
2,4,a stimuli,"Response to **a stimuli** set by WJEC, assessed by the centre and moderated by WJEC. The stimuli will be available on the WJEC Portal during the September of the first year of study. The stimuli will be changed annually.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,'Stimuli' is the plural form of 'stimulus'; the indefinite article 'a' requires a singular noun.
3,6,Learners,GCSE Drama qualification supports **Learners** to: - explore drama created and performed by other people and develop their own talents in drama,ErrorCategory.CONSISTENCY_ERROR,90,The term 'learners' is inconsistently capitalised throughout the document; it should generally be lowercase unless part of a proper noun or at the start of a sentence.
4,6,subject specific skills,...and those **subject specific skills** and concepts outlined in the ['Designing your Curriculum'] section of the Expressive Arts Area of Learning and Experiences.,ErrorCategory.STYLISTIC_PREFERENCE,85,'Subject-specific' should be hyphenated when used as a compound adjective before a noun.
5,6,subject specific considerations,The construct of the GCSE Drama qualification is based on the Welsh Government **subject specific considerations** for Expressive Arts[1](#page-5-3) .,ErrorCategory.STYLISTIC_PREFERENCE,85,'Subject-specific' should be hyphenated when used as a compound adjective before a noun.
6,7,what matter,"The GCSE Drama qualification focuses on the following, based on the statements of **what matter** for Expressive Arts[2](#page-6-2) :",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Subject-verb agreement error; 'statements' is plural, so 'matter' should be 'matters'."
7,7,individuals responding,"- **exploring** the Expressive Arts is essential to developing artistic skills and knowledge and it enables learners to become curious and creative **individuals responding** and **reflecting**, both as artist and audience, is a fundamental part of learning in the Expressive Arts",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Two independent clauses are joined without proper punctuation or conjunction, creating a run-on sentence."
8,7,new context,more sophisticated use of relevant skills and the ability to transfer existing skills and knowledge into **new context**.,ErrorCategory.SPELLING_ERROR,90,'Context' should be plural ('contexts') to reflect the general ability to transfer skills into various situations.
9,7,Supporting the specific considerations for this area,**Supporting the specific considerations for this area[4](#page-6-4) by giving learners the opportunity to:**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"This sentence is a fragment, lacking a main verb or subject to form a complete thought."
