issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,3,1hour,...ble Award Only) Connections**  ### Time **1hour** 30 minutes **SAMPLE ASSESSMENT MATERIAL...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The number and unit of time should be separated by a space, indicating a parsing error in the conversion."
1,4,A are,... #### **Section A**  #### **TEXT A**  | **A are** NOT | Read the following statements bas...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The phrase 'A are NOT' appears as a table header and is grammatically incorrect and out of context, indicating a severe parsing error."
2,5,"""","... baked into the bricks in this building.**""** | says: ""blood, sweat, tears, hopes and...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The HTML entity '&quot;' should be rendered as a standard double quote in Markdown, indicating a parsing error."
3,5,"""","...o the bricks in this building."" | says: **""**blood, sweat, tears, hopes and | [1] | |...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The HTML entity '&quot;' should be rendered as a standard double quote in Markdown, indicating a parsing error."
4,6,cting,"...---------  | 2, 25.00 | graph which sum **cting** one word to |  | is provided bel | low....",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"'sum cting' is a fragmented or corrupted word, indicating a parsing error from the original document."
5,6,bel,... sum cting one word to |  | is provided **bel** | low. Complete the para | ngraph [3] |...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The word 'below' has been split across two cells/lines ('bel' and 'low'), indicating a parsing error."
6,6,ngraph,...provided bel | low. Complete the para | **ngraph** [3] | |-----------|--------------------...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The word 'paragraph' has been split across two cells/lines ('para' and 'ngraph'), indicating a parsing error."
7,6,Ahm,...-------------------|------------| | Riz **Ahm**   | ned believes we                    ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The name 'Ahmed' has been split across two cells ('Ahm' and 'ned'), indicating a parsing error."
8,6,ned,...-----------|------------| | Riz Ahm   | **ned** believes we                      | need...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The name 'Ahmed' has been split across two cells ('Ahm' and 'ned'), indicating a parsing error."
9,6,tha,...            | | valued.   | He believes **tha**                      | t if people do n...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The word 'that' has been split across two cells ('tha' and 't'), indicating a parsing error."
10,6,ot,"...                   | t if people do n | **ot** feel represen | ted, they are at risk o...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The word 'not' has been incorrectly split across cells as 'n | ot' during conversion.
11,6,represen,"...           | t if people do n | ot feel **represen** | ted, they are at risk of |           ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The word 'represented' has been incorrectly split across cells as 'represen | ted' during conversion.
12,6,ted,"...| t if people do n | ot feel represen | **ted**, they are at risk of |            | | f...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The word 'represented' has been incorrectly split across cells as 'represen | ted' during conversion.
13,6,th,...                            | He thinks **th**     | at every human   | is            ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The word 'that' has been incorrectly split across cells as 'th | at' during conversion.
14,20,say,"...y Ethnic' (17%). The youngest age group **say** they don't understand it, 23% of those ...",PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The singular subject 'age group' requires the verb 'says' for correct subject-verb agreement.
15,22,to to,...ly** want you to just take a **minute** **to to** kind of understand how much it **means*...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The repetition 'to to' is redundant and should be corrected to a single 'to'.
16,22,tv,...ee** yourself in a magazine a billboard **tv** film (2) it's a message that (.) that y...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,"In the context of a transcript, 'tv film' is an acceptable and common compound noun, accurately reflecting spoken language."
