issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,1,put our resources into making you feel confident and well-supported,"...telling us what you need and what you like, so we can ensure that you are confident in your delivery and **put our resources into making you feel confident and well-supported**.",ErrorCategory.STYLISTIC_PREFERENCE,80,"The phrasing is wordy and could be more concise, for example, 'devote our resources to supporting you effectively'."
1,1,planning and preparation,...familiarise themselves with the tasks and start **planning and preparation** ahead of September.,ErrorCategory.STYLISTIC_PREFERENCE,75,'Planning' often implies preparation; the phrase is slightly redundant. 'start planning ahead' would be more concise.
2,1,entered into,"...learners must not be **entered into** these legacy GCSEs in Year 10, in subjects where reformed GCSEs are available.",ErrorCategory.STYLISTIC_PREFERENCE,75,'Entered for' or 'entered in' would be more idiomatic and precise in this context.
3,2,activities and links,"The guide offers course plans, possible classroom **activities and links** to useful resources (including our own, freely available digital materials) to provide ideas for immersive and engaging lessons.",ErrorCategory.STYLISTIC_PREFERENCE,70,"An Oxford comma (serial comma) before 'and' would improve clarity in this list of three items, aligning with formal British English style."
4,3,"In turn, they will then","**In turn, they will then** be able to deliberately and effectively employ the features in their own writing and/or speaking.",ErrorCategory.STYLISTIC_PREFERENCE,80,The words 'In turn' and 'then' are somewhat redundant when used together; one is sufficient for flow.
5,3,Summer Term,Exam Walkthroughs and NEA Walkthroughs will be available in the **Summer Term**.,ErrorCategory.CONSISTENCY_ERROR,90,"Inconsistent capitalisation of 'Summer Term' compared to 'summer examination series' and 'summer term' elsewhere in the document, which are lowercase."
6,3,Autumn,"Preparing to Assess events will happen next academic year, running in **Autumn** 2025 and Spring 2026.",ErrorCategory.CONSISTENCY_ERROR,90,"Inconsistent capitalisation of 'Autumn' compared to 'summer examination series' and 'summer term' elsewhere in the document, which are lowercase."
7,3,Spring,"Preparing to Assess events will happen next academic year, running in Autumn 2025 and **Spring** 2026.",ErrorCategory.CONSISTENCY_ERROR,90,"Inconsistent capitalisation of 'Spring' compared to 'summer examination series' and 'summer term' elsewhere in the document, which are lowercase."
8,4,experiences,This is a message from Canterbury Christ Church University and Cardiff Metropolitan University for every secondary teacher in Wales to encourage you to share your **experiences**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The sentence is missing terminal punctuation (a full stop).
9,4,Bowie,"Thank you so so much. Dr Mary Woolley, Dr Tom Breeze and Professor Bob **Bowie**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The sentence is missing terminal punctuation (a full stop).
