issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,6,harder and stale,It will get **harder and stale**.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The phrasing mixes a comparative adjective ('harder') with a base adjective ('stale') after the verb 'get', which requires parallel structure. It should be 'harder and staler' or 'hard and stale'."
1,10,i wanna be yours,John Cooper Clarke presents a more positive view of love in '**i wanna be yours**' than Carol Ann Duffy does in 'Valentine'.,ErrorCategory.SPELLING_ERROR,95,"The official title of the poem by John Cooper Clarke is 'I Wanna Be Yours', with a capital 'I'."
2,19,however; the use,Marks should be awarded using the full range of marks defined in the mark scheme for the question (**however; the use** of the full mark range may be limited according to the quality of the candidate responses seen).,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"The semicolon after 'however' is incorrect; a comma should be used to separate the adverb from the rest of the clause, or the sentence should be restructured."
3,20,rather that,"Examiners should use the full range of marks available to them. Marking should be positive, rewarding achievement **rather that** penalising failure or omissions.",ErrorCategory.SPELLING_ERROR,95,The phrase should be 'rather than' to correctly express comparison or preference.
4,21,"modifier , one mark maximum","Award **one** mark for the term **adjective** or the term<br>**modifier** **, one mark maximum**.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The comma followed by a space before 'one mark maximum' is awkward and grammatically incorrect; it should be 'modifier. One mark maximum.' or 'modifier (one mark maximum).'
5,21,makes it the heart,"Award **one** mark to those who give a straightforward<br>explanation of the effect of the word 'satin', for instance<br>saying that it **makes it the heart** sound luxurious, romantic or<br>made of material. Reward valid alternatives.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The pronoun 'it' is redundant; the phrase should be 'makes the heart'.
6,21,either of both,Award up to **two** marks to those who give a more detailed<br>explanation of how **either of both** of these words are used to<br>achieve effects.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The phrase 'either of both' is redundant; it should be 'either or both'.
7,22,10-17of,Read lines **10-17of** 'i wanna be yours'. Which of the<br>[2]<br>[2]<br>statements below about these lines of the poem are true?,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A space is missing between the page range '10-17' and the preposition 'of'.
8,22,created supported,Give 4 marks to those who make detailed comments about how meaning is **created supported** by well-selected textual references. These answers should show an understanding<br>of the writer's craft and are able to make thoughtful<br>inferences.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma is required before the participial phrase 'supported by' to correctly separate it from the main clause.
9,22,well selected,Give 5 marks to those who make accurate and perceptive<br>comments about how meaning is created<br>supported by **well selected** examples and purposeful textual references.<br>These answers will include more insightful inferences and<br>an assured understanding of the writer's craft.,ErrorCategory.CONSISTENCY_ERROR,90,"The compound adjective 'well-selected' should be hyphenated when preceding the noun 'examples', consistent with 'well-selected textual references' used earlier in the same mark scheme."
10,22,created supported,Give 5 marks to those who make accurate and perceptive<br>comments about how meaning is **created supported** by well<br>selected examples and purposeful textual references.<br>These answers will include more insightful inferences and<br>an assured understanding of the writer's craft.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma is required before the participial phrase 'supported by' to correctly separate it from the main clause.
11,24,include::,Ideas candidates might explore may **include::**,ErrorCategory.STYLISTIC_PREFERENCE,85,A single colon is the standard punctuation mark to introduce a list; the double colon is not standard.
12,25,wellselected,Give 5 marks to those who make accurate and perceptive comments about how meaning is created supported by **wellselected** examples and purposeful textual references.,ErrorCategory.SPELLING_ERROR,95,The compound adjective 'well-selected' requires a hyphen when preceding the noun it modifies.
13,25,i wanna be yours,"The poet repeats the phrase '**i wanna be yours**' at the end of each stanza to create a refrain that emphasises the exact nature of his request, saying that he wants to belong to her just like the possessions he has listed.",ErrorCategory.CONSISTENCY_ERROR,90,The poem title 'I Wanna Be Yours' should be consistently capitalised as 'I Wanna Be Yours' throughout the document.
14,26,i wanna be yours,John Cooper Clarke presents a more positive view of love<br>in '**i wanna be yours**' than Carol Ann Duffy does in<br>'Valentine',ErrorCategory.CONSISTENCY_ERROR,90,The poem title 'I Wanna Be Yours' should be consistently capitalised as 'I Wanna Be Yours' throughout the document.
15,26,Cooper Clark,"**Cooper Clark** presents love in a stereotypical masculine way, intending to woo his wouldbe lover, whereas Duffy's representation of love could be seen as more traditionally female rooted in the day-to-day small gestures found in relationships.",ErrorCategory.SPELLING_ERROR,98,"The poet's surname is 'Clarke', not 'Clark'."
16,26,traditionally female rooted,"Cooper Clark presents love in a stereotypical masculine way, intending to woo his wouldbe lover, whereas Duffy's representation of love could be seen as more **traditionally female rooted** in the day-to-day small gestures found in relationships.",ErrorCategory.STYLISTIC_PREFERENCE,85,"The phrasing 'traditionally female rooted' is awkward; 'traditionally female-rooted' or 'traditionally female, rooted' would improve clarity."
17,26,i wanna be yours,that '**i wanna be yours**' is positive in its presentation of the unselfish aspects of love,ErrorCategory.CONSISTENCY_ERROR,90,The poem title 'I Wanna Be Yours' should be consistently capitalised as 'I Wanna Be Yours' throughout the document.
18,26,i wanna be yours,that '**i wanna be yours** can be seen as presenting a less mature and more idealistic view of love than 'Valentine',ErrorCategory.CONSISTENCY_ERROR,90,The poem title 'I Wanna Be Yours' should be consistently capitalised as 'I Wanna Be Yours' throughout the document.
19,26,i wanna be yours can be seen,that 'i wanna be yours **can be seen** as presenting a less mature and more idealistic view of love than 'Valentine',ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The poem title 'i wanna be yours' is missing its closing single quotation mark, leading to a grammatical error in the sentence structure."
20,26,i wanna be yours,that the writer's context for '**i wanna be yours**' can be related to its tone in presenting love through everyday images such as the coffee pot,ErrorCategory.CONSISTENCY_ERROR,90,The poem title 'I Wanna Be Yours' should be consistently capitalised as 'I Wanna Be Yours' throughout the document.
21,26,"and, towards","There will be some sensitivity, **and, towards** the top of this mark range, evidence of evaluation.",ErrorCategory.STYLISTIC_PREFERENCE,80,The comma after 'and' is unnecessary and disrupts the flow of the sentence.
22,26,that of the reader,There may be awareness of the context of the poems perhaps including **that of the reader**.,ErrorCategory.STYLISTIC_PREFERENCE,80,The phrasing 'that of the reader' is slightly awkward; 'the reader's perspective' or 'the reader's context' would be more concise.
23,26,to own experiences,Responses at this level may sometimes be general and rely on any potential links **to own experiences**.,ErrorCategory.STYLISTIC_PREFERENCE,85,The phrase 'to own experiences' is informal; 'to their own experiences' or 'to personal experiences' would be more appropriate in formal writing.
24,27,i wanna be yours,"""John Cooper Clarke presents a more positive view of love in '**i wanna be yours**' than Carol Ann Duffy does in 'Valentine'"".",ErrorCategory.CONSISTENCY_ERROR,90,The poem title 'I Wanna Be Yours' should be consistently capitalised as 'I Wanna Be Yours' throughout the document.
25,27,response.offer,"responses are sustained, detailed and critical in their engagement and may include offering some reasoned judgements or considered personal **response.offer** a sustained and convincing selection of relevant points, along with detailed and interesting development of ideas.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"This is a run-on sentence; a full stop is followed by a lowercase letter, indicating two independent clauses merged without proper punctuation or capitalisation."
26,27,interpretations.make,A sophisticated evaluation of relevant points is given to demonstrate how they illustrate and support **interpretations.make** developed and sustained comparisons and/or links with detailed and persuasive explanations.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"This is a run-on sentence; a full stop is followed by a lowercase letter, indicating two independent clauses merged without proper punctuation or capitalisation."
27,27,made.offer,"provide sustained and thoughtful synthesis and/or summary of information, ideas and themes, using appropriate details to explain the relevance and impact of the links and/or comparisons **made.offer** well-reasoned explanations of how a comprehensive range of aspects of language, structure and form contribute to the presentation of information, ideas and themes.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"This is a run-on sentence; a full stop is followed by a lowercase letter, indicating two independent clauses merged without proper punctuation or capitalisation."
28,27,form.show,"give well-reasoned and persuasive explanations of a comprehensive range of examples of the impact of language, structure and **form.show** a comprehensive and sophisticated understanding of contexts, making convincing explanations about their impact.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"This is a run-on sentence; a full stop is followed by a lowercase letter, indicating two independent clauses merged without proper punctuation or capitalisation."
29,27,points offered,"• offer a competent selection of **points offered**, and meaningful development of ideas.",ErrorCategory.STYLISTIC_PREFERENCE,85,The word 'offered' is redundant here; 'a competent selection of points' is sufficient.
30,27,"understanding of, with","• show clear **understanding of, with** emerging awareness of their impact.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The sentence is incomplete and grammatically unsound; it is missing the object of 'understanding of'.
31,30,syntax and errors,1 mark<br>• Candidates rarely use appropriate grammar and **syntax and errors** may impede meaning.<br>• Errors in punctuation and spelling are likely to impede clarity or meaning.,ErrorCategory.STYLISTIC_PREFERENCE,75,A comma should be used before 'and' when it joins two independent clauses to improve clarity and adhere to formal British English punctuation conventions.
32,33,that,"Candidates confidently use a wide range of sentence structures, **that** thoughtfully enhance clarity, and successfully support purpose and create effect.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"In British English, 'which' is typically used for non-restrictive clauses (those preceded by a comma), while 'that' is used for restrictive clauses."
33,34,", that","Candidates use a range of sentence structures, **that** enhance clarity, and are deliberately used for purpose and effect.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A comma should not precede 'that' when introducing a restrictive clause. If the clause is non-restrictive, 'which' should be used instead of 'that'."
34,35,and and/or,Communication shows some coherence with occasional use of basic linguistic **and and/or** structural features.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,The repetition of 'and' before 'and/or' is redundant and grammatically incorrect.
