issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,4,additional to teacher instructions,Paragraph 2 inserted to provide **additional to teacher<br>instructions**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The phrasing 'additional to teacher instructions' is grammatically incorrect and awkward; it should be 'additional teacher instructions' for clarity and consistency with the preceding entry.
1,7,can have access,"- learners **can have access** to dictionaries and thesauri
- learners can have access to resources and/or preparatory notes. They should, however, be advised that all work must be their own – copying and pasting from internet sources, using comments from critics without acknowledgement and/or reproducing someone else's essay is plagiarism",ErrorCategory.STYLISTIC_PREFERENCE,90,"In formal guidelines, 'may have access' is more appropriate than 'can have access' to indicate permission rather than ability."
2,8,Task Taking,### **Task Taking** – Essay Writing,ErrorCategory.CONSISTENCY_ERROR,95,"The term 'task-taking' is hyphenated elsewhere in the document (e.g., page 7 and later on page 8); consistency requires hyphenation here. Also, as a common noun, it should not be fully capitalised in a subheading unless it's a proper noun or part of a specific title."
3,8,task taking,During the **task taking** stage of this task:,ErrorCategory.CONSISTENCY_ERROR,95,"The term 'task-taking' is hyphenated elsewhere in the document (e.g., page 7 and later on page 8); consistency requires hyphenation here."
4,8,spell check,"No access to dictionaries or thesauri is permitted during task-taking, and digital grammar and **spell check** programmes must be disabled",ErrorCategory.STYLISTIC_PREFERENCE,85,"As a compound adjective modifying 'programmes', 'spell-check' is typically hyphenated in British English for clarity and standard usage."
5,8,task taking,"For the **task taking** stage, learners must be directly supervised.",ErrorCategory.CONSISTENCY_ERROR,95,"The term 'task-taking' is hyphenated elsewhere in the document (e.g., page 7 and later on page 8); consistency requires hyphenation here."
6,11,society,"Scrooge's redemption is not only a journey towards self-acceptance but also a catalyst for social reform, inspiring others to embrace their social responsibility. How important is it that we all play a part in wider **society**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The sentence is an interrogative sentence and requires a question mark at the end.
7,11,belonging*.,*Persepolis* explores the links between family and **belonging*.*** How important do you think family is in building a sense of belonging in the 21st Century?,ErrorCategory.SPELLING_ERROR,95,"An extraneous asterisk appears after 'belonging', which is likely a typographical error or OCR artifact."
8,14,describes,Teachers select the band descriptors that most closely **describes** the quality of the work being marked.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The verb 'describes' should agree with the plural subject 'descriptors', so it should be 'describe'."
9,14,cover sheet,"A copy of the authentication form, which forms part of the **cover sheet** for each learner's work, can be found at the end of this pack.",ErrorCategory.CONSISTENCY_ERROR,90,"The term 'coversheet' is used as a single word on page 13, so 'cover sheet' here is inconsistent."
