issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,5,argument/counterargument. Centres,To stimulate the discussion and provide evidence for the learner's **argument/counterargument. Centres** must ensure the following are used:,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"An infinitive phrase acting as an adverbial modifier should be followed by a comma, not a full stop, to connect it to the main clause."
1,7,candidates' work must remain within the centre at all times and must be stored securely between timetabled sessions.,"- no assistance of any description is provided.
**candidates' work must remain within the centre at all times and must be stored securely between timetabled sessions.**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This sentence appears to be a new item in a bulleted list but lacks a bullet point marker and starts with a lowercase letter immediately following a full stop, which is grammatically incorrect for a new sentence."
2,7,internet,"there is no access to e-mail, the **internet** or mobile phones",ErrorCategory.STYLISTIC_PREFERENCE,80,"In formal British English, 'Internet' is typically capitalised when referring to the global network, enhancing formality and consistency."
3,8,of demonstrating,"Using a range of linguistic and literary approaches, learners will apply their knowledge and understanding of the ways of influencing a reader or listener and/or **of demonstrating** power in a writer/speaker/audience relationship, using ideas, opinions and techniques which they have explored in their reading of texts from the anthology.",ErrorCategory.STYLISTIC_PREFERENCE,85,The repetition of 'of' before 'demonstrating' is grammatically acceptable but stylistically clunky; 'and/or demonstrating power' would be more concise and improve flow.
4,10,task taking stage,"During the **task taking stage** of this task:

- learners may have access to notes made during the research and planning stage, but not to other resources
- work may be handwritten or digitally produced.",ErrorCategory.CONSISTENCY_ERROR,90,"The term 'task-taking' is hyphenated elsewhere in the document (e.g., 'during task-taking'), so 'task taking stage' should be hyphenated as a compound adjective for consistency."
5,11,task taking stage,"For the **task taking stage**, learners must be directly supervised.

The centre must ensure that:

- all candidates are within direct sight of the supervisor throughout the session(s)",ErrorCategory.CONSISTENCY_ERROR,90,"The term 'task-taking' is hyphenated elsewhere in the document (e.g., 'during task-taking' on page 10), so 'task taking stage' should be hyphenated as a compound adjective for consistency."
6,11,internet,"there is no access to e-mail, the **internet** or mobile phones

- candidates complete their work independently
- interaction with other candidates does not occur",ErrorCategory.CONSISTENCY_ERROR,90,"The term 'Internet' is capitalised on page 10 ('access to the Internet must be disabled'), so it should be consistently capitalised here."
7,11,describes,"The work for this unit should be marked by teachers according to the marking criteria using a 'best fit' approach. Teachers select the band descriptors that most closely **describes** the quality of the work being marked.

- Where the candidate's work convincingly meets the descriptors, the highest mark should be awarded.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The verb 'describes' should be 'describe' to agree with the plural subject 'descriptors'.
8,12,cover sheet,"A copy of the authentication form, which forms part of the **cover sheet** for each learner's work, must be downloaded from the WJEC website.

Malpractice discovered prior to the learner signing the declaration of authentication need not be reported to WJEC but must be dealt with in accordance with the centre's internal procedures.",ErrorCategory.CONSISTENCY_ERROR,90,"The term 'coversheet' is used as a single word on pages 10 and 11, so it should be consistently spelled as one word here."
9,12,are,"### Teacher Guidance

The level of guidance teachers may give throughout the assessment of this unit **are** as follows:

| Review candidates' work and provide oral and written advice at a general level<br>in order to secure a functional outcome. | ✓ |",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The verb 'are' should be 'is' to agree with the singular subject 'level'.
