issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,3,wording question paper and mark scheme,"Amended **wording question paper and mark scheme** for<br>questions 4(b), 4(c), 4(d), 4(e), 4(f), 7(c), 7(d), 7(e), 10(a),<br>10(b), 10(c), 10(d), 10(e), 13(c).",ErrorCategory.STYLISTIC_PREFERENCE,85,"The phrasing would be clearer and more formal with a preposition, e.g., 'wording in the question paper and mark scheme'."
1,5,minutes **SAMPLE,# Time 1 hour 30 **minutes** **SAMPLE ASSESSMENT MATERIALS**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"The heading 'Time 1 hour 30 minutes' is immediately followed by another bolded phrase without any punctuation or clear separation, creating an awkward, run-on heading."
2,6,"away?"" Which","(a) **away?"" Which** of the following is the best definition of Hermia's question ""Whither<br>in this extract?",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The closing quotation mark and question mark are immediately followed by a capitalised word starting a new clause without proper punctuation or grammatical connection, creating a run-on."
3,8,"Or,","Answer one of the following questions:

**2.** ""Cruelty is the driving force for all of Oberon's behaviour."" Using linguistic and literary approaches, explore how far you agree with this statement. Support your answer with reference to the play. Comment on the play's contexts.

**Or,**

**3.** Using linguistic and literary approaches, explore how Shakespeare presents attitudes to love throughout *A Midsummer Night's Dream.*",ErrorCategory.STYLISTIC_PREFERENCE,85,The comma after 'Or' is unnecessary when presenting alternative options in this format; 'Or' alone suffices.
4,14,"Either,","Answer one of the following:

## **Either,**

**5.** Using linguistic and literary approaches, explore what we learn about Victorian society through the behaviour of one or two of the female characters.",ErrorCategory.STYLISTIC_PREFERENCE,90,The comma after 'Either' is stylistically unnecessary when introducing a list of options in a heading.
5,14,"Or,","**5.** Using linguistic and literary approaches, explore what we learn about Victorian society through the behaviour of one or two of the female characters. Support your answer with reference to the play.

**Or,**

**6.** ""The characters deceive each other in *The Importance of Being Earnest*.""",ErrorCategory.STYLISTIC_PREFERENCE,90,The comma after 'Or' is stylistically unnecessary when introducing a list of options in a heading.
6,20,"Or,","Answer one of the following:

## **Either**

**8.** Using linguistic and literary approaches, explore how the characters in the play are changed by the threats they face. Support your answer with reference to the play. Comment on the play's contexts.

**Or,**

**9.** Using linguistic and literary approaches, explore how Zephaniah presents friendship throughout *Refugee Boy.*",ErrorCategory.STYLISTIC_PREFERENCE,90,The comma after 'Or' is stylistically unnecessary and uncommon when presenting an alternative choice in this format; it should simply be 'Or'.
7,24,What,"Higgins describes Eliza as being ""as ugly as the very devil"". **What** literary technique is used in this line?",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,The word 'What' begins a new sentence and should therefore be capitalised.
8,24,What,Read the whole extract. **What** impressions of Higgins does the writer create in this extract?,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,The word 'What' begins a new sentence and should therefore be capitalised.
9,26,"Or,","Using linguistic and literary approaches, explore what Higgins' treatment of Eliza in *Pygmalion* shows us about life in Britain in the early twentieth century. Support your answer with reference to the play. Comment on the play's contexts.

**Or,**

**12.** ""People are clever in different ways in Pygmalion."" Using linguistic and literary approaches, explore how far you agree with this statement.",ErrorCategory.STYLISTIC_PREFERENCE,85,The comma after 'Or' is unnecessary when introducing an alternative option in an 'Either... Or' construction in formal writing.
