issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,3,"16(c),","| 2 | Amended wording<br>in<br>question paper and mark scheme for<br>questions 1(b), 1(c), 4(c), 4(d), 7(b), 7(c), 10(b), 10(c), 10(d),<br>13(a), 13(b), 13(c), 13(d), 13(e), **16(c),** | 2-3, 9, 14, 16,<br>20-21, 25-26,<br>32, 43, 47, 52-<br>53, 56-58, 61-<br>62, 67 |",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A trailing comma at the end of a list in a table cell is incorrect punctuation if the list is complete.
1,8,are still __________ and __________ on,Mai recognises that Jamaican families **are still __________ and __________ on** the difficulties of her own family's past.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The sentence structure implies a compound predicate for the plural subject 'Jamaican families'. However, the provided singular verb options ('reflects', 'looks') do not agree with a plural subject, making the sentence grammatically incorrect or highly ambiguous for the student to complete."
2,15,"Or,","Answer one of the following:

#### **Either**

**5.** Using linguistic and literary approaches, explore to what extent Phil controls one or two of the other characters in the play. Remember to support your answer with reference to the play. You should comment on the play's contexts.

**Or,**

**6.** ""The need to belong is what drives the characters' behaviour in the play.""",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The comma after 'Or' is grammatically incorrect when presenting alternatives in this heading format; it should either be 'Or' or 'Or:'.
3,24,window,"Leon sees ""Fat arms of white fire curl out of the broken **window** and<br>wave at him"".",ErrorCategory.FACTUAL_INACCURACY,100,The quote provided in question 10(a)(i) uses 'window' while the preceding extract uses 'windows'.
4,26,driving-force,"Hope is the **driving-force** for Leon's behaviour in the novel."" Using linguistic and literary approaches, explore how far you agree with this statement.",ErrorCategory.SPELLING_ERROR,95,"The compound noun 'driving force' is typically written as two words in British English, not hyphenated."
5,29,Didn't deep down believe his own stories about Gwyn.,"Pigeon looks at Cher, and thinks it's strange how it's all happened, thinks how Cher believed it all, every word, and he didn't, not deep down. **Didn't deep down believe his own stories about Gwyn.**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"This is a sentence fragment, lacking an explicit subject, and should either be joined to the preceding sentence or rephrased with a subject."
6,29,come on…,"“Tyrd!” Gwyn says, over and over, **come on…**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,85,"The phrase 'come on…' is an explanation or translation of 'Tyrd!' and requires proper punctuation (e.g., an em dash or parentheses) to separate it from the preceding clause."
7,40,You are advised to spend about 40 minutes on 19 or 20.,You are advised to spend about 40 minutes on **19** or **20**. **You are advised to spend about 40 minutes on 19 or 20.** [25],ErrorCategory.STYLISTIC_PREFERENCE,95,"This sentence is a direct repetition of the preceding sentence, making it redundant."
8,40,"Or,","**19** Write a story with the title: An unexpected achievement. **Or,** **20** Write about a time when you, or somebody else, made a friend.",ErrorCategory.STYLISTIC_PREFERENCE,90,The comma after 'Or' is superfluous when 'Or' is used as a conjunction introducing an alternative option in a list format.
9,44,however;,Marks should be awarded using the full range of marks defined in the mark scheme for the question (**however;** the use of the full mark range may be limited according to the quality of the candidate responses seen).,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A semicolon is incorrectly used after 'however' within the parenthetical clause; a comma is required here.
10,45,matches,"If the descriptors at the lowest band are satisfied, examiners should move up to the next band and repeat this process for each band until the descriptors most closely **matches** the work.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The plural subject 'descriptors' requires the plural verb 'match', not 'matches'."
11,45,that,"Marking should be positive, rewarding achievement rather **that** penalising failure or omissions.",ErrorCategory.SPELLING_ERROR,95,The phrase 'rather than' is required here; 'that' is a homophone error in this context.
12,45,standardising,Standardising material that has already been awarded a mark will be provided during **standardising** and this should be used as a reference material when assessing work.,ErrorCategory.STYLISTIC_PREFERENCE,80,The repetition of 'standardising' is awkward; 'standardisation' would be more appropriate for the noun form in the second instance.
