issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,7,@josierones,"She delivers a giant cookie to Twitter HQ in London, using icing to ask the same question as the documentary's title, with her Twitter handle **@josierones**.",ErrorCategory.FACTUAL_INACCURACY,95,"Rosie Jones's actual Twitter handle is @RosieJones, not @josierones, which is a factual inaccuracy in the document."
1,9,"One by one, stacking them neatly in their place.","She paused, not moving her eyes from the dish towels she was methodically folding, before saying, ""But you can do anything a boy can do."" **One by one, stacking them neatly in their place.**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"This is a sentence fragment lacking a main verb, which should be integrated into the preceding sentence or rephrased as a complete sentence."
2,9,"The 'girl toy' making it into the bag, despite the 'boy toy' request.","I loved action figures–Batman and Robin, Hook and Peter Pan, Luke Skywalker, two Barbies from Happy Meals whose hair I'd cut off. **The 'girl toy' making it into the bag, despite the 'boy toy' request.** I was a walking stereotype, just not in the way my mom wanted.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"This is a sentence fragment lacking a finite verb; it should be rephrased to form a complete sentence (e.g., 'The 'girl toy' *made* it into the bag...')."
3,9,"A little kitchen, and miniature bedroom.","It was metal, bars lined the bottom of the top bunk, and I would hang blankets and towels, making rooms. **A little kitchen, and miniature bedroom.** Vanishing into intricate and impassioned narratives, danger lurked, I'd hang off the top bunk, as if dangling from a cliff, facing death, using all my might to pull myself up to safety.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"This is a sentence fragment lacking a main verb; it should be rephrased to form a complete sentence (e.g., 'I made a little kitchen and a miniature bedroom.')."
4,9,"danger lurked, I'd hang","Vanishing into intricate and impassioned narratives, **danger lurked, I'd hang** off the top bunk, as if dangling from a cliff, facing death, using all my might to pull myself up to safety.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This is a comma splice, joining two independent clauses ('danger lurked' and 'I'd hang off the top bunk') with only a comma."
5,9,"kingdom, I was","A bunk bed was a **kingdom, I was** a boy.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This is a comma splice, joining two independent clauses ('A bunk bed was a kingdom' and 'I was a boy') with only a comma."
6,10,forty-one,after the Brexit vote hate crimes went up **forty-one** per cent (1) against,ErrorCategory.STYLISTIC_PREFERENCE,85,"Compound numbers are typically hyphenated in formal British English writing (e.g., 'forty-one')."
7,11,base,take a leaf out the book of our music industry (2) drum and **base** (1) grime (.) dubstep (.) these are (.) **world-conquering** musical genres that are only possible by tapping into our multiculturalism (2),ErrorCategory.SPELLING_ERROR,98,"The music genre is correctly spelled 'drum and bass', not 'drum and base'."
8,12,"it, 23%","The youngest age group say they don't understand **it, 23%** of those aged 18 to 24; compared to 14% of 50-64 year olds and 15% of those aged 65 and above.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,A comma is used incorrectly to introduce an explanatory percentage; a colon or em-dash would be more appropriate for clarity and formal tone.
9,12,nonwhite,"While ethnic minority Britons tend to think it is acceptable to use as an umbrella term for the portion of the British population that is **nonwhite** (by 49% to 31%), it is not their preferred term, which goes to simply ""ethnic minorities"" by 58% to 27%.",ErrorCategory.STYLISTIC_PREFERENCE,80,"The term 'non-white' is commonly hyphenated in British English, especially when used as an adjective."
10,12,goes to,"it is not their preferred term, which **goes to** simply ""ethnic minorities"" by 58% to 27%.",ErrorCategory.STYLISTIC_PREFERENCE,85,The phrasing 'goes to' is informal; a more formal and precise verb like 'is' or 'is simply' would be more appropriate in this context.
11,15,life have come,some of the deepest pain I have experienced in my **life (1) have** come from words (.) that somebody said (.) or wrote (1) and some of the most beautiful gifts I have received (.) have also been words (1) it is precisely because of this power of words that freedom of speech (.) matters (2),ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Subject-verb agreement error; 'pain' is singular, so the verb should be 'has come'."
12,15,speech I,C while I insist (.) that violence is never an acceptable response to **speech I** do not deny the power of words (.) to wound (.) words can break the human spirit,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,Missing comma to separate the introductory clause from the main clause.
13,15,wound words,I do not deny the power of words (.) to **wound (.) words** can break the human spirit (.) some of the deepest pain I have experienced in my life,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,Missing punctuation (full stop) to separate independent clauses.
14,15,spirit some,words can break the human **spirit (.) some** of the deepest pain I have experienced in my life (1) have come from words,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,Missing punctuation (full stop) to separate independent clauses.
15,15,wrote and,that somebody said (.) or **wrote (1) and** some of the most beautiful gifts I have received (.) have also been words,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,Missing comma before 'and' when joining independent clauses.
16,15,speech even,freedom of **speech (1) even** the expression itself has sadly taken on (.) a partisan tribal (.) tint it is often framed,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,Missing comma to set off the parenthetical phrase 'even the expression itself'.
17,15,tribal tint,even the expression itself has sadly taken on (.) a partisan **tribal (.) tint** it is often framed (.) and I will put it crudely,ErrorCategory.STYLISTIC_PREFERENCE,80,"A comma is often used to separate coordinate adjectives modifying the same noun, improving readability."
18,15,framed and,it is often **framed (.) and** I will put it crudely (.) as (1) say whatever you want (.) versus (1) consider (.) the (.) feelings (.) of others (1) this (.) though (.) is too stark a dichotomy (1),ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,Missing commas to set off the parenthetical phrase 'and I will put it crudely'.
19,15,this though is,feelings (.) of others (1) **this (.) though (.) is** too stark a dichotomy (1) I cannot keep count of all the books that have offended me,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,Missing commas to set off the interjection 'though'.
20,15,offended me infuriated me disgusted me,I cannot keep count of all the books that have **offended me (.) infuriated me (.) disgusted me** (.) but I would never argue (.) that they not be published,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,Missing commas to separate items in a list of parallel clauses.
21,15,that they not be published,but I would never argue (.) **that they not be published** (1) when I read something scientifically false (.) such as (.) that drinking urine (.) cures cancer,ErrorCategory.STYLISTIC_PREFERENCE,75,The phrasing 'that they not be published' is grammatically acceptable but less common than 'that they should not be published' in formal British English.
22,15,cancer or,drinking urine (.) cures **cancer (1) or** something (.) gratuitously (.) hurtful to human dignity (.) such as that gay people should be imprisoned for being gay,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,85,Missing comma before 'or' in a complex sentence to improve readability.
