issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,3,my,| On **my** First Son by Ben Jonson                            | 20 |,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"In titles, all major words, including possessive pronouns like 'My', should be capitalised. The correct title is 'On My First Son'."
1,4,Carol Anne Duffy's,From a collection of **Carol Anne Duffy's** poetry released in 1993 this poem uses the giving of an onion as a gift to explore ideas about love and relationships and the commercialisation attached to Valentine's Day in modern times.,ErrorCategory.SPELLING_ERROR,100,"The poet's name is 'Carol Ann Duffy', not 'Carol Anne Duffy'."
2,4,1993 this poem uses,From a collection of Carol Ann Duffy's poetry released in **1993 this poem uses** the giving of an onion as a gift to explore ideas about love and relationships and the commercialisation attached to Valentine's Day in modern times.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma is required after the introductory adverbial phrase 'From a collection of Carol Ann Duffy's poetry released in 1993' to separate it from the main clause.
3,4,Lethal. Its scent,"Its platinum loops shrink to a wedding ring, if you like. **Lethal. Its scent** will cling to your fingers, cling to your knife.",ErrorCategory.STYLISTIC_PREFERENCE,80,"The word 'Lethal' is presented as a sentence fragment in the introductory prose, which creates an abrupt tone. It could be integrated into the preceding or following sentence for better flow, or punctuated differently (e.g., with a comma or semicolon) if intended as a parenthetical comment."
4,5,To,"The pigeons lull **To** sleep the under-tens and invalids, The tree shakes out its shadows to the grass, The roses rove through the wilds of my neglect.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The word 'To' should not be capitalised in the middle of a sentence unless it is part of a proper noun.
5,6,I Come From,"**I Come From** was written during his time at university in the early 2010s. It explores many ideas including some about inspiration, culture, race, and sexuality.",ErrorCategory.STYLISTIC_PREFERENCE,85,"Poem titles, when referred to in prose, are typically enclosed in quotation marks or italicised for clarity and to distinguish them from regular text, aligning with standard academic conventions."
6,6,D.I.Y.,I come from a home that some would call broken I come from **D.I.Y.** that never got done I come from waiting by the phone for him to call,ErrorCategory.STYLISTIC_PREFERENCE,90,"The standard abbreviation in British English for 'do-it-yourself' is 'DIY', without full stops (Collins Dictionary, Oxford English Dictionary)."
7,8,say,"I said—like the joke **say**—What's in the bowl, Thief?",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,The verb 'say' should be 'says' to agree with the singular subject 'joke'.
8,8,This my way,I said—That's your curse. I said—**This my way**.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The copular verb 'is' is missing, making the sentence grammatically incomplete; it should be 'This is my way'."
9,8,The empty bowl mine,The bowl she left behind. **The empty bowl mine**. The spoiled dress.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The copular verb 'is' is missing, making the sentence grammatically incomplete; it should be 'The empty bowl is mine'."
10,10,stretched out blade of grass in his mouth,"In the grass that has overgrown causes and effects, someone must be **stretched out blade of grass in his mouth** gazing at the clouds.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The phrasing 'stretched out blade of grass in his mouth' is grammatically incorrect and unclear; it should be 'stretched out with a blade of grass in his mouth' or 'stretched out, a blade of grass in his mouth'."
11,11,female Imtiaz Dharker,"This poem is from a 2014 collection by **female Imtiaz Dharker**. Born in Pakistan, she grew up in Glasgow.",ErrorCategory.STYLISTIC_PREFERENCE,85,"The phrasing 'by female Imtiaz Dharker' is awkward; it would be more natural to say 'by the female poet Imtiaz Dharker' or 'by Imtiaz Dharker, a female poet'."
12,11,right for education,It can also be seen to refer to the story of Malala Yousafzai and her fight to support the **right for education** for women.,ErrorCategory.STYLISTIC_PREFERENCE,85,"The standard idiom is 'the right to education', not 'the right for education'."
13,11,firing-line,"The school-bell is a call to battle, every step to class, a step into the **firing-line**. Here is the target, fine skin at the temple, cheek still rounded from being fifteen.",ErrorCategory.SPELLING_ERROR,90,"According to the Oxford English Dictionary and Collins Dictionary, 'firing line' is typically written as two words, not hyphenated."
14,14,seawall used,"But the beach is deserted except for a lone wave of rubbish against the **seawall used** car tyres, plastic bottles, styrofoam cups rightly tossed back by an ocean's moodswings.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A comma is required after 'seawall' to separate it from the list of items that follow, clarifying that 'used car tyres' is part of the rubbish and not modifying 'seawall'."
15,16,As,"My mother's hug is awkward, **As** if the space between her open arms is reserved for a child, not this body of a man.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The word 'As' should not be capitalised after a comma in standard English prose.
16,16,laying in,"In the kitchen she kneads the dough, flipping it and patting before **laying in** again.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The verb 'lay' is transitive and requires an object; 'laying in' is incomplete and grammatically incorrect in this context. It should likely be 'laying it in' or 'laying it down'.
17,16,The,"The flour makes her over, dusting **The** hairs on her cheek, smoothing out wrinkles.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The word 'The' should not be capitalised after a comma in standard English prose.
18,16,Winter,"Up to his elbows in hedge, he works on a hole that reappears every **Winter**, its edges laced with wet wool – frozen breaths snagged on the blackthorn.",ErrorCategory.STYLISTIC_PREFERENCE,80,Seasons are generally not capitalised in British English unless part of a proper noun.
