issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,5,prereleased,...year. Centres can choose one of the two **prereleased** briefs they would like learners to comp...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The term 'pre-released' should be hyphenated as a compound adjective, consistent with other instances in the document and standard UK English usage."
1,5,prereleased,...ear. Learners can choose one of the two **prereleased** briefs they would like to complete.  Th...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The term 'pre-released' should be hyphenated as a compound adjective, consistent with other instances in the document and standard UK English usage."
2,12,wholewheat,... | (e) | Analyse the benefits of eating **wholewheat** pasta for a balanced diet. |  |  |  | |...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"'Wholewheat' is an accepted single word spelling in UK English, particularly in food terminology, and does not require a hyphen."
3,12,wholewheat,...and understanding in relation to eating **wholewheat** pasta.  Award up to **four** AO3 marks ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"'Wholewheat' is an accepted single word spelling in UK English, particularly in food terminology, and does not require a hyphen."
4,12,wholewheat,... the analysis of the benefits of eating **wholewheat** pasta for a balanced diet  #### **Indic...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"'Wholewheat' is an accepted single word spelling in UK English, particularly in food terminology, and does not require a hyphen."
5,12,Wholewheat,... Answers may refer to the following:  - **Wholewheat** pasta contains more fibre which helps t...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"'Wholewheat' is an accepted single word spelling in UK English, particularly in food terminology, and does not require a hyphen."
6,12,Wholewheat,...upporting a healthy digestive system. - **Wholewheat** pasta is made from the wholegrain which...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"'Wholewheat' is an accepted single word spelling in UK English, particularly in food terminology, and does not require a hyphen."
7,12,Wholewheat,"...gar regulation/cardiovascular health. - **Wholewheat** pasta is richer in minerals, for exampl...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"'Wholewheat' is an accepted single word spelling in UK English, particularly in food terminology, and does not require a hyphen."
8,12,Wholewheat,...cle function/nervous system function. - **Wholewheat** pasta is richer in vitamin B which main...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"'Wholewheat' is an accepted single word spelling in UK English, particularly in food terminology, and does not require a hyphen."
9,12,Wholewheat,"... healthy skin, hair, teeth and nails. - **Wholewheat** pasta provides insoluble fibre in the d...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"'Wholewheat' is an accepted single word spelling in UK English, particularly in food terminology, and does not require a hyphen."
10,12,wholewheat,... disadvantage which relate to consuming **wholewheat** pasta.  {13}---------------------------...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,The single-word spelling 'wholewheat' is acceptable and commonly used as an adjective in UK English.
11,13,through,...tifies relationships</li><li>includes a **through** explanation of each aspect.</li></ul> |...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,The word 'through' is incorrectly used; it should be 'thorough' to convey a complete explanation.
12,13,wholewheat,... the specific health benefits of eating **wholewheat** pasta.</li></ul> | Award 2 Marks A basi...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,The single-word spelling 'wholewheat' is acceptable and commonly used as an adjective in UK English.
13,13,wholewheat,... the specific health benefits of eating **wholewheat** pasta.</li></ul> | Award 1 Mark A limit...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,The single-word spelling 'wholewheat' is acceptable and commonly used as an adjective in UK English.
14,13,credit worthy,...</li></ul> | | 0 | 0 marks Response not **credit worthy** or not attempted. |  |  {14}-----------...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"'Creditworthy' should be written as a single compound word, not two separate words."
