issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,8,Macronutrients macronutrients,"... 1.2.1 Learners should know the role of Macronutrients macronutrients, including: <ul><li>carbohydrates</li><...",ErrorCategory.PARSING_ERROR,100,"The word 'Macronutrients' is duplicated, with the second instance incorrectly lowercased."
1,10,water soluble,...phasise the differences between fat and water soluble vitamins and learners need to know that...,ErrorCategory.PARSING_ERROR,95,'Water soluble' should be hyphenated as a compound adjective modifying 'vitamins'.
2,11,sugar free,...utter and strawberry jam and a glass of sugar free orange squash. - b) Use a nutritional a...,ErrorCategory.PARSING_ERROR,95,'Sugar free' should be hyphenated as a compound adjective modifying 'orange squash'.
3,11,Part 'd,...ts you wish the learners to comment on. Part 'd)' could be included or removed dependin...,ErrorCategory.FALSE_POSITIVE,90,The use of single quotes around 'd)' is a correct and common way to refer to a specific part of a task.
4,11,',...ish the learners to comment on. Part 'd)' could be included or removed depending ...,ErrorCategory.FALSE_POSITIVE,90,The single quote is correctly used to delineate the letter 'd' in 'Part 'd)'.
5,12,Part 'd,...ts you wish the learners to comment on. Part 'd)' could be included or removed dependin...,ErrorCategory.FALSE_POSITIVE,90,The use of single quotes around 'd)' is a correct and common way to refer to a specific part of a task.
6,12,',...ish the learners to comment on. Part 'd)' could be included or removed depending ...,ErrorCategory.FALSE_POSITIVE,90,The single quote is correctly used to delineate the letter 'd' in 'Part 'd)'.
7,13,nut,...lad sandwich (4 slices bread) Fruit and nut flapjack Apple |  | |                  ...,ErrorCategory.FALSE_POSITIVE,80,'Fruit and nut' is a common unhyphenated compound noun phrase describing a type of flapjack.
8,14,notes,"...ow, adding your initial thoughts in the notes column.  | Nutrient | Amount | % of rec...",ErrorCategory.FALSE_POSITIVE,100,The word 'notes' is correctly used as the name of a column in the table.
9,15,notes,"...ow, adding your initial thoughts in the notes column.  | Nutrient | Amount | % of rec...",ErrorCategory.FALSE_POSITIVE,100,The word 'notes' is correctly used as the name of a column in the table.
10,16,so,...res careful planning and differentiation so learners of all abilities have the info...,ErrorCategory.FALSE_POSITIVE,95,The use of 'so' as a conjunction to introduce a result or purpose is grammatically correct and stylistically acceptable.
11,22,micro-organisms,"...ions required for the multiplication of micro-organisms: food, warmth, moisture and time. This ...",ErrorCategory.FALSE_POSITIVE,95,"The hyphenated form 'micro-organisms' is correct and commonly used in UK English, especially in scientific and educational contexts."
12,23,cafes,...schools and nurseries - restaurants and cafes.  Teachers can write case studies linke...,ErrorCategory.FALSE_POSITIVE,95,'Cafes' is the correct and widely accepted plural spelling of 'cafe' in UK English.
13,24,micro-organisms,"...ions required for the multiplication of micro-organisms: food, warmth, moisture and time. Learn...",ErrorCategory.FALSE_POSITIVE,95,"The hyphenated form 'micro-organisms' is correct and commonly used in UK English, especially in scientific and educational contexts."
14,24,and,...reduce food waste? - What is irradiation and how is it used to preserve food? - Use ...,ErrorCategory.FALSE_POSITIVE,95,The conjunction 'and' is used correctly to connect two parts of a compound question.
15,25,micro-organisms,"..., with learners investigating the named micro-organisms, food sources, incubation period and sy...",ErrorCategory.FALSE_POSITIVE,95,"The hyphenated form 'micro-organisms' is correct and commonly used in UK English, especially in scientific and educational contexts."
16,26,free range,"... nuts</li><li>reared: factory, organic, free range, extensive and intensive. Learners need...",ErrorCategory.PARSING_ERROR,90,'Free-range' should be hyphenated when used as a compound adjective describing a type of rearing.
17,27,crosscurricular,...ers should be encouraged to apply their crosscurricular knowledge.  {28}-----------------------...,ErrorCategory.PARSING_ERROR,95,'Cross-curricular' is a compound adjective that should be hyphenated in UK English for clarity.
18,28,yoghurt,"... jellies, juices   - milk to cheese and yoghurt.  Learners should be aware of:  - <span...",ErrorCategory.FALSE_POSITIVE,95,'Yoghurt' is the correct and standard spelling in UK English.
19,28,subject matter,"...develop a holistic understanding of the subject matter. Nutritional value, sensory qualities a...",ErrorCategory.FALSE_POSITIVE,95,'Subject matter' is a correct and commonly used compound noun in UK English.
20,28,yoghurt,"... processing e.g. how to make cheese and yoghurt, turning fruit into jam, how to make br...",ErrorCategory.FALSE_POSITIVE,95,"'Yoghurt' is an acceptable and commonly used spelling in UK English, consistent with the document's style."
21,43,micro organisms,...ow can we prevent the multiplication of micro organisms and prevent food poisoning when handlin...,ErrorCategory.SPELLING_ERROR,100,'Microorganisms' (closed compound) or 'micro-organisms' (hyphenated) are the correct spellings; 'micro organisms' as two separate words is incorrect.
22,46,so,...cess of emulsifying fat droplets in milk so the cream does not separate. | | Humect...,ErrorCategory.FALSE_POSITIVE,95,The use of 'so' to introduce a result or purpose is grammatically correct and stylistically acceptable in this context.
23,47,comprising of,...                | A simple carbohydrate comprising of one sugar molecule.                    ...,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The phrase 'comprising of' is grammatically incorrect; 'comprising' already means 'consisting of' and does not require 'of'.
24,47,Omega 3,...                                    | | Omega 3 and omega 6 | Essential fatty acids whi...,ErrorCategory.PARSING_ERROR,90,"'Omega-3' should be hyphenated as it functions as a compound adjective or noun in scientific and nutritional contexts, consistent with other hyphenated terms in the glossary."
25,48,Spinabifida,...g it easier for the body to digest. | | Spinabifida                           | A congenita...,ErrorCategory.SPELLING_ERROR,100,The correct spelling for the congenital neural tube defect is 'Spina bifida' (two words).
