issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,5,twostage,... can then be applied. This is done as a **twostage** process.  #### **Stage 1 – Deciding on ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The compound adjective 'two-stage' requires a hyphen in UK English.
1,12,wholewheat,... | (e) | Analyse the benefits of eating **wholewheat** pasta for a balanced diet |  | |       ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"'Wholewheat' is a correct single-word spelling in UK English, as confirmed by authoritative dictionaries."
2,12,wholewheat,...and understanding in relation to eating **wholewheat** pasta.  Award up to **four** AO3 marks ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"'Wholewheat' is a correct single-word spelling in UK English, as confirmed by authoritative dictionaries."
3,12,wholewheat,... Answers may refer to the following:  - **wholewheat** pasta contains more fibre which helps t...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"'Wholewheat' is a correct single-word spelling in UK English, as confirmed by authoritative dictionaries."
4,12,wholewheat,...upporting a healthy digestive system. - **wholewheat** pasta is made from the wholegrain which...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"'Wholewheat' is a correct single-word spelling in UK English, as confirmed by authoritative dictionaries."
5,12,wholewheat,"...gar regulation/cardiovascular health. - **wholewheat** pasta is richer in minerals, for exampl...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"'Wholewheat' is a correct single-word spelling in UK English, as confirmed by authoritative dictionaries."
6,12,wholewheat,...cle function/nervous system function. - **wholewheat** pasta is richer in vitamin B which main...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"'Wholewheat' is a correct single-word spelling in UK English, as confirmed by authoritative dictionaries."
7,12,wholewheat,"... healthy skin, hair, teeth and nails. - **wholewheat** pasta provides insoluble fibre in the d...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"'Wholewheat' is a correct single-word spelling in UK English, as confirmed by authoritative dictionaries."
8,12,wholewheat,... disadvantage which relate to consuming **wholewheat** pasta.  | Band | AO2                   ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"'Wholewheat' is a correct single-word spelling in UK English, as confirmed by authoritative dictionaries."
9,12,through,...tifies relationships</li><li>includes a **through** explanation of each aspect.</li></ul> |...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,The word 'through' is incorrectly used; it should be 'thorough' to mean complete or detailed.
10,13,credit worthy,...                   | |   | Response not **credit worthy** or not attempted.                      ...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,The compound adjective 'creditworthy' should be written as a single word in UK English.
11,14,accept,... place</li><li>Broccoli – refrigerator (**accept** freezer).</li></ul> |  |  |  |  |  | | ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The word 'accept' is correctly used here in an instructional context within an answer key.
