issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,5,"of:food and nutritionpreparing, cooking and presenting food.","AO1 | Demonstrate knowledge and understanding **of:food and nutritionpreparing, cooking and presenting food.**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,Missing space after the colon and lack of punctuation/separation between listed items makes the text a run-on and difficult to read.
1,5,"of:food and nutritionpreparing, cooking and presenting food.","AO2 | Apply knowledge and understanding **of:food and nutritionpreparing, cooking and presenting food.**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,Missing space after the colon and lack of punctuation/separation between listed items makes the text a run-on and difficult to read.
2,5,"of:food and nutritionpreparing, cooking and presenting food","AO3 | Analyse and evaluate different aspects **of:food and nutritionpreparing, cooking and presenting food** (including food and dishes made by themselves and others).",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,Missing space after the colon and lack of punctuation/separation between listed items makes the text a run-on and difficult to read.
3,6,including:<br>colour and appearanceemulsification and bindingfoamingheat transfer and cooking propertiestextureviscosity.,"Learners should understand the working characteristics of ingredients in a recipe, **including:<br>colour and appearanceemulsification and bindingfoamingheat transfer and cooking propertiestextureviscosity.**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,Missing space after the colon and lack of punctuation/separation between listed items makes the text a run-on and difficult to read.
4,6,"of:<br>current trends in cooking methodscooking methods and techniques from local, national and international cuisines.","Learners should be aware **of:<br>current trends in cooking methodscooking methods and techniques from local, national and international cuisines.**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,Missing space after the colon and lack of punctuation/separation between listed items makes the text a run-on and difficult to read.
5,6,and focusing,It is important for learners to understand ingredients and the functions of ingredients in a recipe **and focusing** on key concepts within an investigation.,ErrorCategory.STYLISTIC_PREFERENCE,88,"For parallel structure with 'to understand', 'and to focus' would be more appropriate."
6,6,and understand,Learners should be given opportunities to investigate the working characteristics of ingredients through completing practical work **and understand** the science behind what they have seen from the practical work/investigation.,ErrorCategory.STYLISTIC_PREFERENCE,88,"For parallel structure with 'to investigate', 'and to understand' would be more appropriate."
7,6,e.g.,This could be done through **e.g.** making butter and cheese to understand the working characteristic of emulsions...,ErrorCategory.STYLISTIC_PREFERENCE,80,'e.g.' is typically followed by a comma in formal writing.
8,6,characteristic,...to understand the working **characteristic** of emulsions or making mayonnaise to understand the science of emulsions...,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,'Characteristic' should be plural ('characteristics') to agree with 'emulsions' (plural).
9,6,and understand,...to measure the outcome of caramelisation of shortbread **and understand** how the caramelisation of sugars are used to produce rich brown colours and flavours.,ErrorCategory.STYLISTIC_PREFERENCE,88,"For parallel structure with 'to measure', 'and to understand' would be more appropriate."
10,6,are used,...how the caramelisation of sugars **are used** to produce rich brown colours and flavours.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"'Caramelisation' is a singular subject, so the verb should be 'is used' for subject-verb agreement."
11,7,"Heat transfer: conduction convection and radiation and use examples of each method through practical lessons Demonstrate the stages of certain cooking processes, like melting sugar, and explain how flavours, colours, and textures change with each stage.","Heat transfer: conduction convection and radiation and use examples of each method through practical lessons **Demonstrate the stages of certain cooking processes, like melting sugar, and explain how flavours, colours, and textures change with each stage.** Learners could make a story board of the process within each recipe.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,This is a run-on sentence combining multiple distinct instructions without proper punctuation or conjunctions. It should be broken into separate sentences or clauses.
12,7,story board,Learners could make a **story board** of the process within each recipe.,ErrorCategory.SPELLING_ERROR,95,The compound noun 'storyboard' should be written as one word in British English.
13,7,Hands on,**Hands on** experiments such as whipping egg whites to demonstrate how air is incorporated creating volume and foams.,ErrorCategory.STYLISTIC_PREFERENCE,85,"When used as a compound adjective before a noun, 'hands-on' should be hyphenated."
14,7,taste test,"Explore methods of preserving and conduct a **taste test** preserved versus fresh e.g. could use fresh fruit as readily available, freezing, jam making or beetroot – fresh versus pickled.",ErrorCategory.STYLISTIC_PREFERENCE,80,"The compound noun 'taste test' is often hyphenated as 'taste-test' in formal writing, especially when used adjectivally."
15,7,Learners,"Carry out practical cooking sessions and encourage **Learners** to observe the scientific changes, questioning what happens to each ingredient as they cook.",ErrorCategory.CONSISTENCY_ERROR,90,"The capitalisation of 'Learners' is inconsistent; it is lowercase in other similar contexts within the document (e.g., 'learners should understand')."
16,8,Learners,Create a practical challenge where **Learners** must use certain ingredients in a specific way linking their knowledge of ingredients in their practical skills combing the science with flair and creativity.,ErrorCategory.CONSISTENCY_ERROR,90,"The capitalisation of 'Learners' is inconsistent; it is lowercase in other similar contexts within the document (e.g., 'learners should understand')."
17,8,combing,Create a practical challenge where Learners must use certain ingredients in a specific way linking their knowledge of ingredients in their practical skills **combing** the science with flair and creativity.,ErrorCategory.SPELLING_ERROR,95,The word 'combing' is incorrect in this context; it should be 'combining'.
18,8,deeper thinking,"Ask **deeper thinking** questions ""What do you think would happen if we left out an ingredient?""",ErrorCategory.STYLISTIC_PREFERENCE,80,"When used as a compound adjective before a noun, 'deeper-thinking' should ideally be hyphenated for clarity."
19,9,"flavour, colour and texture","Learners should be encouraged to define key terminology by explaining terms, such as ph. and acidity and how the chemical properties affect **flavour, colour and texture**.",ErrorCategory.STYLISTIC_PREFERENCE,75,A serial comma (Oxford comma) should be used before 'and' in a list of three or more items for clarity in formal British English writing.
20,9,introduction of,"Teachers should give learners an **introduction of** common chemical reactions that take place in cooking, such as caramelisation and gelatinisation.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The correct preposition to follow 'introduction' in this context is 'to', not 'of'."
21,9,"time, temperature and ingredient","Learners should be given the opportunity to discuss how changing an ingredient or method can alter the outcome and be able to identify key variables of **time, temperature and ingredient**.",ErrorCategory.STYLISTIC_PREFERENCE,75,A serial comma (Oxford comma) should be used before 'and' in a list of three or more items for clarity in formal British English writing.
22,9,"For example, the time in fermentation.","For example, the time in fermentation. **Discuss how changing an ingredient or method can alter the outcome.**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,This is a sentence fragment; it lacks a clear subject and verb to form a complete thought and is disconnected from the preceding sentence.
23,9,butters etc.,"Learners could investigate the shortening properties of a variety of fats, lards, **butters etc.** and measure the flashiness of each fat in a batch of shortcrust pastry.",ErrorCategory.STYLISTIC_PREFERENCE,70,"In formal writing, 'etc.' should typically be followed by a comma when it appears in the middle of a sentence as part of a list."
24,9,flashiness,"Learners could investigate the shortening properties of a variety of fats, lards, butters etc. and measure the **flashiness** of each fat in a batch of shortcrust pastry.",ErrorCategory.SPELLING_ERROR,95,"In the context of pastry, the correct term is 'flakiness', referring to the texture, not 'flashiness'."
25,10,on chemical reactions,Learners could examine the specific characteristics **on chemical reactions** in food.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The preposition 'on' is incorrect; 'of' should be used to describe the characteristics belonging to chemical reactions.
26,10,research questiondeveloping a hypothesisidentifying variablesexperimental controlsequipment requiredcollecting resultsanalysing resultspresenting investigation resultsdrawing conclusionsevaluating results.,"Learners should understand the stages of a food<br>investigation plan, including:<br>**research questiondeveloping a hypothesisidentifying variablesexperimental controlsequipment requiredcollecting resultsanalysing resultspresenting investigation resultsdrawing conclusionsevaluating results.**Learners should be aware of sustainability practices<br>to prevent food waste when conducting a food<br>investigation.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,This is a run-on list of items that should be separated by commas or presented as a bulleted list for clarity and grammatical correctness.
27,10,produce using outcomes,"choose recipes with a longer shelf life i.e. that **produce using outcomes**<br>that can be tested a few days later, or use ingredients that have a<br>longer shelf life so they can be used againuse seasonal and local ingredientsscale down recipes, if necessaryusing the whole or part of ingredientscreatively using leftovers",ErrorCategory.SPELLING_ERROR,95,'Using' is a contextual misspelling; 'useful' is intended here to describe the outcomes.
28,12,hypothesis understanding,"Learners should understand the steps of carrying out experiments and how to modify variables in food experiments to test the **hypothesis understanding** the type of variables will help guiding through the process: independent, dependent and controlled variables.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,This is a run-on sentence; a full stop or a semicolon is needed after 'hypothesis' to separate the independent clauses.
29,12,etc. learners,"Investigate the impact on nutritional value of the various cooking methods/cooking times of boiling, steaming, baking **etc. learners** produce an extended piece of writing and produce a written report.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,This is a run-on sentence; a full stop or a semicolon is needed after 'etc.' to separate the independent clauses.
30,12,conduct experiment,"Research how people can have individual preferences on how food is cooked, **conduct experiment** on preference of method e.g. steaming over boiling.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A definite or indefinite article ('an') is missing before 'experiment'.
31,12,"group work, encourage","Allow learners to experiment with recipes, changing one ingredient at a time and could be **group work, encourage** substitutions such as honey in a cake recipe.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,This is a comma splice joining two independent clauses; a semicolon or a full stop is required.
32,12,controlled variable this,"Create variable charts listing the independent, dependent and **controlled variable this** helps visualise the experiment.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,This is a run-on sentence; a full stop or a semicolon is needed after 'variables' (plural) to separate the independent clauses. 'Variable' should also be plural to match the context of a list of variables.
33,12,int,What would happen to the batter if it was put **int** the oven instead of fried?,ErrorCategory.SPELLING_ERROR,98,'Int' is a misspelling of 'in'.
34,14,foster creativity,"**Flavour** encompasses the combined impact of taste and smell, which is vital for developing the palate and **foster creativity**.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The verb form 'foster' does not parallel 'developing' in the phrase 'vital for developing the palate and foster creativity'; it should be 'to foster' or 'fostering'.
35,14,"smooth, encouraging","Introduce key sensory attributes by describing various foods such as fruity, **smooth, encouraging** learners to use the senses.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"The participial phrase 'encouraging learners' is not correctly integrated into the sentence structure, creating a comma splice or dangling modifier."
36,14,in task,Learners create their own word banks of key words to use **in task**.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A definite article 'the' or a possessive pronoun 'their' is missing before 'task'.
37,14,for example offer,"Demonstrate sensory testing methods, **for example offer** samples of apple juice and see which they prefer.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The phrase 'for example offer samples' is a run-on sentence; it requires a comma after 'example' and a conjunction or rephrasing to connect it grammatically to the preceding clause.
38,14,and conduct tests,Activities could be based on group work **and conduct tests** on samples of snacks looking at chosen attributes and collect data to create star diagrams.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The verb 'conduct' does not agree with the subject 'Activities' in the compound predicate; it should be rephrased to clarify who is conducting the tests.
39,15,key temperature,Key discussion topics include: • hand washing • cleanliness • danger zone • **key temperature** • cross contamination.,ErrorCategory.AMBIGUOUS_PHRASING,85,"The singular 'key temperature' is vague and could imply a single temperature, whereas the context suggests multiple critical temperatures or temperature ranges."
40,15,Link to a food topic,Example activities: Learners should be aware of how changes that are made can affect results such as changing the amount of baking powder in a cake mixture. **Link to a food topic** such as testing the effects of different storage methods on food quality.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"This sentence is a fragment, missing a subject to perform the action of 'Link'."
41,16,Learners,Teaching **Learners** suitable methods for collecting results when testing a hypothesis is essential for developing their scientific skills.,ErrorCategory.CONSISTENCY_ERROR,90,Inconsistent capitalisation of 'Learners' mid-sentence; it should be lowercase for consistency with other instances in the document.
42,16,"[star profiles, preference tests in sensory testing and made aware","Learners should be introduced to the different types of data that they may collect such as **[star profiles, preference tests in sensory testing and made aware** of the differences between qualitative (descriptive) data and quantitative (numerical) data.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Missing a closing bracket ']' and a verb (e.g., 'be') before 'made aware' to complete the grammatical structure."
43,16,analysis. and,Teachers should encourage learners to present results effectively as this is crucial for **analysis. and** understanding in any investigation.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,Incorrect punctuation; a full stop should not precede 'and' in this context.
44,17,"critical analysis thinking, data identifying patterns/trends and considers","Evaluating involves **critical analysis thinking, data identifying patterns/trends and considers** the validity or reliability of the findings.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The phrasing is grammatically awkward and lacks parallel structure; 'critical analysis thinking' and 'data identifying patterns/trends' are clunky, and 'considers' does not fit the preceding elements."
45,17,"results, this","Teachers should encourage learners to restate their original hypothesis before analysing **results, this** will help frame the conclusions and evaluation.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,Comma splice; two independent clauses are joined only by a comma.
46,17,"beware of the constraints/limitations of their investigations such as, time","Learners should **beware of the constraints/limitations of their investigations such as, time**, size of sample and human error.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"'Beware of' is used incorrectly; 'be aware of' is more appropriate. Additionally, there is an unnecessary comma after 'such as'."
47,17,Guide Learners with,**Guide Learners with** the reliability of the data: were results consistent?,ErrorCategory.STYLISTIC_PREFERENCE,85,'Guide learners on' or 'Guide learners regarding' would be more grammatically appropriate and natural phrasing.
48,17,Learners,Guide **Learners** with the reliability of the data: were results consistent?,ErrorCategory.CONSISTENCY_ERROR,90,Inconsistent capitalisation of 'Learners' mid-sentence; it should be lowercase for consistency with other instances in the document.
49,17,"improvements, encourage","Suggest **improvements, encourage** Learners to think about their investigation if they were to repeat it, what changes would enhance the accuracy or reliability of results.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,Comma splice; two independent clauses are joined only by a comma.
50,17,Learners,"Suggest improvements, encourage **Learners** to think about their investigation if they were to repeat it, what changes would enhance the accuracy or reliability of results.",ErrorCategory.CONSISTENCY_ERROR,90,Inconsistent capitalisation of 'Learners' mid-sentence; it should be lowercase for consistency with other instances in the document.
51,18,it ensures,These opportunities are important to Learners because **it ensures** that classroom activities connect learning opportunities to their daily lives and the world around them supporting broader educational themes and preparing for the life outside of education.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Subject-verb agreement error; the plural subject 'opportunities' requires 'they ensure' or 'this ensures' (referring to the singular concept of the importance), not 'it ensures'."
52,18,Learners,These opportunities are important to **Learners** because it ensures that classroom activities connect learning opportunities to their daily lives and the world around them supporting broader educational themes and preparing for the life outside of education.,ErrorCategory.CONSISTENCY_ERROR,90,Inconsistent capitalisation of 'Learners' mid-sentence; it should be lowercase for consistency with other instances in the document.
53,18,learners learning experience,"The studying of this topic will<br>add depth and relevance to<br>**learners learning experience**.<br>This approach helps them<br>understand the impact of food<br>science on health, sustainability,<br>and culture.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,Missing an apostrophe for the possessive form; it should be 'learners' learning experience'.
54,20,environment society,There are many opportunities to include Sustainability in GCSE Food and Nutrition. These opportunities are important to Learners because it addresses the impact of food production on the **environment society** and future generations.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma is needed to separate the two nouns 'environment' and 'society' in the list.
55,20,and learning to be responsible,"Sustainability in food and nutrition teaches learners to make choices that protect the planet, support their health, and ensure food resources for future generations **and learning to be responsible**, informed consumers.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The phrase 'and learning to be responsible' breaks the parallel structure established by 'teaches learners to make choices... and to be responsible'.
56,20,use,"Encourage Learners to be cost effective, by buying in season goods and **use** local produce to reduce their carbon footprint.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The verb 'use' should be in the gerund form 'using' to maintain parallel structure with 'buying'.
57,20,e. g cottage,"Learners could conduct food preservation experiments, such as drying, pickling, or making cheese **e. g cottage**, to see how these methods extend shelf life and reduce waste.",ErrorCategory.SPELLING_ERROR,90,"The abbreviation 'e.g.' should be followed by a full stop and a space, and 'cottage' should be capitalised if referring to 'Cottage cheese'."
58,20,sustainably,Students can discuss the potential of alternative proteins to meet global nutritional need for **sustainably**.,ErrorCategory.SPELLING_ERROR,95,The adverb 'sustainably' is used incorrectly; the noun 'sustainability' is required in this context.
59,21,food choices,Embedding human rights and<br>diversity into food and nutrition<br>helps students understand the<br>social impact of food choices<br>and appreciate the social and<br>ethical dimensions of food<br>production and make informed<br>choices about **food choices**.,ErrorCategory.STYLISTIC_PREFERENCE,85,The repetition of 'food choices' is redundant and can be streamlined for conciseness.
60,21,"how ingredients, cultural<br>differences of choice of ingredients react with one<br>another","Learners are given the opportunity to think critically<br>about where food comes from, **how ingredients, cultural<br>differences of choice of ingredients react with one<br>another** and how it affects communities and the planet.",ErrorCategory.AMBIGUOUS_PHRASING,90,The phrasing is grammatically convoluted and creates ambiguity; it should be rephrased for clarity and better flow.
61,21,giving them practical application of the world of a food scientist/food technologist.,These opportunities are important to Learners because it prepares learners for careers in the food industry **giving them practical application of the world of a food scientist/food technologist**.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The preposition 'of' is incorrect here; it should be 'in' or 'of the skills needed by' to convey the intended meaning.
62,21,into food science,Allowing the learners the<br>opportunity to engage in careers<br>and work-related experiences<br>**into food science** can give<br>students valuable insights into<br>the wide range of professional<br>paths in the field and make<br>learning more applicable to real<br>world situations.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The preposition 'into' is incorrect; it should be 'in' or 'related to' when referring to a field of study or work.
63,21,Allowing them to experience the various<br>careers involved in bringing a product to market.,"Have learners explore different roles in the development<br>process such as food scientist, food technologist or quality<br>control specialist.<br>**Allowing them to experience the various<br>careers involved in bringing a product to market.**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,This is a sentence fragment; it lacks a main verb and subject to form a complete sentence and should be integrated with the preceding sentence or rephrased.
64,22,learners,"Essential for **learners** when<br>following instructions, taking part<br>in discussions, and<br>understanding explanations of<br>scientific processes.",ErrorCategory.CONSISTENCY_ERROR,90,The document inconsistently capitalises 'Learners' in introductory text and uses lowercase 'learners' in table examples.
65,22,"communicate effectively, being able to communicate effectively","Oracy skills help learners to<br>articulate their thoughts<br>and<br>communicate concepts to others<br>**effectively,<br>being able to<br>communicate effectively** and<br>work well within a team.",ErrorCategory.STYLISTIC_PREFERENCE,80,"The phrase 'communicate effectively' is redundant within this sentence, making the phrasing awkward."
66,22,allowing,The development of<br>mathematical proficiency<br>**allowing** learners to work,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The participial phrase 'allowing learners to work' is a dangling modifier; it should be 'allows learners to work' to agree with 'development'.
67,22,do so,"Using real world/life situations such as scaling recipes, using<br>ratios and proportions, understanding food labels and<br>allowing learners the opportunity **do so**.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The infinitive 'to' is missing; it should be 'to do so'.
