issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,5,however; the use,Marks should be awarded using the full range of marks defined in the mark scheme for the question (**however; the use** of the full mark range may be limited according to the quality of the candidate responses seen).,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Incorrect punctuation; 'however' as an introductory adverbial phrase within a parenthetical should be followed by a comma, not preceded by a semicolon."
1,5,band marked,For **band marked** questions mark schemes are in two parts; the indicative content and the assessment grid.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The compound adjective 'band-marked' requires hyphenation when preceding a noun in British English.
2,6,banded mark,The marking of **banded mark** questions should always be positive.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The phrase 'banded mark questions' is grammatically incorrect; 'band-marked questions' is the correct compound adjective.
3,9,",","Substances/chemicals**,** not designed for consumption found in food that are harmful to human health if consumed, such as pesticides.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The comma after 'Substances/chemicals' is grammatically incorrect as 'not designed for consumption' is a restrictive clause directly modifying the preceding noun phrase and should not be separated by a comma.
4,11,overcookdrain,"make sure the pasta is 'al dente', firm to bite do not **overcookdrain** the pasta fully once cooked in a colander and shake off excess water.",ErrorCategory.SPELLING_ERROR,95,"The words 'overcook' and 'drain' are merged, creating a non-existent word. There should be punctuation and a space between them."
5,11,Conduction:the,Indicative content: **Conduction:the** transfer of heat by direct contact from a hot surfaceheat from the hob is transferred to the metal of the panthe energy from the hob causes the molecules in the metal one by one to vibrate and knock against each other heat is produced,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"A space is missing after the colon, which is required for readability and grammatical correctness."
6,11,other heat is produced,the energy from the hob causes the molecules in the metal one by one to vibrate and knock against each **other heat is produced**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"This phrase is a run-on. It should be separated by a comma and a conjunction (e.g., 'other, producing heat') or a full stop and a new sentence (e.g., 'other. Heat is produced')."
7,13,contain,"- wholewheat pasta is made from the wholegrain which **contain** bran, endosperm and germ which contains essential nutrients that support blood sugar regulation/cardiovascular health.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The subject 'wholegrain' is singular, requiring the verb 'contains' for subject-verb agreement."
8,13,phosphorous,"- wholewheat pasta is richer in minerals, for example, magnesium/**phosphorous**/ potassium/iron – which maintains overall health to support bone health/muscle function/nervous system function.",ErrorCategory.SPELLING_ERROR,95,The chemical element is 'phosphorus'; 'phosphorous' is an adjective form.
9,13,preventing constipation promoting,"- wholewheat pasta provides insoluble fibre in the diet which supports promoting digestive health, **preventing constipation promoting** a healthy gastrointestinal tract.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"The two participial phrases 'preventing constipation' and 'promoting a healthy gastrointestinal tract' require a conjunction (e.g., 'and') or a comma to be grammatically correct."
10,13,reduced,- higher fibre intake is linked to lowering blood cholesterol which **reduced** the risk of heart disease.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The present tense verb 'reduces' is required to maintain consistency with 'is linked to lowering'.
11,14,Marks,Award 4 **Marks**<br>An excellent response which<br>demonstrates:,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,'Marks' should not be capitalised in this context as it is not a proper noun or the start of a sentence.
12,14,whole wheat,detailed knowledge and<br>understanding of the specific health<br>benefits of eating **whole wheat**<br>pasta.,ErrorCategory.CONSISTENCY_ERROR,85,The document consistently uses 'wholewheat' (one word) elsewhere; 'whole wheat' (two words) is inconsistent with this established usage.
13,15,maximum,Award one mark for each correct answer up to **maximum** of four marks.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The indefinite article 'a' is required before 'maximum' in this construction (e.g., 'up to a maximum')."
14,16,fertilizers,"Water pollution – the use of **fertilizers** associated with intensive farming can lead to chemicals washing into nearby rivers and lakes, harming aquatic life.",ErrorCategory.SPELLING_ERROR,98,The British English spelling for 'fertilizers' is 'fertilisers'.
15,16,with amount,Greenhouse gas emissions – intensive livestock farming increases **with amount** of methane in the environment which contributes to global warming.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The phrase should be 'increases the amount' for correct grammar and meaning.
16,16,Increase water use,**Increase water use** – due to the high levels of irrigation which can deplete local water resources.,ErrorCategory.STYLISTIC_PREFERENCE,85,"For consistency with other bullet points describing impacts (e.g., 'Increased food miles', 'Lowers biodiversity'), 'Increased water use' is stylistically preferred."
17,18,yogurt,• single cream<br>• **yogurt**<br>• unsalted butter.,ErrorCategory.SPELLING_ERROR,98,The British English spelling for 'yogurt' is 'yoghurt'.
18,18,yogurt,• milk<br>• cream<br>• **yogurt**<br>• unsalted butter.,ErrorCategory.SPELLING_ERROR,98,The British English spelling for 'yogurt' is 'yoghurt'.
19,19,consumer,"Award one<br>mark for a basic explanation, up to a<br>maximum of one<br>mark, for example:<br>•<br>**consumer** may choose<br>to buy ready meals<br>because it saves time cooking<br>•<br>consumers may choose to buy ready meals<br>because it's convenient<br>•<br>consumers may choose to buy ready meals<br>because it<br>can be more cost effective.",ErrorCategory.CONSISTENCY_ERROR,95,"The singular 'consumer' is inconsistent with the plural 'consumers' used in subsequent bullet points within the same section, and 'consumers' is generally more appropriate for a general statement."
20,19,consumer,"Award two<br>marks for a developed explanation, up<br>to a maximum of two<br>marks, for example:<br>•<br>**consumer** may choose to buy ready meals<br>because it saves time cooking, as they are<br>already<br>prepared<br>•<br>consumers may choose to buy ready meals<br>because it's convenient, eliminating the need<br>for preparing ingredients<br>•<br>consumers may choose to buy ready meals<br>because it<br>can be more cost effective as you<br>don't have to buy lots of ingredients.",ErrorCategory.CONSISTENCY_ERROR,95,"The singular 'consumer' is inconsistent with the plural 'consumers' used in subsequent bullet points within the same section, and 'consumers' is generally more appropriate for a general statement."
21,20,eggs overcooked quickly,Putting eggs into fat that's too hot can<br>lead to crispy edges/browned edges<br>and **eggs overcooked quickly**.,ErrorCategory.STYLISTIC_PREFERENCE,75,The phrasing 'eggs overcooked quickly' is grammatically acceptable but awkward; 'quickly overcooked eggs' or 'eggs that are quickly overcooked' would improve flow and clarity.
