issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,4,task/s,Group work is allowed. Candidates can collaborate for **task/s** 1 and 2.,ErrorCategory.STYLISTIC_PREFERENCE,85,The use of 'task/s' is informal; 'tasks' or 'task(s)' would be more appropriate in a formal document.
1,5,is,The acceptable formats for evidence of each of the tasks **is** summarised in the task tables. Any modified assessment must enable the candidate to generate the evidence required in this table.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Subject-verb agreement error; 'formats' is plural, so the verb should be 'are'."
2,5,authentic; reliable,"evidence presented for assessment is valid, **authentic; reliable** and credible",ErrorCategory.STYLISTIC_PREFERENCE,80,"Semicolons are generally used to separate independent clauses or items in a complex list where items themselves contain commas. In a simple list of adjectives, commas are appropriate."
3,5,refer the,You should **refer the** JCQ Instructions for conducting non-examination assessment for further information on managing assessment within our GCSE Qualifications.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The verb 'refer' in this context requires the preposition 'to' before the object, i.e., 'refer to the'."
4,6,malpractice,I understand that false declaration is a form of **malpractice**,ErrorCategory.SPELLING_ERROR,95,"'Malpractice' is typically written as one word in British English (OED, Collins Dictionary)."
5,8,requirements briefs,"Your teacher is allowed to help you to understand the assessment **requirements briefs** and the tasks, but there are rules about the kind of help and how much they can give you.",ErrorCategory.STYLISTIC_PREFERENCE,85,"The phrasing 'assessment requirements briefs' is awkward and could be clearer, for example, 'assessment requirements and briefs' or 'assessment briefs and requirements'."
6,9,written evidence for the written evidence,The **recommended** written evidence is 2000 - 2500 words for the **written evidence** for all **three** tasks.,ErrorCategory.STYLISTIC_PREFERENCE,90,"The phrase 'written evidence' is unnecessarily repeated, making the sentence less concise."
7,9,function,"""Fruit is often preserved and added to a recipe to enhance the characteristics of the dish."" Investigate the working characteristics, **function** and chemical properties of using different types of preserved fruit when making a batch of cupcakes.",ErrorCategory.CONSISTENCY_ERROR,95,"The term 'function' is used as a noun here, while 'functional' (an adjective) is used consistently elsewhere in the document (e.g., in the introductory paragraph and Brief B) when describing properties alongside 'chemical properties'."
8,10,task you may,"*You will not receive marks for this element of the **task you may** wish to do this as a group. You will receive marks in later tasks for your reflection of this hypothesis. It is important that if you do work in a group, you have the same hypothesis.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,This is a run-on sentence; two independent clauses are joined without proper punctuation or a conjunction.
9,10,function properties,"Research evidence – using the Internet and any other sources you want to use, produce a summary of the:<br>• working characteristics of ingredients<br>• the **function properties** of ingredients<br>• the chemical properties of ingredients in a recipe(s) for your chosen brief.",ErrorCategory.SPELLING_ERROR,95,"The adjective 'functional' is required here to modify 'properties', not the noun 'function'."
10,11,in order to,"You must justify choices for experimental work and modifications made **in order to** apply your knowledge and understanding of the working characteristics, functional and chemical properties of ingredients in a recipe.",ErrorCategory.STYLISTIC_PREFERENCE,80,The phrase 'in order to' can be replaced by the more concise 'to' without loss of meaning.
11,11,important you follow,"(Throughout the food investigation, you should be aware of food hygiene and safety practices when conducting a food investigation. You will not receive any marks for this section, but it is **important you follow** this for your safety and the safety of others.)",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The conjunction 'that' is missing after 'important' for grammatical completeness in this context.
12,11,data sensory qualities testing,- the methods you will use to collect **data sensory qualities testing**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A preposition (e.g., 'using' or 'through') is missing to connect 'data' with 'sensory qualities testing'."
13,11,function properties,- the **function properties** of ingredients,ErrorCategory.SPELLING_ERROR,95,"The adjective 'functional' is required here to modify 'properties', not the noun 'function'."
14,11,"note, you","Please **note, you** may develop a shared hypothesis and discuss a shared food investigation plan, but you **must** have your own individual interpretations and evidence of these tasks.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,A comma is required after the introductory phrase 'Please note'.
15,13,investigationa comparison,an analysis of the data and results collected<br>during the food **investigationa comparison** of actual results collected<br>compared to expected outcomes.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"This is a run-on sentence; a full stop or semicolon is required after 'investigation' to separate the clauses, followed by a capitalised 'A' for 'A comparison' if a full stop is used."
16,13,outcomes.(b),compared to expected **outcomes.(b)** Evaluation<br>You must evaluate the food investigation based on<br>the following considerations:,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A space is required after the full stop before the start of the next item '(b) Evaluation'.
