issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,4,outside of,Centres must have in place systems to ensure candidates cannot access evidence they have been developing **outside of** supervised activities.,ErrorCategory.STYLISTIC_PREFERENCE,80,The phrase 'outside of' is less concise; 'outside' is sufficient and more formal in British English.
1,5,is summarised,The acceptable formats for evidence of each of the tasks **is summarised** in the task tables.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,Subject-verb agreement error: 'formats' (plural subject) requires the plural verb 'are summarised'.
2,5,authentic; reliable,"- evidence presented for assessment is valid, **authentic; reliable** and credible",ErrorCategory.STYLISTIC_PREFERENCE,85,A semicolon is typically used to separate independent clauses or complex list items; a comma is more appropriate for a simple list of adjectives.
3,5,refer the,You should **refer the** JCQ Instructions for conducting non-examination assessment for further information on managing assessment within our GCSE Qualifications.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The verb 'refer' in this context requires the preposition 'to' (i.e., 'refer to the JCQ Instructions')."
4,6,malpractice,I understand that false declaration is a form of **malpractice**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The sentence is missing a full stop at the end.
5,8,requirements briefs,"Your teacher is allowed to help you to understand the assessment **requirements briefs** and the tasks, but there are rules about the kind of help and how much they can give you.",ErrorCategory.STYLISTIC_PREFERENCE,85,"The phrasing 'assessment requirements briefs' is awkward and could be clearer, for example, 'assessment requirements and briefs' or 'assessment briefs'."
6,9,written evidence is 2000 - 2500 words for the written evidence,The **recommended** **written evidence** is 2000 - 2500 words for the **written evidence** for all **three** tasks.,ErrorCategory.STYLISTIC_PREFERENCE,80,The repetition of 'written evidence' makes the sentence clunky; it could be rephrased for conciseness.
7,9,function and chemical properties,"""Fruit is often preserved and added to a recipe to enhance the characteristics of the dish."" Investigate the working characteristics, **function and chemical properties** of using different types of preserved fruit when making a batch of cupcakes.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"For parallelism and consistency with the introductory paragraph, 'function' should be the adjective 'functional' to match 'chemical properties'."
8,9,plan a discussion,- (b) Produce a **plan a discussion** to develop a shared plan.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,A conjunction or punctuation is missing between 'plan' and 'a discussion' to form a grammatically correct phrase.
9,9,i s,Please note this **i**s **not** a group assignment.,ErrorCategory.SPELLING_ERROR,99,"The word 'is' is incorrectly rendered with a lowercase 'i' and a space, likely an OCR error."
10,9,your contribution,Your teacher will monitor this group work carefully to ensure that each of **your contribution** can be separately assessed.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,'Contribution' should be plural ('contributions') to agree with 'each of your' when referring to multiple individuals' work.
11,10,task you may,*You will not receive marks for this element of the **task you may** wish to do this as a group. You will receive marks in later tasks for your reflection of this hypothesis.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Two independent clauses are joined without a conjunction or appropriate punctuation, creating a comma splice."
12,10,function properties,"Research evidence – using the Internet and any other sources you want to use, produce a summary of the:<br>• working characteristics of ingredients<br>• the **function properties** of ingredients<br>• the chemical properties of ingredients in a recipe(s) for your chosen brief.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The noun 'function' should be the adjective 'functional' to correctly modify 'properties'.
