issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,3,have decided,Qualifications Wales **have decided** that these qualifications will be introduced in a phased way; WJEC is now developing the qualifications that are to be available for first teaching from September 2025 to meet these requirements.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"'Qualifications Wales' is a singular entity (an organisation), and therefore requires the singular verb 'has decided' for subject-verb agreement."
1,4,around the concerns,The subject-specific section of the report goes into further detail **around the concerns** raised.,ErrorCategory.STYLISTIC_PREFERENCE,85,The use of 'around' is informal; 'regarding' or 'about' would be more appropriate for a formal report.
2,4,around the level of content,The comments made indicated that the concern here was **around the level of content** that we must include in our qualification.,ErrorCategory.STYLISTIC_PREFERENCE,85,The use of 'around' is informal; 'regarding' or 'about' would be more appropriate for a formal report.
3,4,nonexamination,This was particularly prevalent in qualifications where the **nonexamination** assessment is either new or significantly increased.,ErrorCategory.SPELLING_ERROR,98,The term 'non-examination' should be hyphenated as a compound adjective.
4,5,nonexamination,"Some stakeholders felt that **nonexamination** assessment can further disadvantage some learners, for example, those who do not have support or access to adequate resources at home.",ErrorCategory.SPELLING_ERROR,98,The term 'non-examination' should be hyphenated as a compound adjective.
5,5,maximalise,"However, one stakeholder group had a different view on what impacted equity, requesting that the GCSEs have a range of assessment methods, focusing on competency-based continuous assessment methods, rather than coursework or mini-tests, to **maximalise** equity.",ErrorCategory.SPELLING_ERROR,95,The correct British English spelling is 'maximise'.
6,5,Qualification Wales,"When we submit our qualifications to **Qualification Wales** for approval, we must stipulate how we have managed the balance of manageability, engagement, reliability and validity.",ErrorCategory.CONSISTENCY_ERROR,95,"The official name is 'Qualifications Wales' (plural), as used consistently elsewhere in the document."
7,6,around digital submission,"While some positive comments were made **around digital submission** where learner work has been produced digitally, respondents expressed a concern linked to teacher workload and centre manageability where the infrastructure isn't available to schools to enable the work to be produced digitally by learners in the first place.",ErrorCategory.STYLISTIC_PREFERENCE,85,The use of 'around' is informal; 'regarding' or 'about' would be more appropriate for a formal report.
8,6,nonexamination,"Where this is the case, scanning and uploading of **nonexamination** assessment could be time-consuming, particularly when considering the scale of non-examination assessment across the suite of qualifications.",ErrorCategory.SPELLING_ERROR,98,The term 'non-examination' should be hyphenated as a compound adjective.
9,6,around a lack of infrastructure,Respondents also expressed concerns **around a lack of infrastructure** in schools to support digital examination assessment.,ErrorCategory.STYLISTIC_PREFERENCE,85,The use of 'around' is informal; 'regarding' or 'about' would be more appropriate for a formal report.
10,6,around their ability,"Some of the comments made indicated that the number of hours allocated to some subjects differed significantly to the guided learning hours, and this raised concerns **around their ability** to cover the content in the time they were allocated by their school.",ErrorCategory.STYLISTIC_PREFERENCE,85,The use of 'around' is informal; 'regarding' or 'about' would be more appropriate for a formal report.
11,6,around this aspect,More detail **around this aspect** can be found in relevant subject-specific sections.,ErrorCategory.STYLISTIC_PREFERENCE,85,The use of 'around' is informal; 'regarding' or 'about' would be more appropriate for a formal report.
12,6,around re-sits,"A number of Further Education providers raised concerns **around re-sits**, with particular concerns relating to Mathematics and Numeracy, and English Language and Literature.",ErrorCategory.STYLISTIC_PREFERENCE,85,The use of 'around' is informal; 'regarding' or 'about' would be more appropriate for a formal report.
13,8,on or volume of work,"A couple of respondents proposed setting limits on the time spent **on or volume of work** to be submitted for the portfolio; however, after consulting further with stakeholders via our Development Advisory Group, we have decided not to proceed with this but to retain the current flexibility.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The phrasing 'on or volume of work' creates an ungrammatical construction; it should be 'on the time spent or the volume of work' for clarity and grammatical correctness.
14,9,*,"The Approval Criteria note that as part of the devising unit, learners must submit a reflective log in a non-prescribed format; this will be compulsory to access the full range of marks**\***.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The asterisk at the end of the sentence appears to be a stray character or OCR error, as it does not serve a grammatical or formatting purpose here."
15,9,states,The Approval Criteria **states** that 30% of the qualification must be assessed by external examination which must include questions on unprepared works.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,99,"'Criteria' is a plural noun, so the verb should be 'state' to maintain subject-verb agreement."
