issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,1,dishes,"It is not a definitive list, but a guide to the techniques with their levels within the **dishes**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The sentence is incomplete without a full stop at the end.
1,2,filet,(assuming pre-prepared cod loin/**filet** is used)<br>Trimming fish to a presentable shape (if needed),ErrorCategory.SPELLING_ERROR,95,"The British English spelling for a boneless piece of meat or fish is 'fillet', not 'filet'."
2,2,***),Fresh pasta: Making a pasta dough.<br>Laminating and cutting to shape | Laminating (pasta dough) **\*\*\*)** | | |,ErrorCategory.STYLISTIC_PREFERENCE,90,The closing parenthesis is misplaced after the level indicator asterisks; it should be '***'.
3,5,Panéing,Making breadcrumbs **Panéing** Shallow/deep fat frying,ErrorCategory.SPELLING_ERROR,95,The verb form of 'pané' in British English is typically 'paneing' or simply 'breading'; the accent is not standard in this context.
4,5,Panéing,escalope shape<br>Making breadcrumbs<br>**Panéing**<br>Shallow/deep fat frying,ErrorCategory.SPELLING_ERROR,95,The verb form of 'pané' in British English is typically 'paneing' or simply 'breading'; the accent is not standard in this context.
5,5,stringy Well assembled,"Ensure cheese is melted<br>and not stringy **Well assembled** – florets are<br>evenly coated in cheese<br>sauce Florets have kept<br>their colour and still<br>have a little bite (i.e. not<br>soggy) Breadcrumb and<br>cheese mix is prepared<br>from scratch, and<br>finished<br>Product is well<br>gratinated",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,This is a run-on sentence; a period is needed between 'stringy' and 'Well assembled' to separate two independent clauses.
6,5,Product,finished<br>**Product** is well<br>gratinated,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,'Product' should be lowercase as it is not a proper noun and is part of a sentence.
7,5,Rolling Cutting/shaping,Rubbing-in<br>Mixing<br>**Rolling Cutting/shaping**<br>Glazing<br>Baking,ErrorCategory.STYLISTIC_PREFERENCE,80,"A comma or conjunction ('and') would improve clarity in this list of actions, e.g., 'Rolling, Cutting/shaping'."
8,5,cooking) Dicing,Cutting vegetables into even sizes (to ensure even **cooking) Dicing** ready prepared chicken breast into even sizes (to ensure even cooking)<br>Skewering,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,This is a run-on sentence; a period or semicolon is needed to separate these two distinct points.
9,5,reduction based sauce,Making a wine **reduction based sauce**,ErrorCategory.STYLISTIC_PREFERENCE,85,'Reduction-based' is clearer as a compound adjective when preceding a noun.
10,5,dice Knife skills,"Slicing of chicken breast into thin and even strips or even **dice Knife skills** – slicing and dicing vegetables, etc.<br>Sautéing<br>Cooking",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,This is a run-on sentence; a period or semicolon is needed to separate these two distinct points.
11,5,peeling slicing,"Knife skills – **peeling slicing**, dicing, grating Forming filling, each pasty is evenly filled, and filling remains intact during baking (no seepages)",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma is missing between 'peeling' and 'slicing' in this list of actions.
12,5,"filling, each","Forming **filling, each** pasty is evenly filled, and filling remains intact during baking (no seepages)",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This is a comma splice, joining two independent clauses with only a comma."
13,5,lump free,Mashing – achieving a **lump free** and well seasoned mash<br>Piping potato<br>Even baking – good finished colour and good ratio of meat and potato layers,ErrorCategory.STYLISTIC_PREFERENCE,85,'Lump-free' is a compound adjective and should be hyphenated when used before a noun.
14,5,well seasoned mash,Mashing – achieving a lump free and **well seasoned mash**<br>Piping potato<br>Even baking – good finished colour and good ratio of meat and potato layers,ErrorCategory.STYLISTIC_PREFERENCE,85,'Well-seasoned' is a compound adjective and should be hyphenated when used before a noun.
15,5,lump free,Mashing – achieving a **lump free** and well seasoned mash,ErrorCategory.STYLISTIC_PREFERENCE,85,'Lump-free' is a compound adjective and should be hyphenated when used before a noun.
16,5,well seasoned mash,Mashing – achieving a lump free and **well seasoned mash**,ErrorCategory.STYLISTIC_PREFERENCE,85,'Well-seasoned' is a compound adjective and should be hyphenated when used before a noun.
17,5,Panéing,Making breadcrumbs<br>**Panéing**<br>Shallow/deep fat frying<br>Cooking evenly and thoroughly,ErrorCategory.SPELLING_ERROR,95,The verb form of 'pané' in British English is typically 'paneing' or simply 'breading'; the accent is not standard in this context.
18,5,filet,"If skinned fish is required, the **filet** is again cleanly skinned and well presented",ErrorCategory.CONSISTENCY_ERROR,90,'Fillet' is the standard British English spelling and is used elsewhere in the document for consistency.
19,5,"slicing vegetables, crushing","Knife skills – peeling, dicing, **slicing vegetables, crushing**<br>garlic<br>Sautéing, simmering<br>Blending",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,A comma is missing between 'slicing vegetables' and 'crushing garlic' in this list of actions.
20,5,stringy Well assembled,"Ensure cheese is melted<br>and not stringy **Well assembled** – pleasing<br>ratio of sauce to pasta<br>Breadcrumb and<br>cheese mix is prepared<br>from scratch, and<br>finished product is<br>evenly baked and well<br>gratinated",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,This is a run-on sentence; a period is needed between 'stringy' and 'Well assembled' to separate two independent clauses.
21,5,fileting,Slicing **<br>Peeling *<br>Dicing **<br>**fileting** ***,ErrorCategory.SPELLING_ERROR,95,'Filleting' is the standard British English spelling for this technique.
22,5,Mixing Shaping and forming,Dumplings:<br>**Mixing Shaping and forming**<br>Steaming over stew<br>sauce<br>Baking,ErrorCategory.STYLISTIC_PREFERENCE,80,"A comma or conjunction ('and') would improve clarity in this list of actions, e.g., 'Mixing, Shaping and forming'."
23,5,"Sautéing, Grating cheese","other ingredients<br>**Sautéing,<br>Grating cheese**<br>Making egg custard –<br>white and yolk of egg<br>well blended<br>Baking",ErrorCategory.STYLISTIC_PREFERENCE,80,"A conjunction (e.g., 'and') or a semicolon is needed to clearly separate these two actions in a list."
24,5,pate sucree,"Shortcrust pastry/**pate<br>sucree**:<br>Rubbing-in<br>Mixing<br>Forming dough of<br>correct consistency,<br>resting dough",ErrorCategory.SPELLING_ERROR,90,"The correct French term is 'pâte sucrée'. If an anglicised version is preferred, 'sweet pastry' or 'pate sucree' without the accent could be used, but consistency with other French terms (like 'Panéing' which was flagged for its accent) suggests the accented version is intended."
25,5,Well assembled,"Even baking, well-risen<br>and not burnt<br>**Well assembled** with<br>decorative finishes<br>(including piping)",ErrorCategory.STYLISTIC_PREFERENCE,85,'Well-assembled' is a compound adjective and should be hyphenated when used before a noun.
26,24,ingredients Flavouring,"Beating/whisking eggs, cream cheese and other **ingredients Flavouring**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The word 'Flavouring' appears to be a separate item or action in a list but is not separated from 'ingredients' by punctuation, leading to an awkward and grammatically unclear phrase."
27,24,cheesecake has required texture,Melting gelatine and using appropriate quantities of gelatine so that **cheesecake has required texture**,ErrorCategory.STYLISTIC_PREFERENCE,80,The omission of the definite article 'the' before 'cheesecake' and 'required texture' makes the phrasing less formal and slightly clunky. 'so that the cheesecake has the required texture' would be more appropriate for a formal document.
28,25,Making sugar caramel to required colour Making egg custard,Making sugar caramel to required colour **Making egg custard** Baking – ensure egg is set and not overcooked (needs a 'wobble') Removing from dish by inverting – comes out intact not damaged,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,This is a run-on phrase; 'Making egg custard' should be a separate point or joined with a conjunction and comma.
29,25,not damaged,Removing from dish by inverting – comes out intact **not damaged**,ErrorCategory.STYLISTIC_PREFERENCE,80,"The phrasing 'intact not damaged' is slightly awkward; 'intact and undamaged' or 'intact, not damaged' would improve flow."
30,25,pate sucree,Shortcrust pastry/**pate sucree**:,ErrorCategory.SPELLING_ERROR,95,"The French term 'pâte sucrée' requires diacritics for correct spelling (OED, Larousse)."
