issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,7,some of south,"...t Swansea have the highest speeds, with some of south and north-east Wales being relatively g...",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The definite article 'the' is required before 'south' in this geographical context.
1,8,out,...closure of these industries also led to out migration. This can cause a spiral of d...,ErrorCategory.PARSING_ERROR,95,The compound noun 'out-migration' should be hyphenated for standard usage.
2,9,econom y,"...mmes, Young Persons Guarantee, circular econom y - education – targeted funding e.g. Pup...",ErrorCategory.SPELLING_ERROR,100,The word 'econom y' is a clear spelling error and should be 'economy'.
3,10,among,...lieve that this has created a hierarchy among nations and given a higher value to som...,ErrorCategory.FALSE_POSITIVE,95,The word 'among' is grammatically correct and stylistically acceptable in this context.
4,11,untries,...ank.org/country/GBR/556d8fa6/Popular_co untries</li><li>United Nations Country profiles...,ErrorCategory.PARSING_ERROR,100,The word 'untries' is a parsing error within a URL and should be 'countries'.
5,11,LICss,"...s of education and health care, whereas LICss may struggle with poverty, limited acce...",ErrorCategory.SPELLING_ERROR,100,"The plural form of 'LIC' is 'LICs', making 'LICss' a spelling error."
6,13,Organisations,...e access to markets. - Non-Governmental Organisations (NGOs) that work in countries to develo...,ErrorCategory.FALSE_POSITIVE,95,"The spelling 'Organisations' with an 's' is correct in UK English, which WJEC documents follow."
7,16,degradatio n,"...labour, which can lead to environmental degradatio n - profits often repatriated to home cou...",ErrorCategory.PARSING_ERROR,100,The word 'degradatio n' is a parsing error where the word has been split and should be 'degradation'.
8,16,eco -friendly,"...ent promotes sustainable tourism, where eco -friendly resorts help to conserve marine biodive...",ErrorCategory.PARSING_ERROR,100,The compound adjective 'eco-friendly' requires a hyphen for correct spelling.
9,16,eco -tourism,...ough tourism:  - promoting cultural and eco -tourism can provide communities with a sustaina...,ErrorCategory.PARSING_ERROR,100,The compound noun 'eco-tourism' requires a hyphen for correct spelling.
10,17,costa-ricas-eco-tourism,...ld/30/1/costa-ricas-eco-tourism/) [30/1/costa-ricas-eco-tourism/](https://www.hoddereducationmagazines....,ErrorCategory.FALSE_POSITIVE,95,"The hyphenated form is correct within a URL path, which often uses hyphens in place of spaces or apostrophes."
11,17,eco-tourism-in-monteverde-costa-rica,...ourism-in-monteverde-costa-rica/) [32/4/eco-tourism-in-monteverde-costa-rica/](https://www.hoddereducationmagazines....,ErrorCategory.FALSE_POSITIVE,95,"The hyphenated form is correct within a URL path, following common web address conventions."
12,19,but,... Places closer to the Equator are warmer but there's little difference between north...,ErrorCategory.STYLISTIC_PREFERENCE,70,"A comma before 'but' is often a stylistic choice for clarity, but its omission here is not a grammatical error."
13,19,south west,"...e prevailing wind direction is from the south west, this brings warm wet weather (link to ...",ErrorCategory.STYLISTIC_PREFERENCE,80,"While 'south west' is acceptable as two words in this context, 'south-west' is often preferred for compound directions, especially in meteorological descriptions."
14,21,of Atlantic,...ll is frequent because of the influence of Atlantic weather systems and prevailing south we...,ErrorCategory.FALSE_POSITIVE,95,"The phrase 'influence of Atlantic weather systems' is grammatically correct, with 'Atlantic' functioning as an adjective."
15,21,south westerly,...Atlantic weather systems and prevailing south westerly winds. Convectional rainfall occurs les...,ErrorCategory.PARSING_ERROR,90,"As a compound adjective modifying 'winds', 'south westerly' should be hyphenated ('south-westerly') or written as one word ('southwesterly')."
16,22,sub-tropical,... convectional rainfall - high pressure (sub-tropical high) where the Hadley and Ferrel cells...,ErrorCategory.FALSE_POSITIVE,95,The term 'sub-tropical' is correctly hyphenated in this context.
17,22,fastflowing,"...ream: The position of the jet stream, a fastflowing ribbon of air high in the atmosphere, i...",ErrorCategory.PARSING_ERROR,95,"As a compound adjective preceding a noun, 'fastflowing' should be hyphenated to 'fast-flowing'."
18,25,cross section,... charts and satellite images - create a cross section through a depression outside as a class...,ErrorCategory.PARSING_ERROR,90,The noun 'cross section' is conventionally hyphenated as 'cross-section' in UK English.
19,29,factsheet,...ctivities:**  - learners could create a factsheet or information guide about the chosen e...,ErrorCategory.FALSE_POSITIVE,90,The term 'factsheet' is widely accepted and commonly used as a single word in educational and professional contexts.
20,30,cyclones-in-bangladesh,.../1/cyclones-in-bangladesh/)[review/24/1/cyclones-in-bangladesh/](https://www.hoddereducationmagazines....,ErrorCategory.PARSING_ERROR,95,"The Markdown link is malformed with a redundant text component, causing a display error."
21,30,record-rainfall-from-hurricane-harvey,...all-from-hurricane-harvey/)[review/31/4/record-rainfall-from-hurricane-harvey/](https://www.hoddereducationmagazines....,ErrorCategory.PARSING_ERROR,95,"The Markdown link is malformed with a redundant text component, causing a display error."
22,30,cyclones-in-bangladesh,.../1/cyclones-in-bangladesh/)[review/24/1/cyclones-in-bangladesh/](https://www.hoddereducationmagazines....,ErrorCategory.PARSING_ERROR,95,"The Markdown link is malformed with a redundant text component, causing a display error."
23,31,extreme cold,"...s could be extreme droughts, heatwaves, extreme cold spells.  # **Causes of extreme high-pre...",ErrorCategory.FALSE_POSITIVE,90,"The phrase 'extreme cold spells' is grammatically correct, with 'extreme cold' functioning as a noun phrase modifying 'spells'."
24,31,extreme cold,"..., preventing mixing and contributing to extreme cold or heat. - Climate patterns: Large-scal...",ErrorCategory.FALSE_POSITIVE,90,"The phrase 'extreme cold or heat' is grammatically correct, with 'extreme cold' functioning as a noun phrase."
25,31,extreme cold,... promote heatwaves (e.g. in valleys) or extreme cold (e.g. in mountain basins).  # **Impacts...,ErrorCategory.FALSE_POSITIVE,90,The phrase 'extreme cold' is used correctly as a noun phrase referring to a weather phenomenon.
26,31,Extreme cold,"... food shortages and increased prices. - Extreme cold: Freezing conditions can affect travel,...",ErrorCategory.FALSE_POSITIVE,90,The phrase 'Extreme cold' is used correctly as a noun phrase in a list item heading.
27,32,extreme cold,"...heatwaves. - Emergency services: During extreme cold events, emergency services may provide ...",ErrorCategory.STYLISTIC_PREFERENCE,75,"While 'extreme-cold events' could be hyphenated as a compound adjective for clarity, the unhyphenated form is not grammatically incorrect."
28,32,factsheet,...ctivities:**  - learners could create a factsheet or information guide about the chosen e...,ErrorCategory.STYLISTIC_PREFERENCE,80,"'Factsheet' is an acceptable and commonly used single-word spelling in UK English, though 'fact sheet' is also correct."
29,33,water-insecurity-in-california,.../water-insecurity-in-california/) [32/2/water-insecurity-in-california/](https://www.hoddereducationmagazines....,ErrorCategory.PARSING_ERROR,95,"The Markdown link is malformed with a redundant text component, causing a display error."
30,37,among,...IPCC reports reflect a strong consensus among climate scientists that climate change ...,ErrorCategory.FALSE_POSITIVE,95,The word 'among' is used correctly in this context to denote a consensus within a group.
31,38,Nasa,...mate-change/evidence-climate-change/) - Nasa sea level rise projection tool: <https:...,ErrorCategory.SPELLING_ERROR,100,NASA is an acronym and should always be capitalised.
