issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,6,shou,...-------------------------  | 1 (b). You shou | uld use evidence from Map 2 and your ...,ErrorCategory.PARSING_ERROR,100,The word 'should' is incorrectly split across two table cells due to a parsing error.
1,6,uld,...------------------  | 1 (b). You shou | uld use evidence from Map 2 and your own kn...,ErrorCategory.PARSING_ERROR,100,The word 'should' is incorrectly split across two table cells due to a parsing error.
2,6,th,...                    |     |  | | Define th          | ne term 'development gap'.  ...,ErrorCategory.PARSING_ERROR,100,The word 'the' is incorrectly split across two table cells due to a parsing error.
3,6,ne,...      |     |  | | Define th          | ne term 'development gap'.                ...,ErrorCategory.PARSING_ERROR,100,The word 'the' is incorrectly split across two table cells due to a parsing error.
4,25,fewest,... living wage in the North West and West/fewest jobs paid below the living wage in the ...,ErrorCategory.FALSE_POSITIVE,95,'Fewest jobs' is grammatically correct and appropriate in this comparative context.
5,25,fewest,... Newport (and others nearby named) have fewest jobs paid below the living wage. (NB - ...,ErrorCategory.STYLISTIC_PREFERENCE,75,"Adding 'the' before 'fewest' would improve grammatical precision, but its omission is not an absolute error in this context."
6,25,fewest,... Newport (and others nearby named) have fewest jobs paid below the living wage. Areas ...,ErrorCategory.STYLISTIC_PREFERENCE,75,"Adding 'the' before 'fewest' would improve grammatical precision, but its omission is not an absolute error in this context."
7,25,second highest,"...d below the living wage. Areas with the second highest percentages include Powys, Wrexham and ...",ErrorCategory.FALSE_POSITIVE,100,'Second highest' is a correctly formed compound adjective and is grammatically sound.
8,25,second lowest,"...rn counties of Wales and areas with the second lowest percentage include Carmarthenshire, Mon...",ErrorCategory.FALSE_POSITIVE,100,'Second lowest' is a correctly formed compound adjective and is grammatically sound.
9,29,MNC's,...a positive multiplier effect when other MNC's then locate in the same areas. If they ...,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The apostrophe in 'MNC's' is incorrect for a plural; it should be 'MNCs'.
10,30,well structured,"...onse that has purpose, is organised and well structured.</li></ul> |  |  |  |  | | 3 | 6-8 mark...",ErrorCategory.STYLISTIC_PREFERENCE,75,"While 'well-structured' is often hyphenated as a compound adjective, its predicative use here makes the unhyphenated form acceptable, though hyphenation would be consistent with other compound adjectives."
11,33,well structured,"...onse that has purpose, is organised and well structured.</li></ul> |  {34}---------------------...",ErrorCategory.STYLISTIC_PREFERENCE,75,"While 'well-structured' is often hyphenated as a compound adjective, its predicative use here makes the unhyphenated form acceptable, though hyphenation would be consistent with other compound adjectives."
12,35,Milankovitch Cycles,...ne mark for naming the process: <ul><li>Milankovitch Cycles</li><li>sunspots</li><li>volcanic erupt...,ErrorCategory.FALSE_POSITIVE,100,'Milankovitch Cycles' is a correctly capitalised proper noun referring to a specific scientific concept.
13,35,Milankovitch Cycles,...                      |   |  |   | |  | Milankovitch Cycles <ul><li>Long term changes to the Earth'...,ErrorCategory.FALSE_POSITIVE,100,'Milankovitch Cycles' is a correctly capitalised proper noun referring to a specific scientific concept.
14,35,northern hemisphere,...><li>Currently perihelion is during the northern hemisphere winter and so ice and snow generally on...,ErrorCategory.FALSE_POSITIVE,100,'northern hemisphere' is correctly written in lowercase as a descriptive geographical term.
15,36,the,...impacts will vary on a much finer scale the can be shown in a global map with a han...,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The word 'the' should be 'than' to form a correct comparison: 'finer scale than can be shown'.
16,36,are,...ne country.</li><li>The type of impacts are not clear.</li><li>No year is given on ...,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The subject 'type' is singular, requiring the singular verb 'is' for subject-verb agreement."
17,36,symbolsso,...shown in a global map with a handful of symbolsso it is not clear exactly where the impac...,ErrorCategory.PARSING_ERROR,100,'symbolsso' is a merged word and should be separated into 'symbols so'.
18,36,are,...s are felt.</li><li>The type of impacts are not clear as some impacts can be positi...,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The subject 'type' is singular, requiring the singular verb 'is' for subject-verb agreement."
19,38,low lying,... include:  - Rising sea levels flooding low lying coastal land and beaches. - Contaminati...,ErrorCategory.PARSING_ERROR,90,'low lying' should be hyphenated as 'low-lying' when used as a compound adjective preceding a noun.
20,38,well structured,"...onse that has purpose, is organised and well structured.</li></ul> |  |  |  |  | | 2 | 3-4 mark...",ErrorCategory.FALSE_POSITIVE,95,The compound adjective 'well structured' is correctly unhyphenated as it follows the noun it modifies.
21,39,"""","... Change, said at COP29 in November 2024 ""global cooperation is the only way human...",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"The quotation mark is opened but not closed, indicating a missing closing quotation mark."
22,40,well structured,"...onse that has purpose, is organised and well structured.</li></ul> |  |  | | 3 | 5-6 marks A go...",ErrorCategory.FALSE_POSITIVE,95,The compound adjective 'well structured' is correctly unhyphenated as it follows the noun it modifies.
23,40,one sided,... management of climate change</li><li>a one sided approach</li><li>no use of examples</li...,ErrorCategory.PARSING_ERROR,100,'One-sided' should be hyphenated as a compound adjective preceding the noun it modifies.
24,42,cleanups,...the food chain.  **Participate in beach cleanups** – Removing plastic and other waste fr...,ErrorCategory.FALSE_POSITIVE,95,'Cleanups' is a correctly spelled and commonly used plural noun in this context.
25,42,wate,...om companies that have little packaging wate that can't be properly recycled/compost...,ErrorCategory.SPELLING_ERROR,100,'Wate' is a clear misspelling of the word 'waste'.
26,43,well structured,"...onse that has purpose, is organised and well structured.</li></ul> | | 2 | 3-4 marks A good exp...",ErrorCategory.FALSE_POSITIVE,95,The compound adjective 'well structured' is correctly unhyphenated as it follows the noun it modifies.
