issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,5,to the order,"Aside from Unit 1, which is an introductory unit, there is no hierarchy **to the order** the units should be taught.",ErrorCategory.STYLISTIC_PREFERENCE,75,The phrasing 'hierarchy to the order' is slightly awkward; 'hierarchy in the order' or 'prescribed order for' would be more natural and grammatically conventional.
1,7,sustainable issues,For this assessment learners are required to undertake a decision-making exercise based on a Resource Pack that contains **sustainable issues** with several possible options.,ErrorCategory.AMBIGUOUS_PHRASING,90,"The phrase 'sustainable issues' is ambiguous; it likely intends to refer to 'issues related to sustainability' or 'issues requiring sustainable solutions', rather than implying the issues themselves are sustainable."
2,7,decision making,"In Phase 1 of the **decision making**, candidates will need to research the issue beyond the Resource Pack.",ErrorCategory.STYLISTIC_PREFERENCE,85,"As a compound noun, 'decision-making' is conventionally hyphenated in British English for clarity and adherence to formal style (OED, Collins)."
3,7,decision making,"In this unit, learners will develop knowledge, skills and understanding in: | 4.2.1 | The skills of **decision making**",ErrorCategory.STYLISTIC_PREFERENCE,85,"As a compound noun, 'decision-making' is conventionally hyphenated in British English for clarity and adherence to formal style (OED, Collins)."
4,9,what do people want,"When<br>considering this we could ask **what do people want** for the future, and<br>do they all value the same things?",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"In an indirect question, the word order should be declarative (subject-verb) rather than interrogative (verb-subject). It should be 'what people want'."
5,10,as during any independent research online learners may encounter,"Learners could be introduced to other language used in discussing sustainability **as during any independent research online learners may encounter** models that refer to the three P's (people, profit and planet).",ErrorCategory.STYLISTIC_PREFERENCE,80,"The phrasing is awkward; reordering for clarity would improve flow (e.g., 'as learners may encounter during any independent online research')."
6,11,17,Learners should understand that **17** SDGs can be categorised under the headings of the three pillars of sustainability.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A definite article ('the') is required before '17 SDGs' for grammatical correctness.
7,11,to be to,When studying issues in all units of the course a starting point may **to be to** discuss which of the goals most apply to that issue or challenge.,ErrorCategory.SPELLING_ERROR,95,Typographical error; 'to be to' should be 'be to'.
8,12,skillscommunication skillsevaluative skillsinterpretative skillsproblem-solving skillsreferencing skills,"Learners should be able to use the following skills when undertaking decision making:<br>cartographic, graphical, numerical and statistical **skillscommunication skillsevaluative skillsinterpretative skillsproblem-solving skillsreferencing skills**.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"List items are concatenated without spaces, making them grammatically incorrect. Each skill should be separated (e.g., 'skills, communication skills')."
9,12,Learners problem-solving,"**Learners problem-solving** skills could be developed through collaborative investigations of issues, where scaffolds could be used to support their thinking around issues and challenges.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,Missing apostrophe for the possessive form 'Learners''.
10,12,materialsresearching appropriate informationsynthesising the information to clearly identify the issuereferencing the researched informationrecognising misleading or invalid information,"Learners should be able to use and research evidence to identify geographical issues by:<br>identifying key information within sources and supporting **materialsresearching appropriate informationsynthesising the information to clearly identify the issuereferencing the researched informationrecognising misleading or invalid information**, including bias and vested interest.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"List items are concatenated without spaces, making them grammatically incorrect. Each item should be separated (e.g., 'materials, researching appropriate information')."
11,12,global cities.1.3.2,1.4.4 Urbanisation in contrasting global cities - learners could explore a range of data and information to understand the impacts of urbanisation in two contrasting **global cities.1.3.2** Managing migration - learners could explore a range of data and information from the media and debate whether this is misleading and how this influences public perceptions.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"Two distinct examples are merged without proper separation, creating a grammatical error. '1.3.2' appears as part of the preceding sentence."
12,12,diversity)the economythe environment,Learners should be able to consider the potential benefits of proposed options for:<br>society (including human rights and **diversity)the economythe environment**.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"List items are concatenated without spaces, making them grammatically incorrect. Each item should be separated (e.g., 'diversity), the economy, the environment')."
13,15,and nor,The learning experiences suggested in the table below are not to be considered as discrete activities **and nor** are they solely for consideration in Unit 4.,ErrorCategory.STYLISTIC_PREFERENCE,90,"The conjunction 'nor' already implies 'and not', making 'and nor' redundant and stylistically awkward. It should be 'nor are they'."
14,15,perspective,Learners will need to consider the views and opinions of<br>other people from a range of diverse backgrounds and with<br>different views and **perspective**.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The noun 'perspective' should be plural ('perspectives') to agree with the plural nouns 'views' and 'opinions' in this context.
15,15,scale the,"The SDGs and the Welsh goals can be<br>applied to the issue and challenge at any scale, even if the issue is<br>at an international **scale the** Welsh goals could be used as a ‘lens’<br>applied to the country in question to focus the learner's exploration<br>of the issue.",ErrorCategory.STYLISTIC_PREFERENCE,85,A comma after 'scale' would improve readability by clearly separating the subordinate clause from the main clause.
16,15,E.g. Learners,**E.g. Learners** could visit a local site that is being developed<br>in a sustainable way or virtually 'meet' a person or<br>organisation that is promoting a sustainable way of<br>working.,ErrorCategory.STYLISTIC_PREFERENCE,80,A comma is conventionally used after the abbreviation 'E.g.' (exempli gratia) in formal British English.
17,15,'meet',E.g. Learners could visit a local site that is being developed<br>in a sustainable way or virtually **'meet'** a person or<br>organisation that is promoting a sustainable way of<br>working.,ErrorCategory.STYLISTIC_PREFERENCE,80,The single quotation marks around 'meet' are unnecessary as the word is used literally and not as a direct quote or a term requiring special emphasis.
18,15,(e.g. 1.3.3,during the course<br>(**e.g. 1.3.3** Managing migration) to<br>discuss and debate the different approaches taken to<br>manage these<br>in a sustainable way.,ErrorCategory.STYLISTIC_PREFERENCE,80,A comma is conventionally used after the abbreviation 'e.g.' (exempli gratia) in formal British English.
19,16,real life,"These can be explored through **real life** case studies in Wales, the UK and from around the world across the different themes in the specification and can help to ensure that learners are knowledgeable about their culture, community, society and the world, now and in the past.",ErrorCategory.STYLISTIC_PREFERENCE,90,The compound adjective 'real-life' should be hyphenated when preceding a noun (case studies) in British English for clarity.
20,17,learners,"Centres could develop their own resource booklet, following the example provided in the SAMs, centred on the interests of the **learners** and containing references to some or all of the following CfW cross-cutting themes, to support them in preparation for the NEA.",ErrorCategory.CONSISTENCY_ERROR,90,"The term 'Learners' is predominantly capitalised throughout the document, making this lowercase instance inconsistent with the established style."
21,17,have,"These opportunities are important to Learners because considering the sustainability of their actions in relation to global issues such as climate change, deforestation, over-abstraction of resources and population growth **have** never been more important than they are now.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The subject 'population growth' is singular, requiring the singular verb 'has' instead of 'have' for subject-verb agreement."
22,18,learners,"These opportunities are important to Learners because through the study of people and places in geography, a range of different views and ideologies will be encountered, increasing knowledge of these views and encouraging **learners** to have fair and unbiased opinions based on what they learn.",ErrorCategory.CONSISTENCY_ERROR,90,"The term 'Learners' is predominantly capitalised throughout the document, making this lowercase instance inconsistent with the established style."
23,18,learners,Whilst researching and synthesising information **learners** should consider the view and perspectives of other people.,ErrorCategory.CONSISTENCY_ERROR,90,"The term 'Learners' is predominantly capitalised throughout the document, making this lowercase instance inconsistent with the established style."
24,18,on,They should develop empathy and understanding **on** why people may hold a different view to themselves.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The preposition 'of' is required after 'understanding' in this context, not 'on'."
25,19,between them,"Past, present and future issues linked to human rights and diversity must be considered when considering people, places and their interactions **between them**.",ErrorCategory.STYLISTIC_PREFERENCE,85,The phrase 'between them' is redundant as 'interactions' already implies a relationship between the mentioned entities.
26,19,as a member,"Through this, learners can be educated to tackle ignorance and misinformation around this subject and to respect the needs and rights of others, **as a member** of a diverse society.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Since 'learners' is plural, the phrase should be 'as members' to maintain subject-verb agreement and logical consistency."
27,19,embedded into,**Below are some examples of how Human Rights Education and Diversity can be embedded into**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The sentence is incomplete and ends abruptly, lacking a predicate or object to complete the thought."
28,19,The learners,The learners could be supported to consider what values<br>and opinions people from different groups might hold about a<br>particular issue and challenge.,ErrorCategory.CONSISTENCY_ERROR,90,"The definite article 'The' is inconsistently used before 'learners' here, while the document generally refers to 'Learners' without it."
29,20,to fire their interest,Learners must be equipped with the knowledge and skills to understand these issues and **to fire their interest** in taking on a career that will make a positive difference to a sustainable future.,ErrorCategory.STYLISTIC_PREFERENCE,80,'To fire their interest' is an informal idiom; more formal alternatives like 'to ignite their interest' or 'to stimulate their interest' would be more appropriate for this document.
30,21,because need,"These opportunities are important to Learners **because need** to be able to communicate effectively in different forms and settings, through both Welsh and English.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,A subject pronoun is missing after 'because'; it should be 'because they need'.
31,21,inside and out of,Learners should take delight in reading on a range of subjects **inside and out of** their academic subjects such as geography.,ErrorCategory.STYLISTIC_PREFERENCE,80,'Inside and out of' is an informal phrase; more formal alternatives like 'within and beyond' or 'both within and outside' would be more appropriate.
32,21,e.g. as outlined,"Learners should have the opportunity to listen to a range of values,<br>views and points of view when considering complex issues<br>surrounding sustainability especially if interviewing people or listening<br>to speakers **e.g. as outlined** in the earlier learning experiences section<br>on possible educational visits.",ErrorCategory.STYLISTIC_PREFERENCE,90,"In formal writing, 'e.g.' (exempli gratia) should typically be followed by a comma."
33,21,The<br>learners,**The<br>learners** should have opportunities to convey impartiality and<br>objectivity on these issues.,ErrorCategory.CONSISTENCY_ERROR,90,"The definite article 'The' is inconsistently used before 'learners' here, while the document generally refers to 'Learners' without it."
34,21,discipline specific vocabulary,...and be able to use **discipline specific vocabulary**.,ErrorCategory.SPELLING_ERROR,95,'Discipline-specific' is a compound adjective modifying 'vocabulary' and should be hyphenated.
