issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,1,30 mins,This is worth 30% of the qualification and is a written exam 1 hour **30 mins**.,ErrorCategory.STYLISTIC_PREFERENCE,85,The abbreviation 'mins' is informal; 'minutes' is preferred in formal documents.
1,1,dynamic and Diverse World,EXAM 2 - Unit 3 Our **dynamic and Diverse World**.,ErrorCategory.CONSISTENCY_ERROR,90,The word 'dynamic' should be capitalised for consistency with the main title 'TITLE/UNIT 3 - Our Dynamic and Diverse World' and other unit titles.
2,1,30 mins,This is worth 30% of the qualification and is a written exam 1 hour **30 mins**.,ErrorCategory.STYLISTIC_PREFERENCE,85,The abbreviation 'mins' is informal; 'minutes' is preferred in formal documents.
3,1,field work,"You will carry out a **field work** visit based on a topic such as, change over time or environment, and investigate this in a chosen location, writing a fieldwork enquiry that will be submitted to WJEC.",ErrorCategory.STYLISTIC_PREFERENCE,88,"The compound noun 'fieldwork' is typically written as one word, consistent with 'fieldwork skills' and 'fieldwork enquiry' used elsewhere in the document."
4,1,"such as,","You will carry out a field work visit based on a topic **such as,** change over time or environment, and investigate this in a chosen location, writing a fieldwork enquiry that will be submitted to WJEC.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma should not be used directly after 'such as' when introducing a list of integral examples.
5,1,geographical,You will receive a resource booklet on a **geographical**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The sentence is incomplete and ends abruptly, requiring additional text to form a coherent statement."
6,1,and communicate it to a variety of audiences.,"- An ability to collect, process, analyse and understand qualitative and quantitative data and communicate it to a variety of audiences. - Develop a reasoned argument **and communicate it to a variety of audiences**.",ErrorCategory.STYLISTIC_PREFERENCE,80,This phrase is redundant as the communication aspect is already covered in the preceding bullet point.
7,1,problem solving,"...flexibility, creativity, **problem solving** and self-confidence.",ErrorCategory.STYLISTIC_PREFERENCE,88,"'Problem-solving' is often hyphenated when used as a compound noun or adjective, which would enhance clarity and consistency with other compound terms like 'self-confidence'."
8,1,cope with less demand for plastic,"Most jobs have an element of geography in them, whether a doctor investigating the spread of disease or an engineer designing products to **cope with less demand for plastic**.",ErrorCategory.AMBIGUOUS_PHRASING,90,"The phrasing 'cope with less demand for plastic' is unclear and could be interpreted in multiple ways, making the intended meaning ambiguous."
9,1,memorizing,"""The study of geography is about more than just **memorizing** places on a map.",ErrorCategory.SPELLING_ERROR,95,The British English spelling for this word is 'memorising'.
10,1,Barak Obama,"...help bridge divides and bring people together."" **Barak Obama**.",ErrorCategory.FACTUAL_INACCURACY,100,The correct spelling of the former US President's name is 'Barack Obama'.
11,1,MORE -TALK,FIND OUT **MORE -TALK** TO YOUR TEACHER TODAY!,ErrorCategory.STYLISTIC_PREFERENCE,85,"The spacing around the dash is inconsistent and awkward; it should typically be an en dash or em dash with spaces on both sides (e.g., 'MORE – TALK') or a colon."
