issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,12,but,... used that is beyond the defined content** but** that fulfils the task requirements.  | ...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,75,"Adding a comma before 'but' in this context would improve readability, though it is not strictly grammatically required as it does not separate two independent clauses."
1,15,outside of,... some works will contain words that are **outside of** the vocabulary lists; in this case teac...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,"While 'outside of' is common, 'outside' is more concise and generally preferred in formal writing."
2,15,but,... used that is beyond the defined content** but** that fulfils the task requirements.  | ...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,75,"Adding a comma before 'but' in this context would improve readability, though it is not strictly grammatically required as it does not separate two independent clauses."
3,19,but,... used that is beyond the defined content** but** that fulfils the task requirements.  | ...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,75,"Adding a comma before 'but' in this context would improve readability, though it is not strictly grammatically required as it does not separate two independent clauses."
4,22,centres,...aterials.  The task will be released to **centres** each year in March prior to the summer ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"The word 'centres' is correctly used as a plural noun, not a possessive, so no apostrophe is needed."
5,26,an,"...                | (r) | |  | genitive: (**an**)statt, auβerhalb, innerhalb, trozt, wäh...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"The text '(an)statt' is a correct German grammatical notation indicating that 'anstatt' can also be written as 'statt', and does not require a hyphen."
6,27,er,"...für |  | | Pronouns | subject: ich, du, **er**, sie, es, man, wir, ihr, Sie, sie (I, y...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"'er' is a German pronoun and is correctly lowercase in this list of pronouns, as it does not begin a sentence."
7,29,ai,"...eben, Fehler, Meer, denken      | | [ei/**ai**]                                      |...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'[ei/ai]' is a correct representation of German sound-spelling correspondence and does not require punctuation.
8,29,au,...| Vater                            | | [**au**]                                       ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'[au]' is a correct representation of German sound-spelling correspondence and does not require punctuation.
9,30,ever changing,"...-----------------------  As language is **ever changing**, the Duden could accept the new use of ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,'Ever-changing' should be hyphenated as a compound adjective modifying 'language' in UK English.
10,30,gender neutral,...uden could accept the new use of a more **gender neutral** and inclusive language. WJEC will not m...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,Gender-neutral should be hyphenated as a compound adjective modifying 'language' in UK English.
11,31,school leaving,...--| | Abi (Abitur)             | German **school leaving** exam | | d.h. (das heißt)         | i.e...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,School-leaving should be hyphenated as a compound adjective modifying 'exam' in UK English.
12,31,Inter City,...         | | ICE (Inter-City-Express) | **Inter City** train           | | LKW (Lastkraftwagen...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,Inter-City should be hyphenated as a compound adjective modifying 'train' for standard UK English usage.
13,34,hell- for,...when combined with dunkel- for dark and **hell- for** light  | German    | English equivalent...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"The hyphen after 'hell-' correctly indicates it is a prefix, and the phrase accurately explains its meaning in context."
14,38,24 hour,...arners should know both the 12 hour and **24 hour** clock in German.  | German             ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,24-hour should be hyphenated as a compound adjective modifying 'clock' in UK English.
15,39,Österreich,...n | norwegisch | Norway / Norwegian | | **Österreich** | österreichisch | Austria / Austrian |...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,Österreich is the correct German spelling for Austria and is used appropriately in a German vocabulary list.
16,39,Schweiz,...| schwedisch | Sweden / Swedish | | die **Schweiz** | schweizerisch | Switzerland / Swiss |...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,Schweiz is the correct German spelling for Switzerland and is used appropriately in a German vocabulary list.
17,42,coca cola,...             | | die Cola             | **coca cola**                | | die Currywurst      ...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,"Coca-Cola is a proper noun and registered trademark, requiring capitalization and hyphenation."
18,43,gateau,...              | | die Torte           | **gateau**                   | | trinken          ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"Gateau is a correct and commonly accepted English spelling for a rich cake, as listed in authoritative dictionaries."
19,47,airplane,...mit dem Flugzeug                   | by **airplane**                | | mit dem Mofa        ...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,"Aeroplane is the preferred spelling in UK English, which WJEC documents typically follow, though airplane is also understood."
20,55,(,...esterday   | | vorher           | before**(**hand)               | | wieder          ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The parenthesis is correctly used to indicate an optional part of the translation in this dictionary-style entry.
21,57,Arm arm,"...Architekt / Architektin architect n (m) **Arm arm** n (f) Art type, kind n (m) / n (f) Arzt...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The repetition is intentional, representing the German word 'Arm' followed by its English translation 'arm' in a dictionary format."
22,57,Bank bank,"...kon balcony n (nt) Ballett ballet n (f) **Bank bank**, bench n (nt) Bargeld cash | n (f) | Ap...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The repetition is intentional, representing the German word 'Bank' followed by its English translation 'bank' in a dictionary format."
23,61,Euro euro,...das dining room n (f) Etage floor n (m) **Euro euro** n (pl) Fächer subjects n (f) Fachschule...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The repetition is intentional, representing the German word 'Euro' followed by its English translation 'euro' in a dictionary format."
24,64,Grippe,"...| border, frontier         | | n (f)  | **Grippe**           | flu                      | ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,'Grippe' is the correct German word for 'flu' and is used correctly in this German-English vocabulary list.
25,66,Integration integration,... rollerblading n (f) Insel island n (f) **Integration integration** Interesse (andat. + noun) n (nt) intere...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The repetition is intentional, representing the German word 'Integration' followed by its English translation 'integration' in a dictionary format."
26,66,Job job,...season n (nt) Jahrhundert century n (m) **Job job** n (m) / n (f) Journalist / Journalistin...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The repetition is intentional, representing the German word 'Job' followed by its English translation 'job' in a dictionary format."
27,67,movie theater,"...                              | cinema, **movie theater**   | | n (f)         | Kirche           ...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,'Movie theater' is American English; 'movie theatre' or simply 'cinema' (already present) would be preferred for UK English consistency.
28,67,Köln,...eague               | | n (nt)        | **Köln**                                 | Colog...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,'Köln' is the correct German name for the city and is used correctly in this German-English vocabulary list.
29,69,an,...             | | n (m)         | Mangel **an** Bewegung | lack of movement       | | n...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,'an' is correctly used as part of the German phrase 'Mangel an Bewegung' meaning 'lack of movement'.
30,70,München,...ulturalism          | | n (nt)        | **München**                     | Munich           ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,München is the correct German spelling for the city Munich and is correctly paired with its English equivalent.
31,71,message,"...       | Nachricht              | news, **message**                            | | n (f) / ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The English word 'message' is correctly spelled and used as an equivalent for the German word 'Nachricht'.
32,71,eco-tourism,...)            | Ökotourismus           | **eco-tourism**                              |  {72}---...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The term 'eco-tourism' is correctly spelled and hyphenated as per common UK English usage.
33,72,Baltic sea,...(f)         | Ostsee                  | **Baltic sea**               | | n (nt)        | Paar ...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,'Baltic Sea' is a proper noun and requires both words to be capitalized.
34,73,Post post,"...ortemonnaie purse, wallet n (f) / n (m) **Post post**, mail, post office (f), (blog)post (m) ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The missing pipe character between the German word 'Post' and its English translation 'post' has caused them to merge, indicating a parsing error."
35,73,Portion portion,"..., post office (f), (blog)post (m) n (f) **Portion portion** n (m) / n (f) Präsident / Präsidentin p...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The missing pipe character between the German word 'Portion' and its English translation 'portion' has caused them to merge, indicating a parsing error."
36,73,Problem problem,"...esident n (m) Preis prize, price n (nt) **Problem problem** n (nt) Projekt project n (nt) Prozent p...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The missing pipe character between the German word 'Problem' and its English translation 'problem' has caused them to merge, indicating a parsing error."
37,80,Wien,...eather forecast     | | n (nt)        | **Wien**                                   | Vie...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,Wien is the correct German spelling for the city Vienna and is correctly paired with its English equivalent.
38,81,apartment,"...            |                         | **apartment**, flat       | | n (m)           | Wohnw...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"The English word 'apartment' is correctly spelled and used as an equivalent, despite the surrounding table formatting issue."
39,82,ask   asking,...      | | eine Frage stellen     | (to) **ask   asking** a question                   | | es kom...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The missing separator between 'ask' and 'asking' makes the phrase grammatically awkward and is likely a parsing error from the original document.
