issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,4,Æflgifyu,"... between the sons of Cnut's first wife, **Æflgifyu** of Northampton, and those of his second...",PassCode.LTC,ErrorCategory.PARSING_ERROR,90,"The name 'Æflgifyu' is correctly spelled with the ligature 'æ', but the tool misreads it as 'Æflgifyu'."
1,5,Malcom,"... The Anglo-Saxon succession  **Item 4** **Malcom** Barber, a professor of History, outline...",PassCode.LTC,ErrorCategory.PARSING_ERROR,85,"The name 'Malcom' is a common misspelling of 'Malcolm', but in this context, it appears to be a proper noun and should be corrected to 'Malcolm'."
2,6,who's,...to swear an oath of loyalty to the Lord **who's** given it. This was called doing homage....,PassCode.LTC,ErrorCategory.PARSING_ERROR,80,"'who's' is a contraction of 'who is' or 'who has', but in this context, it should be 'whose' to indicate possession."
3,7,all of the,"...After the conquest, William had claimed **all of the** lands in England and then divided it be...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,The phrase 'all of the' is redundant and can be simplified to 'all the' for conciseness.
4,10,and,...im. They filled the land full of castles** and** they cruelly oppressed the wretched men...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,60,A comma before 'and' is optional in this context and does not impact clarity.
5,10,undeep,...n a chest that was short and narrow and **undeep** and put sharp stones in and crushed the...,PassCode.LTC,ErrorCategory.PARSING_ERROR,85,'undeep' is not a standard word; the intended word is likely 'shallow'.
6,12,castles,...cription of the building of square keep **castles** in the textbook *The*   *Medieval Realm...,PassCode.LTC,ErrorCategory.PARSING_ERROR,80,"'castles' is correctly spelled, but the tool may have flagged it due to context. No correction needed."
7,12,drafty,"...enemy soldiers. They were also cramped, **drafty** and uncomfortable. Since the beginning ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,85,"'drafty' is correctly spelled, but the tool may have flagged it due to context. No correction needed."
8,12,and,"...1100, many more stone castles were built** and** they were usually square in shape  **Th...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,60,A comma before 'and' is optional in this context and does not impact clarity.
9,12,square in shape,...astles were built and they were usually **square in shape**  **Theme** Ethnicity  **Topic** Jewish ...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,The phrase 'square in shape' is redundant and can be simplified to 'square' for conciseness.
10,13,twelveyear-old,"...illing by Jews of William of Norwich, a **twelveyear-old** apprentice in Norwich in 1144. The acco...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,Correct spelling is 'twelve-year-old'.
11,13,ill treated,"...er and in no fear of any treachery, and **ill treated** him in various horrible ways. For a whi...",PassCode.LTC,ErrorCategory.PARSING_ERROR,80,Correct form is 'ill-treated' with a hyphen.
12,16,colorful,"...m David Knowles and Frank Stenton, left **colorful** images in the historical imagination of...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,Correct spelling is 'colourful' in UK English.
13,16,Hundred,"...illiam of  Warenne in 1086.  In PRESTON **Hundred**  William holds PATCHAM himself, in lord...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,'Hundred' is correctly capitalized as it is part of a proper noun.
14,16,lordship,"...and a man-at-arms of his 1/2 hides.  In **lordship** they have 2 ploughs, with  2 smallholde...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,'lordship' is correctly used in this historical context.
15,17,Households Households,"... Land of Hereford (St Mary), bishop of  **Households Households**: 3 villagers. 6 smallholders. 2 slaves....",PassCode.LTC,ErrorCategory.PARSING_ERROR,80,Duplicate word 'Households' should be removed.
16,17,lord's,...ors.  Land and resources Ploughland: 10 **lord's** plough teams. 5.5 men's plough teams. V...,PassCode.LTC,ErrorCategory.PARSING_ERROR,80,Correct form is 'lord's' with an apostrophe.
17,20,Æthelic,"... were there to swear that his daughter, **Æthelic** [Matilda], who had previously been the ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,Æthelic is a historical name and correctly spelled.
18,21,but,...engers and crew raised cries of distress** but** their mouths were soon stopped by the s...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,Comma before 'but' improves clarity but is not strictly necessary.
19,21,great-greatgreat,...n to get married was Matilda. She was a **great-greatgreat** granddaughter of Æthelred. Matilda had ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,80,Correct form is 'great-great-great' with hyphens.
20,22,Malcom,"... Museum [Accessed 10.04.2024] | | 4.  | **Malcom** Barber,1992. The Two Cities: Medieval E...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,The correct spelling is 'Malcolm' with an 'l'.
21,22,english,...at Clifford's Tower   English Heritage (**english** heritage.org.uk) [Accessed 09.04.2024] ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,'english' is correct as it is part of the URL and not a standalone word.
