issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,4,warravaged,"...n called ""breathing space"" for Russia's **warravaged** economy. This policy was successful in ...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,Correct spelling is 'war-ravaged' or 'warravaged' is not recognized in authoritative sources.
1,6,Moorhouse,"... the 1920s. **[15]**  # **Item 1**  Dan **Moorhouse**, a teacher, author and member of the Ro...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,Moorhouse is a proper noun and the correct spelling of the author's name.
2,6,outside of,...'tariffs' and made goods that were made **outside of** the US more expensive to buy. This in t...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"Both 'outside of' and 'outside' are acceptable, but 'outside' is more concise."
3,6,colored,"...t years, but our views are likely to be **colored** by prejudice, politics, occupation or p...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,60,"'Labour' is the preferred UK English spelling, but 'labor' is also widely accepted."
4,6,labor,... stock of the country. To the head of a **labor** union it might be high wages and the ri...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,"'Colored' is an acceptable variant of 'coloured' in US English, which is used in this context."
5,7,Malcom X,...** Evaluate the view in **Item 3** that **Malcom X** had no lasting impact on the civil righ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,Malcom X is the correct spelling of the historical figure's name.
6,15,outside of,"... 1921 by Walter Duranty, who is someone **outside of** the Communist Party, it is unlikely tha...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"Both 'outside of' and 'outside' are acceptable, but 'outside' is more concise."
7,19,collectivization,...g by the rules. - It may be argued that **collectivization** of agriculture forced peasants into col...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,"'Collectivization' is the correct spelling in US English, which is used in this context."
8,25,Moorhouse,"...omed in the 1920s. |  |  | | Item 1 Dan **Moorhouse**, a teacher, author and member of the Ro...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,Moorhouse is a proper noun and the correct spelling of the author's name.
9,25,outside of,...'tariffs' and made goods that were made **outside of** the US more expensive to buy. This in t...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"Both 'outside of' and 'outside' are acceptable, but 'outside' is more concise."
10,25,colored,"...t years, but our views are likely to be **colored** by prejudice, politics, occupation or p...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,UK English spelling requires 'coloured' with a 'u'.
11,25,labor,... stock of the country. To the head of a **labor** union it might be high wages and the ri...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,UK English spelling requires 'labour' with a 'u'.
12,30,Malcom X,...| |  | Evaluate the view in Item 3 that **Malcom X** had no lasting impact on the civil righ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,80,Proper noun 'Malcolm X' is misspelled as 'Malcom X'.
13,30,Malcom X,...e.  - The view expressed in Item 3 that **Malcom X** had no lasting impact on the civil righ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,80,Proper noun 'Malcolm X' is misspelled as 'Malcom X'.
14,30,and,"...arginal due to his confrontational style** and** although he had fame, he did not orches...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,60,Comma before 'and' is stylistic and not required for clarity.
15,30,Malcom X,...ificant change for African Americans. - **Malcom X**'s early views on black separatism and c...,PassCode.LTC,ErrorCategory.PARSING_ERROR,80,Proper noun 'Malcolm X' is misspelled as 'Malcom X'.
16,30,and,...am led to many seeing him as too extreme** and** he alienated non-Muslims. Malcom X chal...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,60,Comma before 'and' is stylistic and not required for clarity.
