issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,5,outside of,...cess evidence they have been developing **outside of** supervised activities.  | Type   | Desc...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,"The phrase 'outside of' is widely accepted in UK English, though 'outside' alone is also correct."
1,6,are,... The marking scheme for this assessment **are** included in the candidate pack.  All ma...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"'The marking scheme' is singular, so the verb should be 'is' instead of 'are'."
2,9,independently from,...ive you.  It is important that you work **independently from** other candidates and the work produced ...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"'Independently from' is acceptable, though 'independently of' is more commonly used in formal writing."
3,13,consequence across,...historian studying historical cause and **consequence across** that period.  In your response you must...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,The phrase should be 'cause and consequence' without 'across' for clarity.
4,13,range of source,... geographical area you have studied - a **range of source** and interpretative material.  #### **Or...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,The phrase should be 'range of sources' with an 's' for plural agreement.
5,13,range of source,... geographical area you have studied - a **range of source** and interpretative material.  #### **Or...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,The phrase should be 'range of sources' with an 's' for plural agreement.
6,13,range of source,... geographical area you have studied - a **range of source** and interpretative material.  {14}-----...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,The phrase should be 'range of sources' with an 's' for plural agreement.
7,14,Britian,... Norman Conquest on the island of Great **Britian** between c.1060 and c.1153. These nine t...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,'Britian' is a misspelling; the correct spelling is 'Britain'.
8,15,range of source,... the nature of England at this time - a **range of source** and interpretative material from the fo...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,The phrase should be 'range of sources' with an 's' for plural agreement.
9,15,consequence across,...historian studying historical cause and **consequence across** that period.  #### **Or**  Assess the s...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,The phrase should be 'cause and consequence' without 'across' for clarity.
10,16,A International relations,"... be created by the centre.*  ### **Item **A International relations****  Adapted from a blog entry entitled ""...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The term 'International relations' is a proper noun and correctly capitalized.
11,16,Æflgifyu,"...red had sons from his first marriage to **Æflgifyu** of York, and when he died in 1016, ther...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,80,"The name 'Æflgifyu' is historically accurate, but the spelling should be 'Ælfgifu' according to authoritative sources."
12,16,Æflgifyu,"... between the sons of Cnut's first wife, **Æflgifyu** of Northampton, and those of his second...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,80,"The name 'Æflgifyu' is historically accurate, but the spelling should be 'Ælfgifu' according to authoritative sources."
13,17,drafty,"...enemy soldiers. They were also cramped, **drafty** and uncomfortable. Since the beginning ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Drafty' is a correct spelling and appropriate in this context.
14,17,square in shape,"...stles were built, and they were usually **square in shape**  **Item E Culture**  A twenty-first-cen...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"'Square in shape' is acceptable, but 'square-shaped' might be more concise."
15,18,Monmouthsire,...le on the cliffs above the River Wye in **Monmouthsire**. Building of the castle began in 1067. ...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,80,'Monmouthsire' is a misspelling; the correct spelling is 'Monmouthshire'.
16,20,twelveyear-old,"...illing by Jews of William of Norwich, a **twelveyear-old** apprentice in Norwich in 1144. The acco...",PassCode.LTC,ErrorCategory.PARSING_ERROR,90,'Twelveyear-old' should be hyphenated as 'twelve-year-old' for correct spelling.
17,23,judgment,"...called it the Domesday Book, the day of **judgment**. It revealed William possessed about 20...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Judgment' is the correct spelling in British English.
18,31,but,...ngths or weaknesses have been identified** but** these are generalised.</li><li>A sugges...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,Comma before 'but' is optional and does not impact clarity.
19,31,but,...d.</li><li>A suggestion has been offered** but** it is not specific to how it would more...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,Comma before 'but' is optional and does not impact clarity.
20,31,but,...rength or a weakness has been identified** but** it is generalised.</li><li>No suggestio...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,Comma before 'but' is optional for clarity but not required for correctness.
21,34,YY,... DD                 |  | MM           | **YY** |       |       | Hour | Minutes | |   ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'YY' is a correct abbreviation for the year in the context of a date format.
