issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,,,,,PARSING_ERROR,100,The word 'Experience' has been incorrectly split across two lines due to a parsing error.
1,,,,,PARSING_ERROR,100,The word 'Experience' has been incorrectly split across two lines due to a parsing error.
2,,,,,FALSE_POSITIVE,95,This is part of a URL and is correctly formatted as such; it is not a spelling or grammatical error.
3,,,,,STYLISTIC_PREFERENCE,80,Adding a comma before 'and' when it connects two independent clauses is a stylistic preference for clarity in formal writing.
4,,,,,STYLISTIC_PREFERENCE,70,"The phrase 'all of the' is grammatically correct, though 'all the' could be used for conciseness; this is a stylistic choice."
5,,,,,STYLISTIC_PREFERENCE,80,Adding a comma before 'and' when it connects two independent clauses is a stylistic preference for clarity in formal writing.
6,,,,,STYLISTIC_PREFERENCE,80,Adding a comma before 'and' when it connects two independent clauses is a stylistic preference for clarity in formal writing.
7,,,,,ABSOLUTE_GRAMMATICAL_ERROR,100,The repetition of 'that' is a clear grammatical error and one should be removed.
8,,,,,STYLISTIC_PREFERENCE,80,Adding a comma before 'and' when it connects two independent clauses is a stylistic preference for clarity in formal writing.
9,,,,,FALSE_POSITIVE,90,"The phrase 'whether or not' is grammatically correct and commonly used for emphasis, making this a false positive."
10,,,,,ABSOLUTE_GRAMMATICAL_ERROR,95,A comma is required before 'and' when it connects two independent clauses to improve clarity in formal writing.
11,,,,,PARSING_ERROR,95,"The compound adjective 'time-consuming' should be hyphenated for formal consistency, even in predicate position."
12,,,,,POSSIBLE_AMBIGUOUS_GRAMMATICAL_ERROR,90,"The correct idiom for formal writing is 'with regard to' or 'as regards', not 'with regards to'."
13,,,,,ABSOLUTE_GRAMMATICAL_ERROR,95,A comma is required before 'and' when it connects two independent clauses to improve clarity in formal writing.
