issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,12,vipassana,...  | Describe how Buddhists may practise **vipassana** meditation.                            ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Vipassana' is a correct and widely recognised Buddhist term for a type of meditation.
1,12,vipassana,"...ription of how Buddhists might practise **vipassana** meditation, up to a maximum of six mark...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Vipassana' is a correct and widely recognised Buddhist term for a type of meditation.
2,12,vipassana,"...ription of how Buddhists might practise **vipassana** meditation, up to a maximum of six mark...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Vipassana' is a correct and widely recognised Buddhist term for a type of meditation.
3,13,vipassana,"...d include one of the following:**  - As **vipassana** is insight meditation, they may focus o...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Vipassana' is a correct and widely recognised Buddhist term for a type of meditation.
4,13,anicca,"...ughts, emotions and physical sensation (**anicca**) reflecting on the impermanent nature o...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Anicca' is a correct and widely recognised Buddhist term for impermanence.
5,13,Vipassana,...ermanent nature of these experiences. - **Vipassana** meditation builds on samatha meditation...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Vipassana' is a correct and widely recognised Buddhist term for a type of meditation.
6,13,samatha,"...ences. - Vipassana meditation builds on **samatha** meditation and takes a lot of practice,...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Samatha' is a correct and widely recognised Buddhist term for a type of meditation.
7,14,perspectives about,...beliefs and teachings and non-religious **perspectives about** abortion.  #### **Indicative Content** ...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,Both 'perspectives about' and 'perspectives on' are grammatically correct and acceptable in this context.
8,14,Jeremaih,...e and that abortion destroys this plan (**Jeremaih** 1:5). - Many Christians support adoptio...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,The correct spelling of the biblical prophet's name is 'Jeremiah'.
9,14,prolife,"...tion. Many are pro-choice, but some are **prolife**. - Many would argue that an embryo is n...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"'Pro-life' should be hyphenated in formal UK English, especially when used as a compound adjective or noun."
10,15,non religious,... of Christian beliefs and teachings and **non religious** perspectives about abortion</li><li>res...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The compound adjective 'non-religious' should be hyphenated when preceding the noun 'perspectives' for consistency and correct UK English usage.
11,15,perspectives about,...beliefs and teachings and non religious **perspectives about** abortion</li><li>response comprehensive...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,85,'Perspectives on' is generally considered more idiomatic and precise than 'perspectives about' in formal academic writing.
12,15,non religious,... of Christian beliefs and teachings and **non religious** perspectives about abortion</li><li>res...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The compound adjective 'non-religious' should be hyphenated when preceding the noun 'perspectives' for consistency and correct UK English usage.
13,15,perspectives about,...beliefs and teachings and non religious **perspectives about** abortion</li><li>response comprehensive...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,85,'Perspectives on' is generally considered more idiomatic and precise than 'perspectives about' in formal academic writing.
14,15,non religious,... of Christian beliefs and teachings and **non religious** perspectives about abortion</li><li>res...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The compound adjective 'non-religious' should be hyphenated when preceding the noun 'perspectives' for consistency and correct UK English usage.
15,15,perspectives about,...beliefs and teachings and non religious **perspectives about** abortion</li><li>response adequately ex...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,85,'Perspectives on' is generally considered more idiomatic and precise than 'perspectives about' in formal academic writing.
16,15,non religious,... of Christian beliefs and teachings and **non religious** perspectives about abortion</li><li>res...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The compound adjective 'non-religious' should be hyphenated when preceding the noun 'perspectives' for consistency and correct UK English usage.
17,15,perspectives about,...beliefs and teachings and non religious **perspectives about** abortion</li><li>response superficially...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,85,'Perspectives on' is generally considered more idiomatic and precise than 'perspectives about' in formal academic writing.
18,15,non religious,... of Christian beliefs and teachings and **non religious** perspectives about abortion</li><li>res...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The compound adjective 'non-religious' should be hyphenated when preceding the noun 'perspectives' for consistency and correct UK English usage.
19,15,perspectives about,...beliefs and teachings and non religious **perspectives about** abortion</li><li>response loosely expla...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,85,'Perspectives on' is generally considered more idiomatic and precise than 'perspectives about' in formal academic writing.
20,19,faithbased,... groups to research a local or national **faithbased** charity and create a presentation on it...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The compound adjective 'faith-based' requires a hyphen in UK English.
21,19,Gobind,...lay of the lives of Guru Nanak and Guru **Gobind** Singh. - **1.2.2/1.5.2** Learners could...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Gobind' is correctly spelled as part of the proper noun 'Guru Gobind Singh'.
22,24,Myoho,...to Buddhism (Tina Turner) chant the Nam **Myoho** Renge Kyo. - Learners may watch and lis...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Myoho' is correctly spelled as part of the Buddhist chant 'Nam Myoho Renge Kyo'.
23,25,quiz quiz,"...improve learners' oral skills, such as '**quiz quiz** trade' games, think-pair-share tasks an...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Quiz quiz trade' is the established and correct name for a specific learning activity.
