issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,2,Introduct,...--------------------  # **Contents**  | **Introduct**                                    | io...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'Introduction' has been incorrectly split across two table columns due to a parsing error.
1,2,Qualifica,...                               | 1  | | **Qualifica**                                    | ti...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'Qualification' has been incorrectly split across two table columns due to a parsing error.
2,2,tion,...ca                                    | **tion** Structure                      | 2  | |...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"This is the second part of the word 'Qualification', incorrectly split across two table columns due to a parsing error."
3,2,Assessm,...Structure                      | 2  | | **Assessm**                                      | ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'Assessment' has been incorrectly split across two table columns due to a parsing error.
4,2,nent,...                                      | **nent**                                | 2  | |...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"This is the second part of the word 'Assessment', incorrectly split across two table columns due to a parsing error."
5,2,nmary,...                                      | **nmary** of Assessment Unit 2          | 2  | | ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'Summary' has been incorrectly split across two table columns due to a parsing error.
6,2,ssessment,...As                                    | **ssessment** objectives and weightings | 4  | | Unit...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'Assessment' has been incorrectly split across two table columns due to a parsing error.
7,2,eacher,...Te                                    | **eacher** Guidance                     | 5  | | 2...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'Teacher' has been incorrectly split across two table columns due to a parsing error.
8,4,available,...mer 2026. The submission of Unit 2 will **available** for the first time in spring 2026. The ...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The auxiliary verb 'be' is missing, making the phrase 'will available' grammatically incorrect."
9,7,non religious,"...c Christianity, the second religion and **non religious** perspectives. Each learner will need to...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The compound adjective 'non-religious' should be hyphenated, which is a common parsing error in PDF to Markdown conversion."
10,8,prereleased,... centre has chosen to focus on from the **prereleased** information.  It is important to consid...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'prereleased' should be hyphenated as 'pre-released' when used as a compound adjective in formal UK English.
11,8,prereleased,...our centre has chosen to focus from the **prereleased** information.  It is important to consid...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'prereleased' should be hyphenated as 'pre-released' when used as a compound adjective in formal UK English.
12,9,non religious,...es of authority from both religious and **non religious** perspectives will be needed as evidence...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The compound adjective 'non religious' should be hyphenated as 'non-religious' for consistency and correctness in UK English.
13,10,non religious,...es and perspectives (both religious and **non religious** ). Once this is understood the centre c...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The compound adjective 'non religious' should be hyphenated as 'non-religious' for consistency and correctness in UK English.
14,10,non -religious,...ristianity or Catholic Christianity and **non -religious** perspectives - across the centre's seco...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The extra space before the hyphen in 'non -religious' is a parsing error and should be removed.
15,10,non -religious,...across the centre's second religion and **non -religious** perspectives.  Clear consideration will...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The extra space before the hyphen in 'non -religious' is a parsing error and should be removed.
16,10,same sex,... of the pill - civil partnership laws - **same sex** marriage laws - education laws includin...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The compound adjective 'same sex' should be hyphenated as 'same-sex' when modifying 'marriage'.
17,10,same sex,...believers to the use of contraception - **same sex** marriage and being able to marry in a p...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The compound adjective 'same sex' should be hyphenated as 'same-sex' when modifying 'marriage'.
18,14,enough variety of,...of sources for different purposes – Has **enough variety of** sources been used? - recognising if a s...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,"The phrase 'enough variety of' is grammatically correct and clear, making the suggestion a stylistic preference rather than a necessary correction."
19,14,RURU,"...Reliable, Up-to-date, Relevant, Useful (**RURU**) assist learners with focusing how to r...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'RURU' is an acronym correctly defined and used as a specific educational mnemonic in this context.
20,15,perspectives about,...and evaluate religious and nonreligious **perspectives about** relationships - to reach a judgement  #...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,75,"While 'perspectives about' is grammatically correct, 'perspectives on' is often preferred in academic and formal writing for conciseness and common usage."
21,19,outside of,"...marriage | Having a sexual relationship **outside of** a marriage, often known as extra-marita...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,The 'of' in 'outside of' is often redundant; 'outside' alone is more concise and generally preferred in formal UK English.
