issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,1,Exper,... and Communication Area of Learning and **Exper** | ience .15 | | Level 2 Award in Additi...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'Experience' has been split across two lines due to a parsing error during conversion from the original document format.
1,1,ience,...munication Area of Learning and Exper | **ience** .15 | | Level 2 Award in Additional Cor...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'Experience' has been split across two lines due to a parsing error during conversion from the original document format.
2,2,made-for-wales-gcses,...form/reforming/qualified-for-the-future/**made-for-wales-gcses**/#approval-criteria\)](https://qualifica...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The highlighted text is part of a URL and is correctly formatted for that context.
3,5,and,...greater detail with Qualifications Wales** and** we will also be discussing the issue wi...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,A comma is required before the coordinating conjunction 'and' when it connects two independent clauses in formal writing.
4,6,all of the,...ications will provide stakeholders with **all of the** information they require in due course....,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"The phrase 'all of the' is grammatically correct and acceptable, though 'all the' could also be used; this is a stylistic choice."
5,9,and,...hat the content is teachable in the time** and** we will strengthen our focus on reviewi...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,A comma is required before the coordinating conjunction 'and' when it connects two independent clauses in formal writing.
6,10,and,... balance of physical and human geography** and** we have updated the possible areas to b...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,A comma is required before the coordinating conjunction 'and' when it connects two independent clauses in formal writing.
7,10,that that,...ts generally agreed or partially agreed **that that** the proposed assessment approach is app...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The repetition of 'that that' is a clear grammatical error and one 'that' should be removed.
8,12,and,...sed concern that the weighting was heavy** and** it would impact on teacher workload. We...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,A comma is required before the coordinating conjunction 'and' when it connects two independent clauses in formal writing.
9,13,whether or not,...dual learners or groups of learners and **whether or not** the teacher performs the control elemen...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,85,The phrase 'whether or not' is grammatically correct and commonly used for clarity or emphasis.
10,15,and,...r for this unit is aware of the concerns** and** we will aim to include writing that rep...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,Adding a comma before 'and' when it joins two independent clauses is a stylistic choice that can improve readability in formal writing.
11,17,time consuming,...ondents conveying that oracy tasks were **time consuming** and difficult to administer. As a direc...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,"""Time-consuming"" should be hyphenated as a compound adjective, even when used predicatively, for standard UK English spelling."
12,17,with regards to,...t is clearly on 'Continuity and change' **with regards to** both language and ideas. There will now...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"The correct formal idiom is ""with regard to"" or ""as regards"", not ""with regards to""."
13,18,and,... are supported by this new qualification** and** we will work to ensure that this is the...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,Adding a comma before 'and' when it joins two independent clauses is a stylistic choice that can improve readability in formal writing.
