issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,,,,,FALSE_POSITIVE,100,"Gobind is a correctly spelled proper noun, referring to Guru Gobind Singh."
1,,,,,PARSING_ERROR,95,"The `&#x27;` is an HTML entity for a single quote, indicating a parsing artifact rather than a linguistic error in the original text."
2,,,,,PARSING_ERROR,95,"The `&#x27;` is an HTML entity for a single quote, indicating a parsing artifact rather than a linguistic error in the original text."
3,,,,,PARSING_ERROR,100,"SUMI is a partial word that, when combined with 'MARY OF ASSESSMENT', clearly indicates a parsing error for 'SUMMARY OF ASSESSMENT'."
4,,,,,SPELLING_ERROR,100,ITRODUCTION is a misspelling of the word 'INTRODUCTION'.
5,,,,,PARSING_ERROR,100,"UBJECT is a partial word that, when combined with 'S', indicates a parsing error for 'SUBJECT CONTENT'."
6,,,,,PARSING_ERROR,100,"rtunities is a partial word that, when combined with 'Орро', indicates a parsing error for 'Opportunities'."
7,,,,,PARSING_ERROR,100,"SSESSMENT is a partial word that, when combined with 'A', indicates a parsing error for 'ASSESSMENT'."
8,,,,,PARSING_ERROR,100,"ECHNICAL is a partial word that, when combined with 'T', indicates a parsing error for 'TECHNICAL INFORMATION'."
9,,,,,PARSING_ERROR,100,"Appe is a partial word that, when combined with 'ndix', indicates a parsing error for 'Appendix'."
10,,,,,PARSING_ERROR,100,The word 'Appendix' has been incorrectly split due to a parsing error.
11,,,,,FALSE_POSITIVE,100,"'Dukkha' is a correct and standard Buddhist term, not a spelling error."
12,,,,,FALSE_POSITIVE,100,"'Anicca' is a correct and standard Buddhist term, not a spelling error."
13,,,,,FALSE_POSITIVE,100,"'Dukkha' is a correct and standard Buddhist term, not a spelling error."
14,,,,,FALSE_POSITIVE,100,"'Anicca' is a correct and standard Buddhist term, not a spelling error."
15,,,,,FALSE_POSITIVE,100,'Siddhartha Gautama' is the correct proper name of the Buddha.
16,,,,,FALSE_POSITIVE,100,'Samatha' is a correct and standard Buddhist term for a type of meditation.
17,,,,,FALSE_POSITIVE,100,'Vipassana' is a correct and standard Buddhist term for a type of meditation.
18,,,,,FALSE_POSITIVE,100,'Malas' is a correct and standard term for prayer beads used in Buddhism.
