issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,2,"""","...te in May specified annually by the WJEC**""** | 6 |  {3}-----------------------------...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The stray quotation mark appears to be a parsing error from the conversion process.
1,8,is,...rd of the date on which the assessments **is** conducted including the name of the wor...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The plural subject 'assessments' requires the plural verb 'are' for correct subject-verb agreement.
2,10,so,...mber that this is not a translation task** so** learners will not be expected to transl...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"Adding a comma before 'so' would improve the flow and clarity of the sentence, but its omission is not a grammatical error."
3,10,key words,...ncourage learners to build up a bank of **key words** from the text and regularly test them o...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"'Key words' is correctly written as two separate words in this context, functioning as a compound noun."
4,11,one hour,...rite both 70 words and 130 words with a **one hour** time limit.  Learners should be provide...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'One-hour' should be hyphenated as it functions as a compound adjective modifying 'time limit'.
5,12,a,...á doce años pronto y tiene miedo porque **a** esta edad es cuando el ejercito te toma...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The word 'a' is a correct Spanish preposition in the phrase 'a esta edad'.
6,13,a,"...endiente, por ejemplo, cuando decide ir **a** América Látina.  {14}------------------...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The word 'a' is a correct Spanish preposition in the phrase 'ir a América Latina'.
7,14,Spanish speaking,...he suggested texts come from across the **Spanish speaking** world to highlight the complexity and v...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'Spanish-speaking' should be hyphenated as it functions as a compound adjective modifying 'world'.
8,15,but,... word process their responses for Unit 2** but** this is not compulsory. | |  | Learners...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,75,"Adding a comma before 'but' would improve the flow and clarity of the sentence, but its omission is not a grammatical error."
9,18,gender neutral,...rs teachers may wish to look at Spanish **gender neutral** pronouns.</li><li>Teachers could use th...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'Gender-neutral' should be hyphenated as it functions as a compound adjective modifying 'pronouns'.
10,20,key words,...actise skimming and scanning by finding **key words** or details in the text.</li><li>Encoura...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"While 'key words' is acceptable, 'keywords' or 'key-words' is often preferred in formal educational writing as a compound noun."
11,21,Spanish speaking,...to compare life in Wales with life in a **Spanish speaking** country by analysing data and graphs.**...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,'Spanish-speaking' requires a hyphen when used as a compound adjective modifying 'country'.
12,23,el niño,...--------| | Understand | Explica porque **el niño** tiene que salir de su pueblo. | | Apply...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'el niño' is a correct Spanish phrase and should not be flagged as an error.
13,23,el país,...    | | Analyse    | Compara España con **el país** del Galés.                | | Evaluate ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'el país' is a correct Spanish phrase and should not be flagged as an error.
14,23,el cuento,...| ¿Cómo te sentirías si tu estuviera en **el cuento**? | | Create     | Haz un personaje nuev...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'el cuento' is a correct Spanish phrase and should not be flagged as an error.
15,23,el cuento,...reate     | Haz un personaje nuevo para **el cuento**.               |  - Bloom's Taxonomy co...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'el cuento' is a correct Spanish phrase and should not be flagged as an error.
16,23,key words,...Bloom's Taxonomy could also be used for **key words** to encourage learners to ask questions ...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"While 'key words' is acceptable, 'keywords' or 'key-words' is often preferred in formal educational writing as a compound noun."
17,24,and,...uld summarise the main points in Spanish** and** they could also write about how they th...,PassCode.LTC,ErrorCategory.POSSIBLE_AMBIGUOUS_GRAMMATICAL_ERROR,80,A comma before 'and' would improve the clarity and flow of the sentence by separating two independent clauses.
