issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,3,MMAR,...-------------  ## **CONTENTS**  | SU  | **MMAR**                                        ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'SUMMARY' has been incorrectly split or truncated in the table of contents.
1,3,INTR,...-------------------------|----| | 1   | **INTR**                                        ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'INTRODUCTION' has been incorrectly split across columns in the table of contents.
2,3,ODUCTION,...                                      | **ODUCTION**                                        ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'INTRODUCTION' has been incorrectly split across columns in the table of contents.
3,3,SUBJ,...                         | 8  | | 2   | **SUBJ**                                        ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'SUBJECT' has been incorrectly split across columns in the table of contents.
4,3,rtunities,...                                      | **rtunities** for integration of learning experiences...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'Opportunities' has been incorrectly split or has a character encoding issue in the table of contents.
5,3,SSMENT,...                                      | **SSMENT**                                        ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'ASSESSMENT' has been incorrectly split across columns in the table of contents.
6,3,MALF,...                         | 66 | | 4   | **MALF**                                        ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'MALPRACTICE' has been incorrectly split across columns in the table of contents.
7,7,matter matter,...h depend on each other for survival   - **matter matter** and the way it behaves defines our univ...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The word 'matter' is unnecessarily repeated, creating a grammatical error."
8,7,forces forces,...s our universe and shapes our lives   - **forces forces** and energy provide a foundation for und...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The word 'forces' is unnecessarily repeated, creating a grammatical error."
9,24,ions,"...ogen gas* - *identify the group 1 metal **ions** lithium, sodium and potassium using fla...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The term 'ions' is correctly used in this scientific context and is not an error.
10,29,net zero,...dioxide emissions* - *what is meant by '**net zero**' and carbon off-setting.*  #### Learner...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"'Net zero' is a widely accepted and correct term when used as a compound noun or concept, as it is here."
11,36,X rays,"... infra-red, visible light, ultraviolet, **X rays** and gamma rays</li><li>all regions tran...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The correct spelling in UK English is 'X-rays', which should be hyphenated."
12,45,socio economic,"...sease is influenced by education level, **socio economic** factors, the media and access to health...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,'Socio-economic' is a compound adjective and requires a hyphen in UK English.
13,45,micro-organisms,"...Learners should know: <ul><li>that some **micro-organisms** called pathogens, cause disease</li><li...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"'Micro-organisms' is a correct and acceptable spelling in UK English, though 'microorganisms' is also used."
14,48,non metal,...transfer of electrons from a metal to a **non metal** atom results in the formation of ions w...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,'Non-metal' is a compound adjective and requires a hyphen in UK English.
15,49,sulfuric,"...d by hydrochloric acid, nitric acid and **sulfuric** acid</li><li>that metal oxides are base...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,"The UK English spelling for the acid is 'sulphuric acid', not 'sulfuric acid'."
16,50,sulfate,...ers should be able to: <ul><li>identify **sulfate** ions using barium chloride solution</li...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,"The UK English spelling for the ion is 'sulphate', not 'sulfate'."
17,51,a small number of,...te and that some ores are only found in **a small number of** places</li><li>the importance of recycl...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The phrase 'a small number of' is grammatically correct and idiomatic in this context.
18,52,a,...rs should be able to: <ul><li>calculate **a** simplest formula from reacting mass dat...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The indefinite article 'a' is correctly used before 'simplest formula' in this context.
19,54,polyvinylchloride,"...ypropene, polychloroethene [common name **polyvinylchloride** (PVC)] and polytetrafluoroethylene (PTF...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"'Polyvinylchloride' is a correct and widely accepted chemical term, often written as a single word."
20,55,and,"...drocarbon fuels burn, they give out heat** and** they produce carbon dioxide and water -...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,"Adding a comma before 'and' is a stylistic choice when connecting two independent clauses, but its omission here does not cause ambiguity."
21,56,and,...6.1 Radioactivity: What is radioactivity** and** how do we use it? - 6.2 Waves: How do w...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The word 'and' is correctly used as a conjunction in a title and does not require a preceding comma.
22,56,the waves around us,...o we use it? - 6.2 Waves: How do we use **the waves around us**? - 6.3 Electricity: Exploring electrica...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The phrase 'the waves around us' is grammatically correct and appropriate for the title.
23,58,the waves around us,...------  #### **6.2 Waves: How do we use **the waves around us**?**  In this topic learners will gain kn...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The phrase 'the waves around us' is grammatically correct and appropriate for the section heading.
