Subject,Filename,Page,Rule ID,Type,Issue,Message,Suggestions,Context
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,21,MORFOLOGIK_RULE_EN_GB,misspelling,workrelated,Possible spelling mistake found.,work related,...ponses to potential career pathways and workrelated experiences. Opportunities should be gi...
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,22,MORFOLOGIK_RULE_EN_GB,misspelling,selfimposed,Possible spelling mistake found.,"self-imposed, self imposed","...nd identify something to work on with a selfimposed deadline, giving experience of decision..."
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,22,MORFOLOGIK_RULE_EN_GB,misspelling,selfdiscipline,Possible spelling mistake found.,"self-discipline, self discipline",...iving experience of decision making and selfdiscipline.  #### **Teacher formative feedback [JC...
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,27,MORFOLOGIK_RULE_EN_GB,misspelling,webbased,Possible spelling mistake found.,"web-based, web based","...ned focus period, candidates can access webbased software applications, however no other..."
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,34,MORFOLOGIK_RULE_EN_GB,misspelling,Fach,Possible spelling mistake found.,"Each, Face, Fact (+17 more)",...terest. Textile specialists like [Felin Fach](https://www.felinfach.com/pages/natura...
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,34,MORFOLOGIK_RULE_EN_GB,misspelling,ie,Possible spelling mistake found.,"i.e., IE, in (+115 more)","... apply sustainable methodologies to it (ie: re-use, recycle, reclaim).  {35}------..."
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,35,MORFOLOGIK_RULE_EN_GB,misspelling,href,Possible spelling mistake found.,"ref, pref, HEF (+1 more)","...ls from sustainable sources such as: <a href=""eco-craft"">eco-craft</a> and <a href=""..."
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,38,MORFOLOGIK_RULE_EN_GB,misspelling,Womens,Possible spelling mistake found.,"Women's, Women, Omens (+1 more)",...y relationships for young people. Welsh Womens Aid - Healthy Relationships |  {39}----...
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,42,MORFOLOGIK_RULE_EN_GB,misspelling,IDEO,Possible spelling mistake found.,"VIDEO, IDEA, IDEM (+8 more)",...om the international design consultancy IDEO identifies what this means: [design thi...
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,44,MORFOLOGIK_RULE_EN_GB,misspelling,Aedas,Possible spelling mistake found.,"Vedas, Adas","...ounded international architectural firm Aedas, talks about the power of sketching in ..."
