subject,filename,issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
Art-and-Design,gcse-art-and-design---delivery-guide.csv,0,10,and,...pected to demonstrate in their responses** and** they are then used in marking the work....,LTC,STYLISTIC_PREFERENCE,70,"The absence of a comma before 'and' connecting two independent clauses is a stylistic choice, not a grammatical error."
Art-and-Design,gcse-art-and-design---delivery-guide.csv,1,13,(,...---------| | First assessment for Unit 1**(**internal assessment)  | Summer 2027  | |...,LTC,PARSING_ERROR,90,"Missing space between 'Unit 1' and the opening parenthesis, likely a parsing artifact."
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,0,6,whether or not,"... skills to negotiate a creative future, **whether or not** they continue to study Art and Design. ...",LTC,FALSE_POSITIVE,100,The phrase 'whether or not' is grammatically correct and commonly used.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,1,12,or,...niques that they are knowledgeable about** or** they might be delivered by outside agen...,LTC,STYLISTIC_PREFERENCE,70,"Adding a comma before 'or' separating independent clauses is a stylistic choice, not a grammatical necessity here."
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,2,15,outside of,...ers' work. Many learners have interests **outside of** the classroom into which they can be im...,LTC,STYLISTIC_PREFERENCE,70,"'Outside of' is acceptable, though 'outside' alone would also be correct and more concise."
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,3,15,and,...ey can be immersed for their Unit 1 work** and** it might be in the skill of the teacher...,LTC,STYLISTIC_PREFERENCE,70,"Adding a comma before 'and' separating independent clauses is a stylistic choice, not a grammatical necessity here."
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,6,21,workrelated,...ponses to potential career pathways and **workrelated** experiences. Opportunities should be gi...,LTC,PARSING_ERROR,90,'Work-related' is a compound adjective and should be hyphenated according to OED standards.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,7,22,selfimposed,"...nd identify something to work on with a **selfimposed** deadline, giving experience of decision...",LTC,PARSING_ERROR,90,'Self-imposed' is a compound adjective and should be hyphenated according to OED standards.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,8,22,selfdiscipline,...iving experience of decision making and **selfdiscipline**.  #### **Teacher formative feedback [JC...,LTC,PARSING_ERROR,90,'Self-discipline' is a compound noun and should be hyphenated according to OED standards.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,10,24,workrelated,...ponses to potential career pathways and **workrelated** experiences.  Each of the pathways with...,LTC,PARSING_ERROR,90,'Work-related' is a compound adjective and should be hyphenated according to OED standards.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,11,26,centres,...e likely to use digital technology at a **centres** discretion.  Digital technology is appl...,LTC,ABSOLUTE_GRAMMATICAL_ERROR,100,'Centres discretion' should be 'centre's discretion' (possessive singular).
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,12,27,webbased,"...ned focus period, candidates can access **webbased** software applications, however no other...",LTC,PARSING_ERROR,90,'Web-based' is a compound adjective and should be hyphenated according to OED standards.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,13,28,Paul Gaugin,"...riate way).  #### Examples could be:  - **Paul Gaugin** and the Tahitian women that he painted,...",LTC,SPELLING_ERROR,100,"Incorrect spelling of the artist's proper name, Paul Gauguin."
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,14,33,non toxic,.../li><li>Using eco-friendly pigments and **non toxic** materials wherever possible.</li><li>Wo...,LTC,PARSING_ERROR,90,Missing hyphen in the compound adjective 'non-toxic'.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,15,33,or,...encourage learners to take this approach** or** we risk the methods and materials that ...,LTC,ABSOLUTE_GRAMMATICAL_ERROR,90,Missing comma before the coordinating conjunction 'or' joining two independent clauses.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,16,35,all of the,"... recycle, repair, rethink and refuse in **all of the** work that they create. - Consider their...",LTC,STYLISTIC_PREFERENCE,70,'All the work' is more concise than 'all of the work' but both are grammatically correct.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,17,35,products,"...work that they create. - Consider their **products** life cycle how are materials sourced, h...",LTC,ABSOLUTE_GRAMMATICAL_ERROR,90,Missing possessive apostrophe in 'products' life cycle'.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,23,37,all and all,...tant to Learners because RSE affects us **all and all** learners should take the opportunity to...,LTC,STYLISTIC_PREFERENCE,70,The repetition of 'all' is grammatically acceptable but could be rephrased for better flow.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,24,38,1980's,...f stigma around sexual health since the **1980's** when the 'Don't Die of Ignorance' campa...,LTC,PARSING_ERROR,100,"HTML entity &#x27; is a parsing artifact, and the apostrophe is incorrectly used for a plural decade (should be 1980s)."
